model,draw,lf_to_hf,hf_to_lf,asymmetry
pythia-70m,draw_1,0.41666666666666663,0.29666666666666663,0.12
pythia-70m,draw_2,0.41333333333333333,0.3177777777777777,0.09555555555555562
pythia-70m,draw_3,0.46444444444444444,0.26555555555555554,0.1988888888888889
pythia-160m,draw_1,0.9022222222222223,0.8577777777777778,0.04444444444444451
pythia-160m,draw_2,0.93,0.8388888888888889,0.09111111111111114
pythia-160m,draw_3,0.9222222222222222,0.8877777777777778,0.03444444444444439
pythia-410m,draw_1,0.9633333333333334,0.9244444444444445,0.03888888888888886
pythia-410m,draw_2,0.9577777777777777,0.9311111111111111,0.026666666666666616
pythia-410m,draw_3,0.9733333333333334,0.8966666666666667,0.07666666666666666
pythia-1b,draw_1,0.9188888888888889,0.8011111111111111,0.11777777777777776
pythia-1b,draw_2,0.9255555555555557,0.8277777777777778,0.09777777777777785
pythia-1b,draw_3,0.9311111111111111,0.8733333333333333,0.05777777777777782
pythia-1.4b,draw_1,0.9155555555555556,0.6844444444444444,0.23111111111111116
pythia-1.4b,draw_2,0.9222222222222223,0.7566666666666666,0.16555555555555568
pythia-1.4b,draw_3,0.9244444444444445,0.7088888888888889,0.2155555555555556
