model,band,ablation_acc_mean,ablation_acc_std,completeness_mean,completeness_std
pythia-70m,low,0.0,0.0,1.0,0.0
pythia-70m,medium,0.0,0.0,1.0,0.0
pythia-70m,high,0.0,0.0,1.0,0.0
pythia-70m,very_high,0.0,0.0,1.0,0.0
pythia-70m,control,0.0,0.0,1.0,0.0
pythia-160m,low,0.0,0.0,1.0,0.0
pythia-160m,medium,0.0,0.0,1.0,0.0
pythia-160m,high,0.0014814814814814814,0.002566001196398337,0.9985185185185186,0.0025660011963983373
pythia-160m,very_high,0.0,0.0,1.0,0.0
pythia-160m,control,0.0,0.0,1.0,0.0
pythia-410m,low,0.0,0.0,1.0,0.0
pythia-410m,medium,0.0014814814814814814,0.002566001196398337,0.9985185185185186,0.002566001196398361
pythia-410m,high,0.0,0.0,1.0,0.0
pythia-410m,very_high,0.0,0.0,1.0,0.0
pythia-410m,control,0.0014814814814814814,0.002566001196398337,0.9985185185185186,0.002566001196398361
pythia-1b,low,0.0,0.0,1.0,0.0
pythia-1b,medium,0.0,0.0,1.0,0.0
pythia-1b,high,0.0,0.0,1.0,0.0
pythia-1b,very_high,0.0014814814814814814,0.002566001196398337,0.9985185185185186,0.002566001196398361
pythia-1b,control,0.0,0.0,1.0,0.0
pythia-1.4b,low,0.0,0.0,1.0,0.0
pythia-1.4b,medium,0.0,0.0,1.0,0.0
pythia-1.4b,high,0.0014814814814814814,0.002566001196398337,0.9985185185185186,0.002566001196398361
pythia-1.4b,very_high,0.0,0.0,1.0,0.0
pythia-1.4b,control,0.0014814814814814814,0.002566001196398337,0.9985185185185186,0.002566001196398361
