model,train_band,draw,test_band,same_band,n_examples,accuracy,mean_correct_prob,std_correct_prob,median_correct_prob
pythia-70m,low,draw_1,low,True,225,0.2088888888888889,0.06728505480875437,0.1518522553351948,0.0025590015575289726
pythia-70m,low,draw_1,medium,False,225,0.3288888888888889,0.10705801892824095,0.20472085613194263,0.00784046296030283
pythia-70m,low,draw_1,high,False,225,0.3288888888888889,0.11714039927254463,0.20927130444363898,0.013618288561701775
pythia-70m,low,draw_1,very_high,False,225,0.4177777777777778,0.148779206581995,0.203810877593674,0.03894970938563347
pythia-70m,low,draw_1,control,False,225,0.4088888888888889,0.11292531103807454,0.16505534995055293,0.0394701212644577
pythia-70m,low,draw_2,low,True,225,0.3111111111111111,0.10688475428450304,0.214040040169053,0.005909474100917578
pythia-70m,low,draw_2,medium,False,225,0.3288888888888889,0.1170578915923377,0.20354996865537192,0.011063105426728725
pythia-70m,low,draw_2,high,False,225,0.3466666666666667,0.12985394955038324,0.21033899960578567,0.025924773886799812
pythia-70m,low,draw_2,very_high,False,225,0.4577777777777778,0.16210458646694556,0.22549737891454055,0.045335136353969574
pythia-70m,low,draw_2,control,False,225,0.4222222222222222,0.15897771286224055,0.2189082121961695,0.051166411489248276
pythia-70m,low,draw_3,low,True,225,0.2088888888888889,0.07068353271303658,0.16485750601098947,0.0013362731551751494
pythia-70m,low,draw_3,medium,False,225,0.3111111111111111,0.11372889963485522,0.2083605635665181,0.008671796880662441
pythia-70m,low,draw_3,high,False,225,0.4,0.1417554600538132,0.217353191556584,0.03453848138451576
pythia-70m,low,draw_3,very_high,False,225,0.5288888888888889,0.1932301231979141,0.2269971272413801,0.09875161200761795
pythia-70m,low,draw_3,control,False,225,0.4666666666666667,0.16660018011267919,0.21777858483300772,0.06122741103172302
pythia-70m,medium,draw_1,low,False,225,0.24,0.08205389697789116,0.1791086381447694,0.005186078604310751
pythia-70m,medium,draw_1,medium,True,225,0.38666666666666666,0.13090570182688807,0.2230896524289802,0.017939947545528412
pythia-70m,medium,draw_1,high,False,225,0.38666666666666666,0.14572733019888826,0.23151393516727545,0.021521994844079018
pythia-70m,medium,draw_1,very_high,False,225,0.5333333333333333,0.18077838002721264,0.22950820714844458,0.07345019280910492
pythia-70m,medium,draw_1,control,False,225,0.43555555555555553,0.14463008823938253,0.19539738344286176,0.052369579672813416
pythia-70m,medium,draw_2,low,False,225,0.30666666666666664,0.1038198190465594,0.20884365591281917,0.006930054165422916
pythia-70m,medium,draw_2,medium,True,225,0.3422222222222222,0.11296545604410078,0.1983405753321906,0.011130467057228088
pythia-70m,medium,draw_2,high,False,225,0.3688888888888889,0.13345907920742928,0.2005570425971844,0.0417548343539238
pythia-70m,medium,draw_2,very_high,False,225,0.48,0.17635362573640526,0.23247438190615258,0.06046576425433159
pythia-70m,medium,draw_2,control,False,225,0.4222222222222222,0.15611415432128978,0.21075688903597029,0.05636072903871536
pythia-70m,medium,draw_3,low,False,225,0.2088888888888889,0.0643300751548436,0.15135642715101033,0.001073641935363412
pythia-70m,medium,draw_3,medium,True,225,0.31555555555555553,0.11463150481006168,0.20965221828037517,0.006050040014088154
pythia-70m,medium,draw_3,high,False,225,0.4088888888888889,0.13619755558764055,0.2080782058873201,0.034436553716659546
pythia-70m,medium,draw_3,very_high,False,225,0.52,0.19783834824835342,0.2298337202079732,0.11140359938144684
pythia-70m,medium,draw_3,control,False,225,0.5022222222222222,0.17417384912430053,0.213800450034741,0.07974725216627121
pythia-70m,high,draw_1,low,False,225,0.2577777777777778,0.0835090127187358,0.17358855854677324,0.004964107181876898
pythia-70m,high,draw_1,medium,False,225,0.35555555555555557,0.1347985389097483,0.23495428110550434,0.015802565962076187
pythia-70m,high,draw_1,high,True,225,0.37777777777777777,0.14982667194557406,0.2425465294929396,0.02473081275820732
pythia-70m,high,draw_1,very_high,False,225,0.5022222222222222,0.19191655942554564,0.23314179670169558,0.06498445570468903
pythia-70m,high,draw_1,control,False,225,0.4888888888888889,0.16332396036988028,0.20608751312748683,0.07169823348522186
pythia-70m,high,draw_2,low,False,225,0.31555555555555553,0.10583336782971596,0.20858949439769775,0.008223151788115501
pythia-70m,high,draw_2,medium,False,225,0.3333333333333333,0.12449509831801707,0.20785111263297715,0.013654176145792007
pythia-70m,high,draw_2,high,True,225,0.40444444444444444,0.1433989974624617,0.20957295714630075,0.04077501222491264
pythia-70m,high,draw_2,very_high,False,225,0.49333333333333335,0.19701881802071916,0.23990123368756547,0.10438317805528641
pythia-70m,high,draw_2,control,False,225,0.4888888888888889,0.18935680829695534,0.23531638327054288,0.07093732059001923
pythia-70m,high,draw_3,low,False,225,0.23555555555555555,0.07642728835602836,0.1775129203781012,0.001568715670146048
pythia-70m,high,draw_3,medium,False,225,0.3466666666666667,0.12334312249979715,0.21524310627392135,0.008168431930243969
pythia-70m,high,draw_3,high,True,225,0.4666666666666667,0.16505386755263265,0.23725369608069014,0.05359823256731033
pythia-70m,high,draw_3,very_high,False,225,0.5955555555555555,0.2231792364380332,0.23456786166548335,0.15431271493434906
pythia-70m,high,draw_3,control,False,225,0.5155555555555555,0.19640088178753,0.22492691857411073,0.09829581528902054
pythia-70m,very_high,draw_1,low,False,225,0.21777777777777776,0.06847694864602268,0.15350233657659323,0.0043931566178798676
pythia-70m,very_high,draw_1,medium,False,225,0.35555555555555557,0.12718701244093142,0.22173365609058904,0.013077210634946823
pythia-70m,very_high,draw_1,high,False,225,0.36444444444444446,0.1445190121490782,0.22987689838174283,0.028637362644076347
pythia-70m,very_high,draw_1,very_high,True,225,0.5377777777777778,0.19881378534466218,0.2352910741525951,0.08786655962467194
pythia-70m,very_high,draw_1,control,False,225,0.48,0.16386842134691001,0.20695272114694593,0.06177962198853493
pythia-70m,very_high,draw_2,low,False,225,0.26666666666666666,0.10008361225983774,0.20346703950318595,0.005727070849388838
pythia-70m,very_high,draw_2,medium,False,225,0.35555555555555557,0.12235809901448597,0.20211274818114752,0.016591908410191536
pythia-70m,very_high,draw_2,high,False,225,0.41333333333333333,0.13552389762809375,0.19940210791638885,0.043442439287900925
pythia-70m,very_high,draw_2,very_high,True,225,0.52,0.20497651921963955,0.24078109507918918,0.09345224499702454
pythia-70m,very_high,draw_2,control,False,225,0.49333333333333335,0.1952245504904781,0.238719254773251,0.09581004828214645
pythia-70m,very_high,draw_3,low,False,225,0.2088888888888889,0.0583007525786371,0.13847231085680017,0.0010630181059241295
pythia-70m,very_high,draw_3,medium,False,225,0.27111111111111114,0.10544079705814176,0.20420081408834176,0.007316312752664089
pythia-70m,very_high,draw_3,high,False,225,0.40444444444444444,0.14645468456287794,0.21634730271216301,0.03808251768350601
pythia-70m,very_high,draw_3,very_high,True,225,0.5911111111111111,0.2228055720475883,0.23980604137848466,0.1388738602399826
pythia-70m,very_high,draw_3,control,False,225,0.49333333333333335,0.1860444001476814,0.22999267398556955,0.07733015716075897
pythia-70m,control,draw_1,low,False,225,0.26666666666666666,0.08862207280001105,0.18365949057876318,0.0033038994297385216
pythia-70m,control,draw_1,medium,False,225,0.3688888888888889,0.138013770909091,0.2321515585577591,0.012942162342369556
pythia-70m,control,draw_1,high,False,225,0.4,0.1527241423110546,0.24591279226058563,0.023533064872026443
pythia-70m,control,draw_1,very_high,False,225,0.5288888888888889,0.2053338510103236,0.24155304066797392,0.08426960557699203
pythia-70m,control,draw_1,control,True,225,0.5111111111111111,0.1877014039282767,0.2210159076956979,0.08204186707735062
pythia-70m,control,draw_2,low,False,225,0.3244444444444444,0.10753168519538134,0.2070356548601767,0.00721827894449234
pythia-70m,control,draw_2,medium,False,225,0.3688888888888889,0.12535687856237207,0.206566197833529,0.018555210903286934
pythia-70m,control,draw_2,high,False,225,0.4311111111111111,0.15092444564241708,0.21086077835387862,0.053713247179985046
pythia-70m,control,draw_2,very_high,False,225,0.56,0.22091539512411146,0.24643119547049724,0.1129172071814537
pythia-70m,control,draw_2,control,True,225,0.5244444444444445,0.20913250628346558,0.24733500950232665,0.09912813454866409
pythia-70m,control,draw_3,low,False,225,0.19555555555555557,0.06385747813459748,0.149851542675109,0.0012797943782061338
pythia-70m,control,draw_3,medium,False,225,0.3288888888888889,0.1182392116460247,0.20942532779113116,0.008461587131023407
pythia-70m,control,draw_3,high,False,225,0.43555555555555553,0.15921433892659276,0.2299980965594035,0.03895602375268936
pythia-70m,control,draw_3,very_high,False,225,0.6177777777777778,0.22956608063011016,0.24399873576205391,0.1504354327917099
pythia-70m,control,draw_3,control,True,225,0.5422222222222223,0.21924992167590973,0.24641185629408444,0.11210330575704575
pythia-160m,low,draw_1,low,True,225,0.8755555555555555,0.3369343391200528,0.25869041080995175,0.2752746045589447
pythia-160m,low,draw_1,medium,False,225,0.9244444444444444,0.4156233645271924,0.276950818721927,0.3945370018482208
pythia-160m,low,draw_1,high,False,225,0.8844444444444445,0.4416758652921352,0.2986964788530898,0.42607206106185913
pythia-160m,low,draw_1,very_high,False,225,0.9111111111111111,0.4713900849890585,0.26891615290402254,0.49819859862327576
pythia-160m,low,draw_1,control,False,225,0.8933333333333333,0.42787947620989547,0.27246793249774165,0.44974958896636963
pythia-160m,low,draw_2,low,True,225,0.8977777777777778,0.37444855731342813,0.2734548899979956,0.3447110056877136
pythia-160m,low,draw_2,medium,False,225,0.9288888888888889,0.4589900659583509,0.276180946466434,0.46384197473526
pythia-160m,low,draw_2,high,False,225,0.9644444444444444,0.4876729358649916,0.2747447478525086,0.47945675253868103
pythia-160m,low,draw_2,very_high,False,225,0.9022222222222223,0.4855926172973381,0.28591549169060326,0.524181604385376
pythia-160m,low,draw_2,control,False,225,0.9333333333333333,0.47796269298841554,0.25798861159651204,0.48089906573295593
pythia-160m,low,draw_3,low,True,225,0.8977777777777778,0.3278653346819596,0.2520313192592462,0.2664586305618286
pythia-160m,low,draw_3,medium,False,225,0.9066666666666666,0.39692482414215596,0.2768594499563977,0.3765619695186615
pythia-160m,low,draw_3,high,False,225,0.9066666666666666,0.4552494499568517,0.2727382837896,0.43685251474380493
pythia-160m,low,draw_3,very_high,False,225,0.9288888888888889,0.45238256226500706,0.2789144007314726,0.439068078994751
pythia-160m,low,draw_3,control,False,225,0.8888888888888888,0.4668596031571118,0.27541863600549016,0.47173643112182617
pythia-160m,medium,draw_1,low,False,225,0.8533333333333334,0.345223777188609,0.261189734251518,0.30173203349113464
pythia-160m,medium,draw_1,medium,True,225,0.9155555555555556,0.4109990031727486,0.2793855152520854,0.3675583600997925
pythia-160m,medium,draw_1,high,False,225,0.9066666666666666,0.45169759147283106,0.3011823895387291,0.42880547046661377
pythia-160m,medium,draw_1,very_high,False,225,0.9066666666666666,0.47636814615275297,0.2821885768021551,0.4910808205604553
pythia-160m,medium,draw_1,control,False,225,0.92,0.4475699048326351,0.2758350590187505,0.4628615379333496
pythia-160m,medium,draw_2,low,False,225,0.8266666666666667,0.3312798384918521,0.27264486857413694,0.2703012526035309
pythia-160m,medium,draw_2,medium,True,225,0.9244444444444444,0.41365339236644405,0.2766849381084957,0.39915454387664795
pythia-160m,medium,draw_2,high,False,225,0.9511111111111111,0.4668511757544345,0.2762027042753738,0.46816423535346985
