model,band,circuit_acc_mean,circuit_acc_std,circuit_top5_mean,circuit_top5_std,circuit_kl_mean,circuit_kl_std,retention_mean,retention_std
pythia-70m,low,0.24296296296296296,0.05901802751716174,0.3925925925925926,0.056626710677381904,0.22941167652606964,0.017590729988665645,0.8029724528168015,0.06522450699163473
pythia-70m,medium,0.3481481481481481,0.035924016749576744,0.4666666666666666,0.035276684147527874,0.2417558083931605,0.010827116639616255,0.8690604716920506,0.04047109302109822
pythia-70m,high,0.41629629629629633,0.04561423501730567,0.5851851851851851,0.05662671067738189,0.271721546848615,0.04220062123130702,0.8295828218576796,0.07351568717479183
pythia-70m,very_high,0.5496296296296297,0.03700739554606457,0.7200000000000001,0.03471222078180733,0.25559205810228985,0.01616567342943058,0.8203257007119209,0.017721174438120667
pythia-70m,control,0.525925925925926,0.015608375930152263,0.7125925925925927,0.04752300720694949,0.25700222452481586,0.021474642277542335,0.8846239404364273,0.044935348036158486
pythia-160m,low,0.8903703703703704,0.01283000598199167,0.9703703703703703,0.0067890010295642116,0.30509282151858014,0.010032051597623456,0.9585091078512131,0.010132040916581748
pythia-160m,medium,0.9111111111111111,0.016024672335395496,0.9851851851851853,0.011184939904104735,0.2872107923030853,0.010030124093817212,0.951995406258972,0.015014116547478083
pythia-160m,high,0.9229629629629629,0.011184939904104796,0.9777777777777779,0.008888888888888877,0.2999626894791921,0.02526131392787519,0.9615172705072387,0.018317155314480606
pythia-160m,very_high,0.9511111111111111,0.013333333333333308,0.9925925925925926,0.006789001029564227,0.2794307867685954,0.021215894817134682,0.98164420112431,0.012140438025685164
pythia-160m,control,0.9362962962962963,0.011184939904104836,0.9851851851851853,0.006789001029564254,0.29005055626233417,0.010815967199430426,0.9576699987658891,0.01852687679517171
pythia-410m,low,0.9466666666666667,0.011758894715842617,0.9896296296296296,0.006789001029564203,0.3861386279265086,0.06684885425053884,0.9637799667211432,0.007961914926442324
pythia-410m,medium,0.9748148148148147,0.009251848886516143,0.997037037037037,0.002566001196398361,0.3037397662798564,0.016615441395309228,0.9880622367169453,0.01578029092344364
pythia-410m,high,0.9674074074074074,0.011184939904104754,0.9925925925925926,0.005132002392796626,0.27486171821753186,0.04512009274849432,0.9746156310057655,0.00936694075625201
pythia-410m,very_high,0.9629629629629629,0.012830005981991622,0.9881481481481482,0.0025660011963983373,0.318689892689387,0.00217140293817852,0.9716049881491058,0.011212731698409075
pythia-410m,control,0.9688888888888889,0.007698003589194979,0.994074074074074,0.002566001196398305,0.317057987054189,0.016192156551188913,0.9790597772660553,0.010332734183775925
pythia-1b,low,0.9051851851851852,0.04200725001113434,0.9837037037037039,0.009251848886516112,0.6209910909334818,0.07184877619597002,0.9270928462709285,0.04070451699751678
pythia-1b,medium,0.9348148148148149,0.010264004785593398,0.9881481481481482,0.002566001196398361,0.5448445479075114,0.023036168140659983,0.9446428571428571,0.010061988990700637
pythia-1b,high,0.9362962962962963,0.018503697773032287,0.9866666666666667,0.004444444444444473,0.4661264320214589,0.03812924508952504,0.9461042943395884,0.016269780500735447
pythia-1b,very_high,0.9362962962962963,0.009251848886516121,0.9851851851851853,0.009251848886516166,0.4801776508490245,0.02404183294506068,0.944699464038029,0.00926838768038798
pythia-1b,control,0.9407407407407407,0.002566001196398289,0.9851851851851853,0.002566001196398361,0.5041509370009104,0.06937802727332316,0.9506247318747318,0.007500166383053651
pythia-1.4b,low,0.7985185185185185,0.022807117508652844,0.9496296296296296,0.014286890016285891,0.6464454332987467,0.06488065318061258,0.8332268500571899,0.029258977592855905
pythia-1.4b,medium,0.8592592592592592,0.01357800205912845,0.9748148148148149,0.006789001029564209,0.5664116541544596,0.05278376681463342,0.8854956502311033,0.013764788442750794
pythia-1.4b,high,0.8948148148148148,0.017962008374788344,0.9896296296296296,0.0025660011963983373,0.5403222441673279,0.04544319145366472,0.9042522383777989,0.019662825605704745
pythia-1.4b,very_high,0.9185185185185185,0.018503697773032287,0.9837037037037036,0.002566001196398361,0.5096398095289866,0.051463850542167566,0.9239514514514514,0.013801650240575468
pythia-1.4b,control,0.9244444444444445,0.01175889471584268,0.9822222222222222,0.0,0.5303086241086324,0.01654974818708851,0.9398034398034398,0.015625539744749284
