model,band,draw,threshold,n_edges,total_edges,size_fraction,base_accuracy,base_top5_accuracy,base_top10_accuracy,base_mean_correct_prob,circuit_accuracy,circuit_top5_accuracy,circuit_top10_accuracy,circuit_mean_correct_prob,circuit_kl_div,ablation_accuracy,ablation_top5_accuracy,ablation_top10_accuracy,ablation_mean_correct_prob,ablation_kl_div,retention_ratio,completeness,top1_top5_gap,frequency_rank,necessity_pass,training_time_seconds
pythia-70m,low,draw_1,0.00158,380,1324,0.28700906344410876,0.28444444444444444,0.4444444444444444,0.5111111111111111,0.1008112996596967,0.2088888888888889,0.36444444444444446,0.40444444444444444,0.06728505480875437,0.2487964630126953,0.0,0.0,0.0,1.7345766446580492e-05,3.299431562423706,0.734375,1.0,0.15555555555555556,1.0,True,81.61219882965088
pythia-70m,low,draw_2,0.00158,396,1324,0.2990936555891239,0.36,0.5244444444444445,0.5555555555555556,0.13608967401258762,0.3111111111111111,0.4577777777777778,0.4888888888888889,0.10688475428450304,0.22497345507144928,0.0,0.0044444444444444444,0.0044444444444444444,0.00010856340717311089,3.638824939727783,0.8641975308641976,1.0,0.14666666666666667,1.0,True,80.40988731384277
pythia-70m,low,draw_3,0.00158,391,1324,0.29531722054380666,0.2577777777777778,0.39555555555555555,0.4711111111111111,0.0991126681231686,0.2088888888888889,0.35555555555555557,0.38666666666666666,0.07068353271303658,0.21446511149406433,0.0,0.0,0.0,2.0147136778476927e-05,3.4178121089935303,0.810344827586207,1.0,0.14666666666666667,1.0,True,81.08619093894958
pythia-70m,medium,draw_1,0.00158,395,1324,0.2983383685800604,0.4222222222222222,0.5777777777777777,0.6311111111111111,0.170893516682791,0.38666666666666666,0.49333333333333335,0.5555555555555556,0.13090570182688807,0.24423150718212128,0.0,0.0,0.0,3.1680535143323706e-05,4.061990737915039,0.9157894736842105,1.0,0.10666666666666669,2.0,True,81.14825344085693
pythia-70m,medium,draw_2,0.00158,392,1324,0.29607250755287007,0.40444444444444444,0.5688888888888889,0.6177777777777778,0.1668682542128843,0.3422222222222222,0.48,0.52,0.11296545604410078,0.2511306703090668,0.0,0.0,0.0,6.587700402240672e-05,3.9696390628814697,0.8461538461538461,1.0,0.13777777777777778,2.0,True,80.87064599990845
pythia-70m,medium,draw_3,0.00158,406,1324,0.3066465256797583,0.37333333333333335,0.5244444444444445,0.5466666666666666,0.15395668593047426,0.31555555555555553,0.4266666666666667,0.4666666666666667,0.11463150481006168,0.22990524768829346,0.0,0.0,0.0044444444444444444,8.435519640987198e-05,3.73156476020813,0.8452380952380951,1.0,0.11111111111111116,2.0,True,80.46997117996216
pythia-70m,high,draw_1,0.00158,414,1324,0.31268882175226587,0.4577777777777778,0.5955555555555555,0.6311111111111111,0.20911492377881485,0.37777777777777777,0.52,0.5644444444444444,0.14982667194557406,0.2822001278400421,0.0,0.0,0.0,0.00013354444806353962,4.166972637176514,0.8252427184466019,1.0,0.14222222222222225,3.0,True,81.24958944320679
pythia-70m,high,draw_2,0.00158,405,1324,0.30589123867069484,0.5333333333333333,0.6977777777777778,0.7511111111111111,0.2038787551692844,0.40444444444444444,0.6133333333333333,0.6888888888888889,0.1433989974624617,0.3076956272125244,0.0,0.0,0.0,0.000127037922209734,4.076252460479736,0.7583333333333333,1.0,0.20888888888888885,3.0,True,80.43540716171265
pythia-70m,high,draw_3,0.00158,431,1324,0.3255287009063444,0.5155555555555555,0.6488888888888888,0.6888888888888889,0.1954730470451932,0.4666666666666667,0.6222222222222222,0.6577777777777778,0.16505386755263265,0.2252688854932785,0.0,0.0,0.0,0.00012287748987129416,4.221240997314453,0.9051724137931035,1.0,0.15555555555555556,3.0,True,80.76828289031982
pythia-70m,very_high,draw_1,0.00158,424,1324,0.3202416918429003,0.6533333333333333,0.7911111111111111,0.8355555555555556,0.26211252286870756,0.5377777777777778,0.7377777777777778,0.7866666666666666,0.19881378534466218,0.2377515435218811,0.0,0.0,0.0,0.0002563113010337759,4.420524597167969,0.8231292517006803,1.0,0.19999999999999996,4.0,True,80.7143976688385
pythia-70m,very_high,draw_2,0.00158,417,1324,0.3149546827794562,0.6488888888888888,0.8133333333333334,0.8311111111111111,0.28177048009979544,0.52,0.68,0.7511111111111111,0.20497651921963955,0.2692679464817047,0.0,0.0,0.0,0.0003257169727475784,4.347933292388916,0.8013698630136987,1.0,0.16000000000000003,4.0,True,80.99882078170776
pythia-70m,very_high,draw_3,0.00158,417,1324,0.3149546827794562,0.7066666666666667,0.8266666666666667,0.8622222222222222,0.30203613068747576,0.5911111111111111,0.7422222222222222,0.7777777777777778,0.2228055720475883,0.2597566843032837,0.0,0.0044444444444444444,0.0044444444444444444,0.0004292210124298463,4.4196624755859375,0.8364779874213837,1.0,0.15111111111111108,4.0,True,80.40223169326782
pythia-70m,control,draw_1,0.00158,435,1324,0.3285498489425982,0.5955555555555555,0.7955555555555556,0.84,0.22581108712009862,0.5111111111111111,0.7022222222222222,0.7688888888888888,0.1877014039282767,0.27525433897972107,0.0,0.0,0.0,0.00017885124515157398,4.068204402923584,0.8582089552238806,1.0,0.19111111111111112,,True,81.16767740249634
pythia-70m,control,draw_2,0.00158,410,1324,0.30966767371601206,0.56,0.7422222222222222,0.7866666666666666,0.24513468120335447,0.5244444444444445,0.6711111111111111,0.7244444444444444,0.20913250628346558,0.2333398163318634,0.0,0.0044444444444444444,0.0044444444444444444,0.00022584861958279505,4.483119487762451,0.9365079365079365,1.0,0.1466666666666666,,True,80.56007289886475
pythia-70m,control,draw_3,0.00158,426,1324,0.3217522658610272,0.6311111111111111,0.7866666666666666,0.8266666666666667,0.26060410890490554,0.5422222222222223,0.7644444444444445,0.8088888888888889,0.21924992167590973,0.26241251826286316,0.0,0.0,0.0,0.00023567109902062258,4.337664604187012,0.859154929577465,1.0,0.2222222222222222,,True,81.03415584564209
pythia-160m,low,draw_1,0.000631,1463,11467,0.1275835004796372,0.9244444444444444,0.9911111111111112,1.0,0.40664153397911124,0.8755555555555555,0.9644444444444444,0.9777777777777777,0.3369343391200528,0.30963048338890076,0.0,0.0,0.0,3.339232625887373e-05,5.246500015258789,0.9471153846153846,1.0,0.0888888888888889,1.0,True,2560.2055609226227
pythia-160m,low,draw_2,0.000631,1483,11467,0.12932763582454,0.9333333333333333,0.9955555555555555,0.9955555555555555,0.41268987488932907,0.8977777777777778,0.9777777777777777,0.9822222222222222,0.37444855731342813,0.2935936450958252,0.0,0.0,0.0,4.4616661893239024e-05,5.233504772186279,0.9619047619047619,1.0,0.07999999999999996,1.0,True,2560.496281862259
pythia-160m,low,draw_3,0.000631,1408,11467,0.12278712828115462,0.9288888888888889,0.9866666666666667,0.9955555555555555,0.4233712222861747,0.8977777777777778,0.9688888888888889,0.9866666666666667,0.32786666793127855,0.3120543360710144,0.0,0.0,0.0,4.789840919083114e-05,5.213798999786377,0.9665071770334929,1.0,0.07111111111111112,1.0,True,1969.286898612976
pythia-160m,medium,draw_1,0.000631,1446,11467,0.12610098543646986,0.9555555555555556,1.0,1.0,0.45685618015627066,0.9155555555555556,0.9955555555555555,1.0,0.4109990031727486,0.29367750883102417,0.0,0.0,0.0,6.820679908704126e-05,5.306859970092773,0.958139534883721,1.0,0.07999999999999996,2.0,True,2556.3155455589294
