model,train_band,same_band_mean,cross_band_mean_mean,gap_mean,gap_std,transfer_ratio_mean
pythia-1.4b,control,0.9244444444444445,0.8562962962962963,0.06814814814814811,0.021266484770304614,0.9264373053846738
pythia-1.4b,high,0.8948148148148148,0.8459259259259259,0.04888888888888895,0.027307123838765584,0.9452074287294074
pythia-1.4b,low,0.7985185185185185,0.912962962962963,-0.11444444444444442,0.030082191934846386,1.144116592716533
pythia-1.4b,medium,0.8592592592592592,0.8914814814814814,-0.03222222222222223,0.019277057303219415,1.037675327863104
pythia-1.4b,very_high,0.9185185185185185,0.7751851851851851,0.1433333333333334,0.017105338131489605,0.8440214763234565
pythia-160m,control,0.9362962962962963,0.8992592592592592,0.03703703703703709,0.02315629486272673,0.9606277549140593
pythia-160m,high,0.9229629629629629,0.8903703703703704,0.03259259259259262,0.015167107577365412,0.9647804431341016
pythia-160m,low,0.8903703703703704,0.9144444444444444,-0.024074074074074064,0.012636090451283031,1.0270769462733076
pythia-160m,medium,0.9111111111111111,0.9011111111111111,0.010000000000000045,0.019372884193514163,0.9892700464877504
pythia-160m,very_high,0.9511111111111111,0.8948148148148148,0.05629629629629629,0.015882801216586345,0.9408501539057972
pythia-1b,control,0.9407407407407407,0.8922222222222222,0.048518518518518516,0.007056503290095407,0.948431771438791
pythia-1b,high,0.9362962962962963,0.9166666666666666,0.019629629629629664,0.014501312555890248,0.9792131402656677
pythia-1b,low,0.9051851851851852,0.9303703703703704,-0.02518518518518516,0.03542220363399302,1.0290855310393463
pythia-1b,medium,0.9348148148148149,0.9233333333333333,0.011481481481481462,0.012389428654576103,0.98781177228175
pythia-1b,very_high,0.9362962962962963,0.8477777777777779,0.08851851851851851,0.04352285242407227,0.9054341198707396
pythia-410m,control,0.9688888888888889,0.9418518518518519,0.02703703703703701,0.0027962349760262506,0.972107596704371
pythia-410m,high,0.9674074074074074,0.9444444444444445,0.022962962962962963,0.020974215014470655,0.976428273561301
pythia-410m,low,0.9466666666666667,0.9674074074074074,-0.020740740740740726,0.008981004187394172,1.021962831038735
pythia-410m,medium,0.9748148148148147,0.9555555555555556,0.019259259259259198,0.014754506879290467,0.9803354062130154
pythia-410m,very_high,0.9629629629629629,0.9314814814814815,0.03148148148148148,0.021923923832516633,0.9675035236081747
pythia-70m,control,0.525925925925926,0.4022222222222222,0.12370370370370375,0.022452510468485454,0.7652141697975686
pythia-70m,high,0.41629629629629633,0.4107407407407407,0.005555555555555573,0.03421067626297925,0.9923831070889895
pythia-70m,low,0.24296296296296296,0.3955555555555555,-0.15259259259259259,0.07049501631394149,1.6897163120567376
pythia-70m,medium,0.3481481481481481,0.40111111111111114,-0.05296296296296299,0.04111611581149014,1.1611674575491964
pythia-70m,very_high,0.5496296296296297,0.3603703703703704,0.18925925925925927,0.05468578407066932,0.6589468036836458
