model,band,base_acc,circuit_acc,circuit_acc_std,circuit_top5,kl_div,ablation_acc,completeness,retention,size_frac,n_edges
pythia-70m,low,0.30074074074074075,0.24296296296296296,0.05901802751716174,0.3925925925925926,0.22941167652606964,0.0,1.0,0.8029724528168015,0.2938066465256797,389.0
pythia-70m,medium,0.39999999999999997,0.3481481481481481,0.035924016749576744,0.4666666666666666,0.2417558083931605,0.0,1.0,0.8690604716920506,0.30035246727089626,397.6666666666667
pythia-70m,high,0.5022222222222222,0.41629629629629633,0.04561423501730567,0.5851851851851851,0.271721546848615,0.0,1.0,0.8295828218576796,0.3147029204431017,416.6666666666667
pythia-70m,very_high,0.6696296296296297,0.5496296296296297,0.03700739554606457,0.7200000000000001,0.25559205810228985,0.0,1.0,0.8203257007119209,0.31671701913393757,419.3333333333333
pythia-70m,control,0.5955555555555555,0.525925925925926,0.015608375930152263,0.7125925925925927,0.25700222452481586,0.0,1.0,0.8846239404364273,0.3199899295065458,423.6666666666667
pythia-160m,low,0.9288888888888889,0.8903703703703704,0.01283000598199167,0.9703703703703703,0.30509282151858014,0.0,1.0,0.9585091078512131,0.12656608819511062,1451.3333333333333
pythia-160m,medium,0.9570370370370371,0.9111111111111111,0.016024672335395496,0.9851851851851853,0.2872107923030853,0.0,1.0,0.951995406258972,0.12889160198831429,1478.0
pythia-160m,high,0.96,0.9229629629629629,0.011184939904104796,0.9777777777777779,0.2999626894791921,0.0014814814814814814,0.9985185185185186,0.9615172705072387,0.12206040522077848,1399.6666666666667
pythia-160m,very_high,0.9688888888888889,0.9511111111111111,0.013333333333333308,0.9925925925925926,0.2794307867685954,0.0,1.0,0.98164420112431,0.11610127612569403,1331.3333333333333
pythia-160m,control,0.9777777777777779,0.9362962962962963,0.011184939904104836,0.9851851851851853,0.29005055626233417,0.0,1.0,0.9576699987658891,0.1196767535827447,1372.3333333333333
pythia-410m,low,0.9822222222222222,0.9466666666666667,0.011758894715842617,0.9896296296296296,0.3861386279265086,0.0,1.0,0.9637799667211432,0.049337519597258246,3975.6666666666665
pythia-410m,medium,0.9866666666666667,0.9748148148148147,0.009251848886516143,0.997037037037037,0.3037397662798564,0.0014814814814814814,0.9985185185185186,0.9880622367169453,0.047314710250141674,3812.6666666666665
pythia-410m,high,0.9925925925925926,0.9674074074074074,0.011184939904104754,0.9925925925925926,0.27486171821753186,0.0,1.0,0.9746156310057655,0.04278096987296426,3447.3333333333335
pythia-410m,very_high,0.991111111111111,0.9629629629629629,0.012830005981991622,0.9881481481481482,0.318689892689387,0.0,1.0,0.9716049881491058,0.04089880575652656,3295.6666666666665
pythia-410m,control,0.9896296296296296,0.9688888888888889,0.007698003589194979,0.994074074074074,0.317057987054189,0.0014814814814814814,0.9985185185185186,0.9790597772660553,0.041879185746846855,3374.6666666666665
pythia-1b,low,0.9762962962962963,0.9051851851851852,0.04200725001113434,0.9837037037037039,0.6209910909334818,0.0,1.0,0.9270928462709285,0.09664635161687814,967.3333333333334
pythia-1b,medium,0.9896296296296296,0.9348148148148149,0.010264004785593398,0.9881481481481482,0.5448445479075114,0.0,1.0,0.9446428571428571,0.09361574582875413,937.0
pythia-1b,high,0.9896296296296296,0.9362962962962963,0.018503697773032287,0.9866666666666667,0.4661264320214589,0.0,1.0,0.9461042943395884,0.0948812735204982,949.6666666666666
pythia-1b,very_high,0.9911111111111112,0.9362962962962963,0.009251848886516121,0.9851851851851853,0.4801776508490245,0.0014814814814814814,0.9985185185185186,0.944699464038029,0.08459053518500016,846.6666666666666
pythia-1b,control,0.9896296296296296,0.9407407407407407,0.002566001196398289,0.9851851851851853,0.5041509370009104,0.0,1.0,0.9506247318747318,0.08728810737003363,873.6666666666666
pythia-1.4b,low,0.9585185185185185,0.7985185185185185,0.022807117508652844,0.9496296296296296,0.6464454332987467,0.0,1.0,0.8332268500571899,0.03185200812433039,2566.6666666666665
pythia-1.4b,medium,0.9703703703703704,0.8592592592592592,0.01357800205912845,0.9748148148148149,0.5664116541544596,0.0,1.0,0.8854956502311033,0.030838535138556236,2485.0
pythia-1.4b,high,0.9896296296296296,0.8948148148148148,0.017962008374788344,0.9896296296296296,0.5403222441673279,0.0014814814814814814,0.9985185185185186,0.9042522383777989,0.02674327695114233,2155.0
pythia-1.4b,very_high,0.994074074074074,0.9185185185185185,0.018503697773032287,0.9837037037037036,0.5096398095289866,0.0,1.0,0.9239514514514514,0.025121720173903694,2024.3333333333333
pythia-1.4b,control,0.9837037037037036,0.9244444444444445,0.01175889471584268,0.9822222222222222,0.5303086241086324,0.0014814814814814814,0.9985185185185186,0.9398034398034398,0.026722593828983676,2153.3333333333335
