model,test_band,example_idx,n_conditions,n_correct,mean_prob,robustness_score,category
pythia-1.4b,control,0,15,15,0.41885004118084906,1.0,always_correct
pythia-1.4b,control,1,15,14,0.41012757032488784,0.9333333333333333,variable
pythia-1.4b,control,2,15,15,0.6935170948505401,1.0,always_correct
pythia-1.4b,control,3,15,9,0.26480107605457304,0.6,variable
pythia-1.4b,control,4,15,13,0.4495753328005473,0.8666666666666667,variable
pythia-1.4b,control,5,15,9,0.1370632082146282,0.6,variable
pythia-1.4b,control,6,15,14,0.2867614554862181,0.9333333333333333,variable
pythia-1.4b,control,7,15,12,0.3192911192153891,0.8,variable
pythia-1.4b,control,8,15,15,0.3925352265437444,1.0,always_correct
pythia-1.4b,control,9,15,15,0.3113206088542938,1.0,always_correct
pythia-1.4b,control,10,15,15,0.40616277332107226,1.0,always_correct
pythia-1.4b,control,11,15,12,0.23849113360047342,0.8,variable
pythia-1.4b,control,12,15,14,0.6199454852690299,0.9333333333333333,variable
pythia-1.4b,control,13,15,12,0.151558955013752,0.8,variable
pythia-1.4b,control,14,15,14,0.46590202699104943,0.9333333333333333,variable
pythia-1.4b,control,15,15,15,0.532076754172643,1.0,always_correct
pythia-1.4b,control,16,15,6,0.05954862367361784,0.4,variable
pythia-1.4b,control,17,15,11,0.27810614050055543,0.7333333333333333,variable
pythia-1.4b,control,18,15,15,0.3849390869339307,1.0,always_correct
pythia-1.4b,control,19,15,15,0.6543169359366099,1.0,always_correct
pythia-1.4b,control,20,15,15,0.40553795198599496,1.0,always_correct
pythia-1.4b,control,21,15,14,0.41407834844042857,0.9333333333333333,variable
pythia-1.4b,control,22,15,15,0.2113050530354182,1.0,always_correct
pythia-1.4b,control,23,15,15,0.4413644254207611,1.0,always_correct
pythia-1.4b,control,24,15,15,0.47485357224941255,1.0,always_correct
pythia-1.4b,control,25,15,14,0.547986947496732,0.9333333333333333,variable
pythia-1.4b,control,26,15,9,0.2938019875107178,0.6,variable
pythia-1.4b,control,27,15,15,0.4887890030940374,1.0,always_correct
pythia-1.4b,control,28,15,12,0.21905368492007254,0.8,variable
pythia-1.4b,control,29,15,14,0.5265863398710887,0.9333333333333333,variable
pythia-1.4b,control,30,15,13,0.3848214913159609,0.8666666666666667,variable
pythia-1.4b,control,31,15,11,0.24847610011541596,0.7333333333333333,variable
pythia-1.4b,control,32,15,15,0.576306868220369,1.0,always_correct
pythia-1.4b,control,33,15,15,0.5169233630100886,1.0,always_correct
pythia-1.4b,control,34,15,15,0.3778137731055419,1.0,always_correct
pythia-1.4b,control,35,15,15,0.30296082024772963,1.0,always_correct
pythia-1.4b,control,36,15,13,0.342518417397514,0.8666666666666667,variable
pythia-1.4b,control,37,15,14,0.3847687530020873,0.9333333333333333,variable
pythia-1.4b,control,38,15,14,0.36795226658384006,0.9333333333333333,variable
pythia-1.4b,control,39,15,10,0.26763552421083053,0.6666666666666666,variable
pythia-1.4b,control,40,15,15,0.49597040340304377,1.0,always_correct
pythia-1.4b,control,41,15,15,0.32845241352915766,1.0,always_correct
pythia-1.4b,control,42,15,13,0.5324280839413404,0.8666666666666667,variable
pythia-1.4b,control,43,15,15,0.42367746233940123,1.0,always_correct
pythia-1.4b,control,44,15,9,0.3829055810153174,0.6,variable
pythia-1.4b,control,45,15,14,0.3499248436341683,0.9333333333333333,variable
pythia-1.4b,control,46,15,12,0.3608662993957599,0.8,variable
pythia-1.4b,control,47,15,14,0.27823159471154213,0.9333333333333333,variable
pythia-1.4b,control,48,15,11,0.34840449780846633,0.7333333333333333,variable
pythia-1.4b,control,49,15,11,0.31247541901733106,0.7333333333333333,variable
pythia-1.4b,control,50,15,12,0.6058084716399511,0.8,variable
pythia-1.4b,control,51,15,15,0.5683161286016305,1.0,always_correct
pythia-1.4b,control,52,15,15,0.25062244484821955,1.0,always_correct
pythia-1.4b,control,53,15,15,0.2757932818184296,1.0,always_correct
pythia-1.4b,control,54,15,15,0.6160102407137553,1.0,always_correct
pythia-1.4b,control,55,15,14,0.4443328302353621,0.9333333333333333,variable
pythia-1.4b,control,56,15,10,0.22028276914109787,0.6666666666666666,variable
pythia-1.4b,control,57,15,13,0.5407915495336055,0.8666666666666667,variable
pythia-1.4b,control,58,15,13,0.5919437764833371,0.8666666666666667,variable
pythia-1.4b,control,59,15,15,0.3910789022843043,1.0,always_correct
pythia-1.4b,control,60,15,15,0.30284274568160374,1.0,always_correct
pythia-1.4b,control,61,15,15,0.39420699576536816,1.0,always_correct
pythia-1.4b,control,62,15,14,0.3610025112827619,0.9333333333333333,variable
pythia-1.4b,control,63,15,14,0.3097845790286859,0.9333333333333333,variable
pythia-1.4b,control,64,15,15,0.5240739087263743,1.0,always_correct
pythia-1.4b,control,65,15,15,0.5599485009908676,1.0,always_correct
pythia-1.4b,control,66,15,15,0.24570272316535313,1.0,always_correct
pythia-1.4b,control,67,15,15,0.3466790216664473,1.0,always_correct
pythia-1.4b,control,68,15,15,0.47618261550863583,1.0,always_correct
pythia-1.4b,control,69,15,13,0.45943432015677294,0.8666666666666667,variable
pythia-1.4b,control,70,15,15,0.624385807911555,1.0,always_correct
pythia-1.4b,control,71,15,14,0.20043920129537582,0.9333333333333333,variable
pythia-1.4b,control,72,15,14,0.4244093505044778,0.9333333333333333,variable
pythia-1.4b,control,73,15,13,0.24905552840791642,0.8666666666666667,variable
