model,band,draw,n_edges,real_accuracy,mean_random_accuracy,std_random_accuracy,z_score,percentile_rank,z_score_capped
pythia-70m,low,draw_1,380,0.2088888888888889,0.0,0.0,inf,100.0,1000.0
pythia-70m,low,draw_2,396,0.3111111111111111,0.0002666666666666666,0.0010554970744033705,294.50052679696165,100.0,294.50052679696165
pythia-70m,low,draw_3,391,0.2088888888888889,0.0,0.0,inf,100.0,1000.0
pythia-70m,medium,draw_1,395,0.38666666666666666,0.0,0.0,inf,100.0,1000.0
pythia-70m,medium,draw_2,392,0.3422222222222222,0.0,0.0,inf,100.0,1000.0
pythia-70m,medium,draw_3,406,0.31555555555555553,0.0,0.0,inf,100.0,1000.0
pythia-70m,high,draw_1,414,0.37777777777777777,0.0,0.0,inf,100.0,1000.0
pythia-70m,high,draw_2,405,0.40444444444444444,0.0,0.0,inf,100.0,1000.0
pythia-70m,high,draw_3,431,0.4666666666666667,0.0,0.0,inf,100.0,1000.0
pythia-70m,very_high,draw_1,424,0.5377777777777778,4.4444444444444447e-05,0.00044221663871405343,1215.9952526821205,100.0,1000.0
pythia-70m,very_high,draw_2,417,0.52,4.4444444444444447e-05,0.0004422166387140534,1175.7937400717522,100.0,1000.0
pythia-70m,very_high,draw_3,417,0.5911111111111111,0.0004444444444444444,0.001333333333333333,443.0000000000001,100.0,443.0000000000001
pythia-70m,control,draw_1,435,0.5111111111111111,0.0,0.0,inf,100.0,1000.0
pythia-70m,control,draw_2,410,0.5244444444444445,0.0005777777777777778,0.001494681930737799,350.4870540637885,100.0,350.4870540637885
pythia-70m,control,draw_3,426,0.5422222222222223,0.0,0.0,inf,100.0,1000.0
pythia-160m,low,draw_1,1463,0.8755555555555555,0.0,0.0,inf,100.0,1000.0
pythia-160m,low,draw_2,1483,0.8977777777777778,0.0,0.0,inf,100.0,1000.0
pythia-160m,low,draw_3,1408,0.8977777777777778,0.0,0.0,inf,100.0,1000.0
pythia-160m,medium,draw_1,1446,0.9155555555555556,0.0,0.0,inf,100.0,1000.0
pythia-160m,medium,draw_2,1513,0.9244444444444444,0.0,0.0,inf,100.0,1000.0
pythia-160m,medium,draw_3,1475,0.8933333333333333,0.0,0.0,inf,100.0,1000.0
pythia-160m,high,draw_1,1360,0.9111111111111111,0.0,0.0,inf,100.0,1000.0
pythia-160m,high,draw_2,1454,0.9333333333333333,0.0002222222222222222,0.0009686442096757052,963.3166665224888,100.0,963.3166665224888
pythia-160m,high,draw_3,1385,0.9244444444444444,0.0037777777777777766,0.0015869840952317446,580.1360388128044,100.0,580.1360388128044
pythia-160m,very_high,draw_1,1358,0.9644444444444444,0.0016,0.0021333333333333334,451.3333333333333,100.0,451.3333333333333
pythia-160m,very_high,draw_2,1306,0.9377777777777778,0.00039999999999999996,0.001271918935222594,736.9791830433995,100.0,736.9791830433995
pythia-160m,very_high,draw_3,1330,0.9511111111111111,0.0,0.0,inf,100.0,1000.0
pythia-160m,control,draw_1,1392,0.9244444444444444,0.0,0.0,inf,100.0,1000.0
pythia-160m,control,draw_2,1380,0.9377777777777778,0.0,0.0,inf,100.0,1000.0
pythia-160m,control,draw_3,1345,0.9466666666666667,0.0,0.0,inf,100.0,1000.0
pythia-410m,low,draw_1,3957,0.9377777777777778,0.0,0.0,inf,100.0,1000.0
pythia-410m,low,draw_2,3848,0.9422222222222222,0.0,0.0,inf,100.0,1000.0
pythia-410m,low,draw_3,4122,0.96,0.0,0.0,inf,100.0,1000.0
pythia-410m,medium,draw_1,3809,0.9777777777777777,0.0,0.0,inf,100.0,1000.0
pythia-410m,medium,draw_2,3709,0.9822222222222222,0.004444444444444444,8.673617379884035e-19,1.1273010267266948e+18,100.0,1000.0
pythia-410m,medium,draw_3,3920,0.9644444444444444,0.0,0.0,inf,100.0,1000.0
pythia-410m,high,draw_1,3480,0.9688888888888889,0.0,0.0,inf,100.0,1000.0
pythia-410m,high,draw_2,3483,0.9555555555555556,0.0,0.0,inf,100.0,1000.0
pythia-410m,high,draw_3,3379,0.9777777777777777,0.0,0.0,inf,100.0,1000.0
pythia-410m,very_high,draw_1,3131,0.9555555555555556,4.4444444444444447e-05,0.0004422166387140535,2160.7307990257796,100.0,1000.0
pythia-410m,very_high,draw_2,3476,0.9555555555555556,4.4444444444444447e-05,0.0004422166387140534,2160.73079902578,100.0,1000.0
pythia-410m,very_high,draw_3,3280,0.9777777777777777,0.0,0.0,inf,100.0,1000.0
pythia-410m,control,draw_1,3425,0.9644444444444444,0.0,0.0,inf,100.0,1000.0
pythia-410m,control,draw_2,3317,0.9644444444444444,0.004444444444444444,8.673617379884035e-19,1.106804644422573e+18,100.0,1000.0
pythia-410m,control,draw_3,3382,0.9777777777777777,0.0,0.0,inf,100.0,1000.0
pythia-1b,low,draw_1,972,0.8577777777777778,0.0,0.0,inf,100.0,1000.0
pythia-1b,low,draw_2,952,0.9377777777777778,0.0,0.0,inf,100.0,1000.0
pythia-1b,low,draw_3,978,0.92,0.0,0.0,inf,100.0,1000.0
pythia-1b,medium,draw_1,904,0.9466666666666667,0.0,0.0,inf,100.0,1000.0
pythia-1b,medium,draw_2,1007,0.9288888888888889,0.0,0.0,inf,100.0,1000.0
pythia-1b,medium,draw_3,900,0.9288888888888889,0.0,0.0,inf,100.0,1000.0
pythia-1b,high,draw_1,1002,0.9155555555555556,0.0,0.0,inf,100.0,1000.0
pythia-1b,high,draw_2,902,0.9422222222222222,0.0,0.0,inf,100.0,1000.0
pythia-1b,high,draw_3,945,0.9511111111111111,0.0,0.0,inf,100.0,1000.0
pythia-1b,very_high,draw_1,817,0.9288888888888889,0.0,0.0,inf,100.0,1000.0
pythia-1b,very_high,draw_2,911,0.9466666666666667,0.004444444444444444,8.673617379884035e-19,1.0863082621184513e+18,100.0,1000.0
pythia-1b,very_high,draw_3,812,0.9333333333333333,0.0,0.0,inf,100.0,1000.0
pythia-1b,control,draw_1,928,0.9422222222222222,0.0,0.0,inf,100.0,1000.0
pythia-1b,control,draw_2,823,0.9377777777777778,0.0,0.0,inf,100.0,1000.0
pythia-1b,control,draw_3,870,0.9422222222222222,0.0,0.0,inf,100.0,1000.0
