model,draw,band,n_specific,total_edges,specific_fraction
pythia-70m,draw_1,low,6,380,0.015789473684210527
pythia-70m,draw_1,medium,12,395,0.030379746835443037
pythia-70m,draw_1,high,9,414,0.021739130434782608
pythia-70m,draw_1,very_high,25,424,0.0589622641509434
pythia-70m,draw_1,control,28,435,0.06436781609195402
pythia-70m,draw_2,low,17,396,0.04292929292929293
pythia-70m,draw_2,medium,4,392,0.01020408163265306
pythia-70m,draw_2,high,18,405,0.044444444444444446
pythia-70m,draw_2,very_high,23,417,0.05515587529976019
pythia-70m,draw_2,control,16,410,0.03902439024390244
pythia-70m,draw_3,low,12,391,0.030690537084398978
pythia-70m,draw_3,medium,13,406,0.03201970443349754
pythia-70m,draw_3,high,14,431,0.03248259860788863
pythia-70m,draw_3,very_high,16,417,0.03836930455635491
pythia-70m,draw_3,control,18,426,0.04225352112676056
pythia-160m,draw_1,low,150,1463,0.10252904989747096
pythia-160m,draw_1,medium,133,1446,0.09197786998616875
pythia-160m,draw_1,high,113,1360,0.08308823529411764
pythia-160m,draw_1,very_high,125,1358,0.09204712812960236
pythia-160m,draw_1,control,117,1392,0.08405172413793104
pythia-160m,draw_2,low,143,1483,0.0964261631827377
pythia-160m,draw_2,medium,144,1513,0.09517514871116986
pythia-160m,draw_2,high,168,1454,0.1155433287482806
pythia-160m,draw_2,very_high,112,1306,0.08575803981623277
pythia-160m,draw_2,control,104,1380,0.07536231884057971
pythia-160m,draw_3,low,91,1408,0.06463068181818182
pythia-160m,draw_3,medium,121,1475,0.08203389830508474
pythia-160m,draw_3,high,97,1385,0.07003610108303249
pythia-160m,draw_3,very_high,139,1330,0.10451127819548872
pythia-160m,draw_3,control,135,1345,0.10037174721189591
pythia-410m,draw_1,low,826,3957,0.20874399797826637
pythia-410m,draw_1,medium,591,3809,0.15515883433972172
pythia-410m,draw_1,high,510,3480,0.14655172413793102
pythia-410m,draw_1,very_high,424,3131,0.13541999361226445
pythia-410m,draw_1,control,449,3425,0.1310948905109489
pythia-410m,draw_2,low,696,3848,0.18087318087318088
pythia-410m,draw_2,medium,601,3709,0.16203828525208952
pythia-410m,draw_2,high,512,3483,0.14699971289118577
pythia-410m,draw_2,very_high,558,3476,0.16052934407364788
pythia-410m,draw_2,control,442,3317,0.13325293940307506
pythia-410m,draw_3,low,776,4122,0.18825812712275594
pythia-410m,draw_3,medium,668,3920,0.1704081632653061
pythia-410m,draw_3,high,454,3379,0.13435927789286772
pythia-410m,draw_3,very_high,460,3280,0.1402439024390244
pythia-410m,draw_3,control,409,3382,0.12093435836782969
pythia-1b,draw_1,low,135,972,0.1388888888888889
pythia-1b,draw_1,medium,107,904,0.11836283185840708
pythia-1b,draw_1,high,169,1002,0.1686626746506986
pythia-1b,draw_1,very_high,65,817,0.0795593635250918
pythia-1b,draw_1,control,108,928,0.11637931034482758
pythia-1b,draw_2,low,123,952,0.12920168067226892
pythia-1b,draw_2,medium,172,1007,0.1708043694141013
pythia-1b,draw_2,high,106,902,0.11751662971175167
pythia-1b,draw_2,very_high,126,911,0.13830954994511527
pythia-1b,draw_2,control,90,823,0.10935601458080195
pythia-1b,draw_3,low,169,978,0.17280163599182005
pythia-1b,draw_3,medium,117,900,0.13
pythia-1b,draw_3,high,126,945,0.13333333333333333
pythia-1b,draw_3,very_high,93,812,0.1145320197044335
pythia-1b,draw_3,control,71,870,0.08160919540229886
pythia-1.4b,draw_1,low,582,2507,0.23214998005584364
pythia-1.4b,draw_1,medium,634,2551,0.2485299882399059
pythia-1.4b,draw_1,high,340,2162,0.1572617946345976
pythia-1.4b,draw_1,very_high,304,1940,0.15670103092783505
pythia-1.4b,draw_1,control,419,2233,0.1876399462606359
pythia-1.4b,draw_2,low,614,2589,0.23715720355349557
pythia-1.4b,draw_2,medium,499,2451,0.20359037127702978
pythia-1.4b,draw_2,high,432,2182,0.19798350137488543
pythia-1.4b,draw_2,very_high,400,2025,0.19753086419753085
pythia-1.4b,draw_2,control,413,2221,0.1859522737505628
pythia-1.4b,draw_3,low,652,2604,0.250384024577573
pythia-1.4b,draw_3,medium,501,2453,0.20423970648185893
pythia-1.4b,draw_3,high,385,2121,0.18151815181518152
pythia-1.4b,draw_3,very_high,424,2108,0.20113851992409867
pythia-1.4b,draw_3,control,348,2006,0.17347956131605186
