model,band,n_unique_edges,mean_dst_layer,mean_dst_layer_norm,attn_frac,mlp_frac,resid_frac,skip_frac,mean_layer_dist
pythia-70m,low,35,3.857142857142857,0.7714285714285715,0.8857142857142857,0.08571428571428572,0.02857142857142857,0.5428571428571428,1.9142857142857144
pythia-70m,medium,29,3.206896551724138,0.6413793103448275,0.896551724137931,0.06896551724137931,0.034482758620689655,0.8275862068965517,2.206896551724138
pythia-70m,high,41,3.1219512195121952,0.624390243902439,1.0,0.0,0.0,0.6585365853658537,2.2439024390243905
pythia-70m,very_high,64,3.03125,0.60625,0.921875,0.0625,0.015625,0.609375,1.9375
pythia-70m,control,62,3.064516129032258,0.6129032258064516,0.9354838709677419,0.04838709677419355,0.016129032258064516,0.5967741935483871,2.032258064516129
pythia-160m,low,384,7.080729166666667,0.6437026515151515,0.8098958333333334,0.1796875,0.010416666666666666,0.7916666666666666,3.5677083333333335
pythia-160m,medium,398,7.439698492462312,0.6763362265874829,0.8618090452261307,0.135678391959799,0.002512562814070352,0.8567839195979899,4.108040201005025
pythia-160m,high,378,6.9338624338624335,0.6303511303511303,0.843915343915344,0.15079365079365079,0.005291005291005291,0.8359788359788359,3.8095238095238093
pythia-160m,very_high,376,6.582446808510638,0.5984042553191489,0.824468085106383,0.1595744680851064,0.015957446808510637,0.7659574468085106,3.577127659574468
pythia-160m,control,356,6.640449438202247,0.6036772216547498,0.8033707865168539,0.19101123595505617,0.0056179775280898875,0.8426966292134831,3.845505617977528
pythia-410m,low,2298,14.62053959965187,0.6356756347674726,0.7436901653611836,0.24151436031331594,0.014795474325500435,0.8851174934725848,6.398607484769364
pythia-410m,medium,1860,14.335483870967742,0.6232819074333801,0.7569892473118279,0.2349462365591398,0.008064516129032258,0.886021505376344,6.548924731182796
pythia-410m,high,1476,13.862466124661246,0.6027159184635325,0.774390243902439,0.2181571815718157,0.007452574525745257,0.8814363143631436,6.356368563685637
pythia-410m,very_high,1442,13.596393897364772,0.5911475607549901,0.7461858529819695,0.2434119278779473,0.010402219140083218,0.8772538141470181,6.332871012482663
pythia-410m,control,1300,13.483076923076924,0.5862207357859532,0.7453846153846154,0.24846153846153846,0.006153846153846154,0.9007692307692308,6.333846153846154
pythia-1b,low,427,9.480093676814988,0.6320062451209992,0.7564402810304449,0.22482435597189696,0.01873536299765808,0.8056206088992974,3.9508196721311477
pythia-1b,medium,396,9.452020202020202,0.6301346801346802,0.7853535353535354,0.20202020202020202,0.012626262626262626,0.7954545454545454,4.078282828282828
pythia-1b,high,401,9.443890274314214,0.6295926849542809,0.7531172069825436,0.24189526184538654,0.004987531172069825,0.8254364089775561,3.9925187032418954
pythia-1b,very_high,284,9.352112676056338,0.6234741784037559,0.7394366197183099,0.22183098591549297,0.03873239436619718,0.7816901408450704,3.8204225352112675
pythia-1b,control,269,9.33457249070632,0.6223048327137547,0.7360594795539034,0.24535315985130113,0.01858736059479554,0.8550185873605948,4.260223048327138
pythia-1.4b,low,1848,13.77435064935065,0.5988848108413326,0.7494588744588745,0.2305194805194805,0.02002164502164502,0.9015151515151515,6.660714285714286
pythia-1.4b,medium,1634,12.826805385556916,0.5576871906763877,0.7821297429620563,0.20195838433292534,0.01591187270501836,0.8451652386780906,5.9167686658506735
pythia-1.4b,high,1157,14.273120138288677,0.6205704407951599,0.8020743301642178,0.18755401901469318,0.010371650821089023,0.8980121002592912,6.50561797752809
pythia-1.4b,very_high,1128,13.046099290780141,0.5672217082947888,0.7526595744680851,0.22872340425531915,0.018617021276595744,0.8617021276595744,5.902482269503546
pythia-1.4b,control,1180,13.34322033898305,0.5801400147383935,0.7703389830508475,0.21271186440677967,0.01694915254237288,0.8932203389830509,6.216949152542373
