model,component,within_mean,within_std,between_mean,between_std,gap,n_within,n_between
pythia-70m,attn,0.6991851199808419,0.031589222402948855,0.6569322745791136,0.045308914562149395,0.042252845401728245,30,90
pythia-70m,mlp,0.9245343232853993,0.021478266188571873,0.9101672301230859,0.018271399972457705,0.014367093162313438,30,90
pythia-70m,resid,0.9846376770350134,0.01432238513444047,0.9711633147229397,0.018275102505277287,0.013474362312073662,30,90
pythia-160m,attn,0.47777529125382295,0.02624321023884196,0.43995682612744597,0.02974310657163052,0.03781846512637699,30,90
pythia-160m,mlp,0.7147053955884377,0.020469384517284753,0.6954744555413753,0.019782081629576804,0.019230940047062384,30,90
pythia-160m,resid,0.9574565473116956,0.014035187462221555,0.928395665142705,0.02560996991143386,0.02906088216899061,30,90
pythia-410m,attn,0.3444165960228123,0.025292405145161175,0.32775816701929306,0.021148377475087472,0.01665842900351927,30,90
pythia-410m,mlp,0.5519871447511575,0.009320149566487435,0.5402485979059053,0.012639185777239726,0.011738546845252218,30,90
pythia-410m,resid,0.8692686972832124,0.014843883581991317,0.8444115352053833,0.026320232341597184,0.024857162077829176,30,90
pythia-1b,attn,0.4206016830038491,0.027333114318027468,0.4066340841813433,0.02708750104344865,0.013967598822505811,30,90
pythia-1b,mlp,0.536072862783801,0.026585853154168358,0.5259044441150209,0.026333464535462175,0.010168418668780044,30,90
pythia-1b,resid,0.7857702046004491,0.04309672794727376,0.777225905254321,0.043215084858357525,0.008544299346128104,30,90
pythia-1.4b,attn,0.32059930124072533,0.02861859576822556,0.30298727192210906,0.02691709436222668,0.017612029318616274,30,90
pythia-1.4b,mlp,0.45645141262229244,0.03475264813245554,0.43732473924038673,0.026402426716078987,0.019126673381905712,30,90
pythia-1.4b,resid,0.7435871792199967,0.043585886123259934,0.7142769955465227,0.03607005570546163,0.029310183673474044,30,90
