n_nodes,n_edges,density,diameter,avg_path_length,clustering_coefficient,n_weakly_connected,largest_wcc_fraction,n_strongly_connected,largest_scc_fraction,avg_in_degree,avg_out_degree,max_in_degree,max_out_degree,circuit_id,model,band,draw
52,380,0.14328808446455504,3,1.720211161387632,0.7212678858640633,1,1.0,52,0.019230769230769232,7.3076923076923075,7.3076923076923075,50,36,pythia_70m_low_draw_1,pythia-70m,low,draw_1
52,396,0.1493212669683258,3,1.707390648567119,0.6940543401198874,1,1.0,52,0.019230769230769232,7.615384615384615,7.615384615384615,50,35,pythia_70m_low_draw_2,pythia-70m,low,draw_2
52,391,0.14743589743589744,2,1.705128205128205,0.71068218594289,1,1.0,52,0.019230769230769232,7.519230769230769,7.519230769230769,51,34,pythia_70m_low_draw_3,pythia-70m,low,draw_3
51,395,0.15490196078431373,2,1.6901960784313725,0.7399058415551695,1,1.0,51,0.0196078431372549,7.745098039215686,7.745098039215686,50,32,pythia_70m_medium_draw_1,pythia-70m,medium,draw_1
52,392,0.1478129713423831,3,1.7119155354449471,0.716602430277316,1,1.0,52,0.019230769230769232,7.538461538461538,7.538461538461538,50,33,pythia_70m_medium_draw_2,pythia-70m,medium,draw_2
53,406,0.14731494920174165,2,1.7053701015965166,0.7260190418492524,1,1.0,53,0.018867924528301886,7.660377358490566,7.660377358490566,52,35,pythia_70m_medium_draw_3,pythia-70m,medium,draw_3
53,414,0.15021770682148042,2,1.6995645863570392,0.7155567836411854,1,1.0,53,0.018867924528301886,7.811320754716981,7.811320754716981,52,37,pythia_70m_high_draw_1,pythia-70m,high,draw_1
53,405,0.14695210449927432,3,1.7191582002902757,0.6919993104600064,1,1.0,53,0.018867924528301886,7.6415094339622645,7.6415094339622645,51,34,pythia_70m_high_draw_2,pythia-70m,high,draw_2
53,431,0.15638606676342526,2,1.6872278664731495,0.7338778414837878,1,1.0,53,0.018867924528301886,8.132075471698114,8.132075471698114,52,38,pythia_70m_high_draw_3,pythia-70m,high,draw_3
54,424,0.14814814814814814,3,1.7120894479385045,0.7001341485854595,1,1.0,54,0.018518518518518517,7.851851851851852,7.851851851851852,52,36,pythia_70m_very_high_draw_1,pythia-70m,very_high,draw_1
54,417,0.14570230607966456,3,1.7281621243885394,0.6868295590286365,1,1.0,54,0.018518518518518517,7.722222222222222,7.722222222222222,52,37,pythia_70m_very_high_draw_2,pythia-70m,very_high,draw_2
54,417,0.14570230607966456,3,1.7232704402515724,0.711531257692413,1,1.0,54,0.018518518518518517,7.722222222222222,7.722222222222222,52,32,pythia_70m_very_high_draw_3,pythia-70m,very_high,draw_3
53,435,0.15783744557329463,2,1.6843251088534108,0.7279680123648588,1,1.0,53,0.018867924528301886,8.20754716981132,8.20754716981132,52,37,pythia_70m_control_draw_1,pythia-70m,control,draw_1
53,410,0.14876632801161102,3,1.711901306240929,0.6899943104970537,1,1.0,53,0.018867924528301886,7.735849056603773,7.735849056603773,51,31,pythia_70m_control_draw_2,pythia-70m,control,draw_2
54,426,0.1488469601677149,2,1.7023060796645701,0.7292249997473731,1,1.0,54,0.018518518518518517,7.888888888888889,7.888888888888889,53,37,pythia_70m_control_draw_3,pythia-70m,control,draw_3
137,1463,0.07852082438814942,4,1.890188922284242,0.7038608868045647,1,1.0,137,0.0072992700729927005,10.678832116788321,10.678832116788321,127,71,pythia_160m_low_draw_1,pythia-160m,low,draw_1
135,1483,0.08197899391929242,3,1.8758430071862908,0.713625610008797,1,1.0,135,0.007407407407407408,10.985185185185186,10.985185185185186,126,74,pythia_160m_low_draw_2,pythia-160m,low,draw_2
133,1408,0.08020050125313283,4,1.8871041239462292,0.7071042280276488,1,1.0,133,0.007518796992481203,10.586466165413533,10.586466165413533,125,79,pythia_160m_low_draw_3,pythia-160m,low,draw_3
136,1446,0.07875816993464052,3,1.875599128540305,0.7309624460240299,1,1.0,136,0.007352941176470588,10.632352941176471,10.632352941176471,128,79,pythia_160m_medium_draw_1,pythia-160m,medium,draw_1
134,1513,0.08489507350465716,4,1.8785770396139603,0.704306526724524,1,1.0,134,0.007462686567164179,11.291044776119403,11.291044776119403,125,73,pythia_160m_medium_draw_2,pythia-160m,medium,draw_2
133,1475,0.08401686033264981,4,1.8753702437912965,0.6838008927463274,1,1.0,133,0.007518796992481203,11.090225563909774,11.090225563909774,124,77,pythia_160m_medium_draw_3,pythia-160m,medium,draw_3
134,1360,0.07631017843115251,3,1.8783525979126923,0.7204310147244832,1,1.0,134,0.007462686567164179,10.149253731343284,10.149253731343284,126,69,pythia_160m_high_draw_1,pythia-160m,high,draw_1
138,1454,0.07690680207341585,3,1.903205331640749,0.6909649902015947,1,1.0,138,0.007246376811594203,10.53623188405797,10.53623188405797,125,71,pythia_160m_high_draw_2,pythia-160m,high,draw_2
134,1385,0.07771293906407811,4,1.8857591740545394,0.699790386484842,1,1.0,134,0.007462686567164179,10.335820895522389,10.335820895522389,126,72,pythia_160m_high_draw_3,pythia-160m,high,draw_3
134,1358,0.07619795758051846,3,1.8976545842217485,0.6908769476490532,1,1.0,134,0.007462686567164179,10.134328358208956,10.134328358208956,124,75,pythia_160m_very_high_draw_1,pythia-160m,very_high,draw_1
133,1306,0.07439052175894281,3,1.8909774436090225,0.7027500899579461,1,1.0,133,0.007518796992481203,9.819548872180452,9.819548872180452,124,69,pythia_160m_very_high_draw_2,pythia-160m,very_high,draw_2
135,1330,0.07352128247650636,3,1.90702045328911,0.7061471880418796,1,1.0,135,0.007407407407407408,9.851851851851851,9.851851851851851,124,67,pythia_160m_very_high_draw_3,pythia-160m,very_high,draw_3
135,1392,0.07694859038142621,3,1.875290215588723,0.680909674895548,1,1.0,135,0.007407407407407408,10.311111111111112,10.311111111111112,126,73,pythia_160m_control_draw_1,pythia-160m,control,draw_1
134,1380,0.07743238693749299,3,1.8814947817304455,0.7102521730628863,1,1.0,134,0.007462686567164179,10.298507462686567,10.298507462686567,125,76,pythia_160m_control_draw_2,pythia-160m,control,draw_2
135,1345,0.07435046987285793,3,1.8876727473742398,0.7044811156086755,1,1.0,135,0.007407407407407408,9.962962962962964,9.962962962962964,127,75,pythia_160m_control_draw_3,pythia-160m,control,draw_3
316,3957,0.03975286317058469,3,2.0197106690777575,0.6882705043316796,1,1.0,316,0.0031645569620253164,12.522151898734178,12.522151898734178,282,148,pythia_410m_low_draw_1,pythia-410m,low,draw_1
298,3848,0.04347727837660723,4,2.0045872596208167,0.6830991298984105,1,1.0,298,0.003355704697986577,12.912751677852349,12.912751677852349,266,133,pythia_410m_low_draw_2,pythia-410m,low,draw_2
301,4122,0.045647840531561464,4,1.984407530454042,0.7041239169061377,1,1.0,301,0.0033222591362126247,13.694352159468439,13.694352159468439,276,150,pythia_410m_low_draw_3,pythia-410m,low,draw_3
302,3809,0.0419022683769334,4,2.0338166376977402,0.6875194276661954,1,1.0,302,0.0033112582781456954,12.612582781456954,12.612582781456954,264,133,pythia_410m_medium_draw_1,pythia-410m,medium,draw_1
298,3709,0.04190676338327345,4,2.0476125912367524,0.6731150300012492,1,1.0,298,0.003355704697986577,12.446308724832214,12.446308724832214,259,134,pythia_410m_medium_draw_2,pythia-410m,medium,draw_2
306,3920,0.042001500053573344,4,2.0264652309011035,0.6826835196663126,1,1.0,306,0.0032679738562091504,12.81045751633987,12.81045751633987,271,146,pythia_410m_medium_draw_3,pythia-410m,medium,draw_3
291,3480,0.041237113402061855,4,2.020713354662875,0.6689558891840053,1,1.0,291,0.003436426116838488,11.958762886597938,11.958762886597938,258,136,pythia_410m_high_draw_1,pythia-410m,high,draw_1
284,3483,0.04333598765739312,4,1.9944010351863832,0.6926625674708005,1,1.0,284,0.0035211267605633804,12.264084507042254,12.264084507042254,261,117,pythia_410m_high_draw_2,pythia-410m,high,draw_2
282,3379,0.04264152848237046,4,1.9946493021377552,0.6669045777007785,1,1.0,282,0.0035460992907801418,11.9822695035461,11.9822695035461,257,121,pythia_410m_high_draw_3,pythia-410m,high,draw_3
293,3131,0.03659591378746085,4,2.0296647809621766,0.6593408533873618,1,1.0,293,0.0034129692832764505,10.686006825938566,10.686006825938566,265,116,pythia_410m_very_high_draw_1,pythia-410m,very_high,draw_1
294,3476,0.040351976968261705,4,2.0233335655081146,0.6842397966228984,1,1.0,294,0.003401360544217687,11.82312925170068,11.82312925170068,266,124,pythia_410m_very_high_draw_2,pythia-410m,very_high,draw_2
293,3280,0.038337463182009444,4,2.0230726074150263,0.715625238774408,1,1.0,293,0.0034129692832764505,11.194539249146757,11.194539249146757,264,118,pythia_410m_very_high_draw_3,pythia-410m,very_high,draw_3
288,3425,0.041436798296554396,3,1.9749080526519551,0.6892180932596825,1,1.0,288,0.003472222222222222,11.89236111111111,11.89236111111111,271,132,pythia_410m_control_draw_1,pythia-410m,control,draw_1
294,3317,0.03850618745791832,4,2.0540502890576025,0.6856157862854998,1,1.0,294,0.003401360544217687,11.282312925170068,11.282312925170068,258,125,pythia_410m_control_draw_2,pythia-410m,control,draw_2
281,3382,0.04298423995932893,4,1.9683528215556685,0.7244137270068322,1,1.0,281,0.0035587188612099642,12.0355871886121,12.0355871886121,264,132,pythia_410m_control_draw_3,pythia-410m,control,draw_3
118,972,0.07040417209908735,3,2.050412863972186,0.6255796961860446,1,1.0,118,0.00847457627118644,8.23728813559322,8.23728813559322,69,58,pythia_1b_low_draw_1,pythia-1b,low,draw_1
123,952,0.06344129015060643,4,2.149940023990404,0.5516135661584533,1,1.0,123,0.008130081300813009,7.739837398373984,7.739837398373984,68,55,pythia_1b_low_draw_2,pythia-1b,low,draw_2
117,978,0.07206012378426171,4,2.1080165045682286,0.5479617478997818,1,1.0,117,0.008547008547008548,8.35897435897436,8.35897435897436,62,56,pythia_1b_low_draw_3,pythia-1b,low,draw_3
119,904,0.0643782936903575,4,2.1407206950576843,0.5490790216330019,1,1.0,119,0.008403361344537815,7.5966386554621845,7.5966386554621845,66,52,pythia_1b_medium_draw_1,pythia-1b,medium,draw_1
118,1007,0.07293930175286108,4,2.0515717803853395,0.5927969167902687,1,1.0,118,0.00847457627118644,8.533898305084746,8.533898305084746,70,63,pythia_1b_medium_draw_2,pythia-1b,medium,draw_2
116,900,0.06746626686656672,4,2.0973013493253374,0.5265962645420397,1,1.0,116,0.008620689655172414,7.758620689655173,7.758620689655173,67,54,pythia_1b_medium_draw_3,pythia-1b,medium,draw_3
119,1002,0.0713573565019228,4,2.0773394103404073,0.5772175868347716,1,1.0,119,0.008403361344537815,8.420168067226891,8.420168067226891,72,53,pythia_1b_high_draw_1,pythia-1b,high,draw_1
125,902,0.058193548387096776,4,2.176,0.522589621115813,1,1.0,125,0.008,7.216,7.216,69,54,pythia_1b_high_draw_2,pythia-1b,high,draw_2
121,945,0.06508264462809918,4,2.097245179063361,0.5730832171995431,1,1.0,121,0.008264462809917356,7.809917355371901,7.809917355371901,65,53,pythia_1b_high_draw_3,pythia-1b,high,draw_3
118,817,0.059177169346660875,4,2.1619585687382297,0.5491971200055479,1,1.0,118,0.00847457627118644,6.923728813559322,6.923728813559322,67,48,pythia_1b_very_high_draw_1,pythia-1b,very_high,draw_1
122,911,0.061712505080612386,4,2.1277604660615093,0.5633602452232076,1,1.0,122,0.00819672131147541,7.467213114754099,7.467213114754099,70,52,pythia_1b_very_high_draw_2,pythia-1b,very_high,draw_2
115,812,0.06193745232646834,4,2.1406559877955758,0.5645500418247048,1,1.0,115,0.008695652173913044,7.060869565217391,7.060869565217391,68,53,pythia_1b_very_high_draw_3,pythia-1b,very_high,draw_3
119,928,0.06608745192992452,4,2.1241988320752028,0.5653015211750196,1,1.0,119,0.008403361344537815,7.798319327731092,7.798319327731092,66,59,pythia_1b_control_draw_1,pythia-1b,control,draw_1
119,823,0.05860988463181883,4,2.1653610596781085,0.5342084614329823,1,1.0,119,0.008403361344537815,6.915966386554622,6.915966386554622,69,51,pythia_1b_control_draw_2,pythia-1b,control,draw_2
117,870,0.0641025641025641,4,2.1296787503684054,0.5907915314634986,1,1.0,117,0.008547008547008548,7.435897435897436,7.435897435897436,65,46,pythia_1b_control_draw_3,pythia-1b,control,draw_3
255,2507,0.03870619113787247,4,2.1501312335958005,0.5932208268804505,1,1.0,255,0.00392156862745098,9.831372549019608,9.831372549019608,179,123,pythia_1.4b_low_draw_1,pythia-1.4b,low,draw_1
261,2589,0.03815207780725022,4,2.1666666666666665,0.5652416579894538,1,1.0,261,0.0038314176245210726,9.919540229885058,9.919540229885058,173,141,pythia_1.4b_low_draw_2,pythia-1.4b,low,draw_2
264,2604,0.03750432077428275,4,2.182019817951377,0.5823010798209379,1,1.0,264,0.003787878787878788,9.863636363636363,9.863636363636363,169,122,pythia_1.4b_low_draw_3,pythia-1.4b,low,draw_3
265,2551,0.03646369353916524,4,2.20809033733562,0.5526757235862417,1,1.0,265,0.0037735849056603774,9.626415094339622,9.626415094339622,173,127,pythia_1.4b_medium_draw_1,pythia-1.4b,medium,draw_1
257,2451,0.03725376945525292,4,2.2177468385214008,0.5451085812126267,1,1.0,257,0.0038910505836575876,9.536964980544747,9.536964980544747,166,104,pythia_1.4b_medium_draw_2,pythia-1.4b,medium,draw_2
258,2453,0.036995143727566134,4,2.199408801616747,0.5692916104228668,1,1.0,258,0.003875968992248062,9.507751937984496,9.507751937984496,168,110,pythia_1.4b_medium_draw_3,pythia-1.4b,medium,draw_3
248,2162,0.035294501763092595,4,2.237135954028993,0.5251216776752065,1,1.0,248,0.004032258064516129,8.71774193548387,8.71774193548387,158,99,pythia_1.4b_high_draw_1,pythia-1.4b,high,draw_1
247,2182,0.035910602020999965,4,2.249004311905467,0.5210300789353614,1,1.0,247,0.004048582995951417,8.834008097165992,8.834008097165992,152,103,pythia_1.4b_high_draw_2,pythia-1.4b,high,draw_2
242,2121,0.03636706560131683,4,2.193203250917321,0.5523179416774636,1,1.0,242,0.004132231404958678,8.764462809917354,8.764462809917354,163,93,pythia_1.4b_high_draw_3,pythia-1.4b,high,draw_3
245,1940,0.03245232519237203,4,2.287253261960522,0.4698482823113947,1,1.0,245,0.004081632653061225,7.918367346938775,7.918367346938775,156,82,pythia_1.4b_very_high_draw_1,pythia-1.4b,very_high,draw_1
256,2025,0.031020220588235295,4,2.28734681372549,0.5041851008877025,1,1.0,256,0.00390625,7.91015625,7.91015625,155,90,pythia_1.4b_very_high_draw_2,pythia-1.4b,very_high,draw_2
250,2108,0.03386345381526104,4,2.254136546184739,0.5483725302466212,1,1.0,250,0.004,8.432,8.432,149,97,pythia_1.4b_very_high_draw_3,pythia-1.4b,very_high,draw_3
259,2233,0.03341713806830086,5,2.2592858639370266,0.5272753454718913,1,1.0,259,0.003861003861003861,8.621621621621621,8.621621621621621,166,105,pythia_1.4b_control_draw_1,pythia-1.4b,control,draw_1
248,2221,0.03625767271777459,4,2.2136280527621786,0.5254784748618833,1,1.0,248,0.004032258064516129,8.955645161290322,8.955645161290322,165,97,pythia_1.4b_control_draw_2,pythia-1.4b,control,draw_2
244,2006,0.033832557511974636,4,2.2407744721041625,0.5631487476956666,1,1.0,244,0.004098360655737705,8.221311475409836,8.221311475409836,150,104,pythia_1.4b_control_draw_3,pythia-1.4b,control,draw_3
