model,head,cluster,avg_n_bands
pythia-70m,A0.0,1,5.0
pythia-70m,A0.1,1,5.0
pythia-70m,A0.2,1,5.0
pythia-70m,A0.3,1,5.0
pythia-70m,A0.4,1,5.0
pythia-70m,A0.5,1,5.0
pythia-70m,A0.6,1,5.0
pythia-70m,A0.7,1,5.0
pythia-70m,A1.0,5,2.3333333333333335
pythia-70m,A1.1,5,5.0
pythia-70m,A1.2,5,5.0
pythia-70m,A1.3,5,5.0
pythia-70m,A1.5,5,4.0
pythia-70m,A1.6,5,5.0
pythia-70m,A1.7,5,3.0
pythia-70m,A2.0,5,4.666666666666667
pythia-70m,A2.1,5,5.0
pythia-70m,A2.2,5,5.0
pythia-70m,A2.3,5,5.0
pythia-70m,A2.4,5,5.0
pythia-70m,A2.5,5,5.0
pythia-70m,A2.6,5,5.0
pythia-70m,A2.7,5,5.0
pythia-70m,A3.0,4,5.0
pythia-70m,A3.1,4,5.0
pythia-70m,A3.2,4,3.6666666666666665
pythia-70m,A3.3,4,5.0
pythia-70m,A3.4,4,5.0
pythia-70m,A3.5,4,5.0
pythia-70m,A3.6,4,5.0
pythia-70m,A3.7,4,4.666666666666667
pythia-70m,A4.0,3,4.333333333333333
pythia-70m,A4.1,3,2.6666666666666665
pythia-70m,A4.2,3,4.666666666666667
pythia-70m,A4.3,3,0.3333333333333333
pythia-70m,A4.4,3,4.333333333333333
pythia-70m,A4.5,3,3.3333333333333335
pythia-70m,A4.6,3,3.6666666666666665
pythia-70m,A4.7,3,5.0
pythia-70m,A5.0,3,5.0
pythia-70m,A5.1,2,5.0
pythia-70m,A5.2,3,5.0
pythia-70m,A5.3,3,5.0
pythia-70m,A5.5,2,3.3333333333333335
pythia-70m,A5.7,3,5.0
pythia-160m,A0.0,2,5.0
pythia-160m,A0.1,2,1.3333333333333333
pythia-160m,A0.10,2,2.3333333333333335
pythia-160m,A0.2,2,5.0
pythia-160m,A0.3,2,5.0
pythia-160m,A0.4,2,5.0
pythia-160m,A0.5,2,1.6666666666666667
pythia-160m,A0.6,2,4.0
pythia-160m,A0.7,2,5.0
pythia-160m,A0.8,2,5.0
pythia-160m,A0.9,2,2.0
pythia-160m,A1.0,1,1.6666666666666667
pythia-160m,A1.1,1,4.0
pythia-160m,A1.10,1,5.0
pythia-160m,A1.11,1,1.3333333333333333
pythia-160m,A1.2,1,5.0
pythia-160m,A1.3,1,2.0
pythia-160m,A1.5,1,1.6666666666666667
pythia-160m,A1.6,1,4.666666666666667
pythia-160m,A1.7,1,3.6666666666666665
pythia-160m,A1.8,1,1.0
pythia-160m,A10.0,4,2.0
pythia-160m,A10.1,4,4.666666666666667
pythia-160m,A10.10,4,3.6666666666666665
pythia-160m,A10.11,4,4.666666666666667
pythia-160m,A10.5,5,4.666666666666667
pythia-160m,A10.6,4,5.0
pythia-160m,A10.7,4,3.3333333333333335
pythia-160m,A10.8,4,4.333333333333333
pythia-160m,A10.9,5,5.0
pythia-160m,A11.0,5,5.0
pythia-160m,A11.10,4,0.6666666666666666
pythia-160m,A11.11,5,5.0
pythia-160m,A11.2,5,1.6666666666666667
pythia-160m,A11.4,3,1.3333333333333333
pythia-160m,A11.5,5,1.3333333333333333
pythia-160m,A11.6,5,2.3333333333333335
pythia-160m,A11.7,5,3.0
pythia-160m,A11.8,5,5.0
pythia-160m,A11.9,5,1.0
pythia-160m,A2.0,1,1.3333333333333333
pythia-160m,A2.1,1,1.3333333333333333
pythia-160m,A2.10,1,4.0
pythia-160m,A2.11,1,5.0
pythia-160m,A2.3,1,4.666666666666667
pythia-160m,A2.4,1,4.0
pythia-160m,A2.5,1,0.3333333333333333
pythia-160m,A2.6,1,5.0
pythia-160m,A2.7,1,2.3333333333333335
pythia-160m,A2.8,1,5.0
pythia-160m,A2.9,1,1.3333333333333333
pythia-160m,A3.0,1,5.0
pythia-160m,A3.1,1,4.666666666666667
pythia-160m,A3.10,1,3.3333333333333335
pythia-160m,A3.11,1,0.3333333333333333
pythia-160m,A3.2,1,5.0
pythia-160m,A3.3,1,5.0
pythia-160m,A3.4,1,5.0
pythia-160m,A3.5,1,1.0
pythia-160m,A3.6,1,4.666666666666667
pythia-160m,A3.7,1,3.6666666666666665
pythia-160m,A3.8,1,5.0
pythia-160m,A3.9,1,4.666666666666667
pythia-160m,A4.0,1,4.666666666666667
pythia-160m,A4.1,1,5.0
pythia-160m,A4.10,1,5.0
pythia-160m,A4.11,1,5.0
pythia-160m,A4.2,1,5.0
pythia-160m,A4.3,1,1.3333333333333333
pythia-160m,A4.4,1,4.333333333333333
pythia-160m,A4.5,1,5.0
pythia-160m,A4.6,1,5.0
pythia-160m,A4.7,1,4.666666666666667
pythia-160m,A4.8,1,5.0
pythia-160m,A4.9,1,4.666666666666667
pythia-160m,A5.0,3,5.0
pythia-160m,A5.1,3,5.0
pythia-160m,A5.10,3,5.0
pythia-160m,A5.11,3,5.0
pythia-160m,A5.2,3,4.666666666666667
pythia-160m,A5.3,3,2.0
pythia-160m,A5.4,3,3.6666666666666665
pythia-160m,A5.5,3,4.333333333333333
pythia-160m,A5.6,3,5.0
pythia-160m,A5.7,3,5.0
pythia-160m,A5.8,3,5.0
pythia-160m,A6.0,3,2.6666666666666665
pythia-160m,A6.1,3,5.0
pythia-160m,A6.10,3,4.666666666666667
pythia-160m,A6.11,3,5.0
pythia-160m,A6.2,3,4.666666666666667
pythia-160m,A6.3,3,5.0
pythia-160m,A6.4,3,4.0
pythia-160m,A6.5,3,5.0
pythia-160m,A6.6,3,5.0
pythia-160m,A6.7,3,5.0
pythia-160m,A6.8,3,5.0
pythia-160m,A7.0,4,2.0
pythia-160m,A7.1,3,0.6666666666666666
pythia-160m,A7.11,4,5.0
pythia-160m,A7.2,3,3.3333333333333335
pythia-160m,A7.3,3,5.0
pythia-160m,A7.4,4,5.0
pythia-160m,A7.5,4,0.3333333333333333
pythia-160m,A7.7,4,5.0
pythia-160m,A7.8,4,5.0
pythia-160m,A7.9,3,0.6666666666666666
pythia-160m,A8.0,4,4.333333333333333
pythia-160m,A8.1,4,3.6666666666666665
pythia-160m,A8.10,4,5.0
pythia-160m,A8.11,4,5.0
pythia-160m,A8.2,4,5.0
pythia-160m,A8.3,4,3.6666666666666665
pythia-160m,A8.4,4,5.0
pythia-160m,A8.7,4,5.0
pythia-160m,A8.8,4,5.0
pythia-160m,A8.9,4,0.3333333333333333
pythia-160m,A9.0,5,2.6666666666666665
pythia-160m,A9.1,4,4.333333333333333
pythia-160m,A9.2,4,5.0
pythia-160m,A9.3,4,5.0
pythia-160m,A9.4,4,3.3333333333333335
pythia-160m,A9.5,4,4.666666666666667
pythia-160m,A9.6,4,5.0
pythia-160m,A9.7,4,5.0
pythia-160m,A9.8,4,5.0
pythia-160m,A9.9,4,5.0
pythia-410m,A0.0,4,4.666666666666667
pythia-410m,A0.10,4,1.6666666666666667
pythia-410m,A0.11,4,1.6666666666666667
pythia-410m,A0.12,4,3.0
pythia-410m,A0.13,4,1.0
pythia-410m,A0.14,4,4.666666666666667
pythia-410m,A0.15,4,3.0
pythia-410m,A0.2,4,1.0
pythia-410m,A0.3,4,3.3333333333333335
pythia-410m,A0.4,4,1.6666666666666667
pythia-410m,A0.5,4,3.6666666666666665
pythia-410m,A0.6,4,2.6666666666666665
pythia-410m,A0.7,4,3.6666666666666665
pythia-410m,A0.9,4,1.3333333333333333
pythia-410m,A1.10,5,4.0
pythia-410m,A1.11,5,4.333333333333333
pythia-410m,A1.12,5,2.6666666666666665
pythia-410m,A1.13,5,4.0
pythia-410m,A1.14,5,3.3333333333333335
pythia-410m,A1.15,5,4.666666666666667
pythia-410m,A1.2,5,0.6666666666666666
pythia-410m,A1.3,5,4.0
pythia-410m,A1.4,5,5.0
pythia-410m,A1.5,5,2.0
pythia-410m,A1.6,5,2.6666666666666665
pythia-410m,A1.7,5,2.0
pythia-410m,A1.8,5,3.0
pythia-410m,A1.9,5,2.6666666666666665
pythia-410m,A10.0,1,5.0
pythia-410m,A10.1,1,4.666666666666667
pythia-410m,A10.10,1,5.0
pythia-410m,A10.11,1,5.0
pythia-410m,A10.12,1,5.0
pythia-410m,A10.13,1,5.0
pythia-410m,A10.14,1,5.0
pythia-410m,A10.15,1,4.666666666666667
pythia-410m,A10.2,1,3.3333333333333335
pythia-410m,A10.3,1,5.0
pythia-410m,A10.4,1,5.0
pythia-410m,A10.5,1,5.0
pythia-410m,A10.6,1,5.0
pythia-410m,A10.7,1,5.0
pythia-410m,A10.8,1,3.6666666666666665
pythia-410m,A10.9,1,5.0
pythia-410m,A11.0,1,3.3333333333333335
pythia-410m,A11.1,1,5.0
pythia-410m,A11.11,5,0.3333333333333333
pythia-410m,A11.12,1,1.3333333333333333
pythia-410m,A11.13,1,5.0
pythia-410m,A11.14,1,5.0
pythia-410m,A11.15,1,5.0
pythia-410m,A11.2,1,5.0
pythia-410m,A11.3,1,1.0
pythia-410m,A11.4,1,5.0
pythia-410m,A11.5,1,0.6666666666666666
pythia-410m,A11.6,1,5.0
pythia-410m,A11.7,1,2.3333333333333335
pythia-410m,A11.8,1,4.666666666666667
pythia-410m,A11.9,1,4.333333333333333
pythia-410m,A12.0,3,5.0
pythia-410m,A12.1,1,5.0
pythia-410m,A12.10,3,5.0
pythia-410m,A12.11,3,5.0
pythia-410m,A12.12,3,5.0
pythia-410m,A12.13,3,5.0
pythia-410m,A12.14,3,1.6666666666666667
pythia-410m,A12.15,1,1.3333333333333333
pythia-410m,A12.2,3,3.3333333333333335
pythia-410m,A12.3,1,0.6666666666666666
pythia-410m,A12.4,3,5.0
pythia-410m,A12.5,3,5.0
pythia-410m,A12.6,3,3.6666666666666665
pythia-410m,A12.7,3,5.0
pythia-410m,A12.8,3,4.0
pythia-410m,A12.9,3,5.0
pythia-410m,A13.0,3,5.0
pythia-410m,A13.1,3,1.6666666666666667
pythia-410m,A13.10,3,0.6666666666666666
pythia-410m,A13.12,3,5.0
pythia-410m,A13.13,1,1.3333333333333333
pythia-410m,A13.14,3,5.0
pythia-410m,A13.4,1,0.3333333333333333
pythia-410m,A13.5,3,5.0
pythia-410m,A13.6,2,0.3333333333333333
pythia-410m,A13.7,2,0.3333333333333333
pythia-410m,A13.8,3,1.3333333333333333
pythia-410m,A13.9,3,3.0
pythia-410m,A14.0,3,5.0
pythia-410m,A14.1,1,2.3333333333333335
pythia-410m,A14.11,1,5.0
pythia-410m,A14.12,5,0.3333333333333333
pythia-410m,A14.13,3,2.6666666666666665
pythia-410m,A14.15,3,5.0
pythia-410m,A14.2,3,5.0
pythia-410m,A14.3,3,2.0
pythia-410m,A14.5,3,5.0
pythia-410m,A14.6,3,1.0
pythia-410m,A14.7,3,3.6666666666666665
pythia-410m,A14.8,3,5.0
pythia-410m,A15.0,3,5.0
pythia-410m,A15.1,3,5.0
pythia-410m,A15.10,3,5.0
pythia-410m,A15.11,3,5.0
pythia-410m,A15.12,3,1.6666666666666667
pythia-410m,A15.14,3,4.666666666666667
pythia-410m,A15.15,1,3.6666666666666665
pythia-410m,A15.2,3,5.0
pythia-410m,A15.4,3,5.0
pythia-410m,A15.5,3,5.0
pythia-410m,A15.6,3,5.0
pythia-410m,A15.8,3,5.0
pythia-410m,A16.0,3,4.666666666666667
pythia-410m,A16.1,3,5.0
pythia-410m,A16.10,3,5.0
pythia-410m,A16.11,3,5.0
pythia-410m,A16.12,3,5.0
pythia-410m,A16.13,3,5.0
pythia-410m,A16.14,3,5.0
pythia-410m,A16.15,3,5.0
pythia-410m,A16.2,2,1.6666666666666667
pythia-410m,A16.3,3,5.0
pythia-410m,A16.4,3,5.0
pythia-410m,A16.5,3,5.0
pythia-410m,A16.6,3,3.0
pythia-410m,A16.7,3,5.0
pythia-410m,A17.0,2,4.333333333333333
pythia-410m,A17.1,3,5.0
pythia-410m,A17.10,3,5.0
pythia-410m,A17.11,3,4.666666666666667
pythia-410m,A17.12,1,0.3333333333333333
pythia-410m,A17.14,3,3.6666666666666665
pythia-410m,A17.15,3,5.0
pythia-410m,A17.2,3,5.0
pythia-410m,A17.4,3,5.0
pythia-410m,A17.5,3,5.0
pythia-410m,A17.6,3,3.3333333333333335
pythia-410m,A17.7,1,2.6666666666666665
pythia-410m,A17.9,3,5.0
pythia-410m,A18.0,3,5.0
pythia-410m,A18.1,3,1.3333333333333333
pythia-410m,A18.10,3,3.3333333333333335
pythia-410m,A18.11,3,5.0
pythia-410m,A18.12,3,5.0
pythia-410m,A18.13,3,5.0
pythia-410m,A18.14,3,5.0
