model,draw,head,layer,head_idx,n_bands,bands_present,universality_score
pythia-70m,draw_1,A0.0,0,0,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A0.1,0,1,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A0.2,0,2,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A0.3,0,3,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A0.4,0,4,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A0.5,0,5,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A0.6,0,6,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A0.7,0,7,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A1.0,1,0,2,"medium,very_high",0.4
pythia-70m,draw_1,A1.1,1,1,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A1.2,1,2,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A1.3,1,3,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A1.4,1,4,0,,0.0
pythia-70m,draw_1,A1.5,1,5,3,"high,very_high,control",0.6
pythia-70m,draw_1,A1.6,1,6,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A1.7,1,7,3,"high,very_high,control",0.6
pythia-70m,draw_1,A2.0,2,0,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A2.1,2,1,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A2.2,2,2,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A2.3,2,3,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A2.4,2,4,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A2.5,2,5,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A2.6,2,6,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A2.7,2,7,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A3.0,3,0,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A3.1,3,1,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A3.2,3,2,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A3.3,3,3,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A3.4,3,4,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A3.5,3,5,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A3.6,3,6,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A3.7,3,7,4,"low,high,very_high,control",0.8
pythia-70m,draw_1,A4.0,4,0,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A4.1,4,1,2,"very_high,control",0.4
pythia-70m,draw_1,A4.2,4,2,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A4.3,4,3,0,,0.0
pythia-70m,draw_1,A4.4,4,4,4,"low,medium,high,control",0.8
pythia-70m,draw_1,A4.5,4,5,3,"low,medium,control",0.6
pythia-70m,draw_1,A4.6,4,6,4,"low,medium,high,control",0.8
pythia-70m,draw_1,A4.7,4,7,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A5.0,5,0,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A5.1,5,1,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A5.2,5,2,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A5.3,5,3,5,"low,medium,high,very_high,control",1.0
pythia-70m,draw_1,A5.4,5,4,0,,0.0
pythia-70m,draw_1,A5.5,5,5,4,"medium,high,very_high,control",0.8
pythia-70m,draw_1,A5.6,5,6,0,,0.0
