node,model,centrality_type,n_bands_as_hub,bands_as_hub,is_universal_hub
M1,pythia-70m,betweenness,5,"control,high,low,medium,very_high",True
M4,pythia-70m,betweenness,5,"control,high,low,medium,very_high",True
M3,pythia-70m,betweenness,5,"control,high,low,medium,very_high",True
M2,pythia-70m,betweenness,5,"control,high,low,medium,very_high",True
A3.1,pythia-70m,betweenness,5,"control,high,low,medium,very_high",True
M0,pythia-70m,betweenness,5,"control,high,low,medium,very_high",True
A3.4,pythia-70m,betweenness,5,"control,high,low,medium,very_high",True
A2.1,pythia-70m,betweenness,3,"control,low,very_high",False
A2.7,pythia-70m,betweenness,3,"high,low,medium",False
A1.3,pythia-70m,betweenness,5,"control,high,low,medium,very_high",True
A3.6,pythia-70m,betweenness,5,"control,high,low,medium,very_high",True
A0.3,pythia-70m,betweenness,1,low,False
A2.6,pythia-70m,betweenness,4,"control,high,medium,very_high",False
A3.3,pythia-70m,betweenness,3,"control,medium,very_high",False
R5,pythia-70m,degree,5,"control,high,low,medium,very_high",True
M5,pythia-70m,degree,5,"control,high,low,medium,very_high",True
M4,pythia-70m,degree,5,"control,high,low,medium,very_high",True
M0,pythia-70m,degree,5,"control,high,low,medium,very_high",True
M1,pythia-70m,degree,5,"control,high,low,medium,very_high",True
M3,pythia-70m,degree,5,"control,high,low,medium,very_high",True
M2,pythia-70m,degree,5,"control,high,low,medium,very_high",True
A3.1,pythia-70m,degree,5,"control,high,low,medium,very_high",True
A3.3,pythia-70m,degree,5,"control,high,low,medium,very_high",True
A0.3,pythia-70m,degree,5,"control,high,low,medium,very_high",True
A2.7,pythia-70m,degree,1,high,False
A2.6,pythia-70m,degree,2,"control,very_high",False
A0.7,pythia-70m,degree,1,control,False
A3.6,pythia-70m,degree,1,control,False
M8,pythia-160m,betweenness,5,"control,high,low,medium,very_high",True
M7,pythia-160m,betweenness,5,"control,high,low,medium,very_high",True
M9,pythia-160m,betweenness,5,"control,high,low,medium,very_high",True
M5,pythia-160m,betweenness,5,"control,high,low,medium,very_high",True
A5.0,pythia-160m,betweenness,5,"control,high,low,medium,very_high",True
A6.11,pythia-160m,betweenness,5,"control,high,low,medium,very_high",True
A4.10,pythia-160m,betweenness,5,"control,high,low,medium,very_high",True
M3,pythia-160m,betweenness,5,"control,high,low,medium,very_high",True
M2,pythia-160m,betweenness,5,"control,high,low,medium,very_high",True
M4,pythia-160m,betweenness,5,"control,high,low,medium,very_high",True
A5.6,pythia-160m,betweenness,2,"low,medium",False
M6,pythia-160m,betweenness,4,"control,high,low,medium",False
M10,pythia-160m,betweenness,3,"high,low,very_high",False
M1,pythia-160m,betweenness,3,"control,medium,very_high",False
A5.1,pythia-160m,betweenness,3,"control,medium,very_high",False
A5.10,pythia-160m,betweenness,1,control,False
R11,pythia-160m,degree,5,"control,high,low,medium,very_high",True
M11,pythia-160m,degree,5,"control,high,low,medium,very_high",True
M10,pythia-160m,degree,5,"control,high,low,medium,very_high",True
M8,pythia-160m,degree,5,"control,high,low,medium,very_high",True
M9,pythia-160m,degree,5,"control,high,low,medium,very_high",True
M7,pythia-160m,degree,5,"control,high,low,medium,very_high",True
M0,pythia-160m,degree,5,"control,high,low,medium,very_high",True
A5.0,pythia-160m,degree,5,"control,high,low,medium,very_high",True
A4.10,pythia-160m,degree,5,"control,high,low,medium,very_high",True
M5,pythia-160m,degree,3,"high,low,very_high",False
A6.11,pythia-160m,degree,2,"low,medium",False
A5.6,pythia-160m,degree,1,low,False
M2,pythia-160m,degree,5,"control,high,low,medium,very_high",True
M6,pythia-160m,degree,2,"control,high",False
M3,pythia-160m,degree,1,very_high,False
M10,pythia-410m,betweenness,5,"control,high,low,medium,very_high",True
M5,pythia-410m,betweenness,5,"control,high,low,medium,very_high",True
M18,pythia-410m,betweenness,5,"control,high,low,medium,very_high",True
M11,pythia-410m,betweenness,4,"control,high,low,very_high",False
M9,pythia-410m,betweenness,5,"control,high,low,medium,very_high",True
M4,pythia-410m,betweenness,5,"control,high,low,medium,very_high",True
M12,pythia-410m,betweenness,5,"control,high,low,medium,very_high",True
A7.8,pythia-410m,betweenness,5,"control,high,low,medium,very_high",True
M6,pythia-410m,betweenness,3,"control,low,very_high",False
M8,pythia-410m,betweenness,5,"control,high,low,medium,very_high",True
M17,pythia-410m,betweenness,3,"high,low,medium",False
M13,pythia-410m,betweenness,5,"control,high,low,medium,very_high",True
A11.14,pythia-410m,betweenness,5,"control,high,low,medium,very_high",True
A13.0,pythia-410m,betweenness,1,low,False
M16,pythia-410m,betweenness,2,"high,medium",False
M14,pythia-410m,betweenness,4,"control,high,medium,very_high",False
M19,pythia-410m,betweenness,1,medium,False
M3,pythia-410m,betweenness,4,"control,high,medium,very_high",False
M7,pythia-410m,betweenness,2,"control,high",False
M2,pythia-410m,betweenness,2,"control,very_high",False
M1,pythia-410m,betweenness,1,control,False
R23,pythia-410m,degree,5,"control,high,low,medium,very_high",True
M23,pythia-410m,degree,5,"control,high,low,medium,very_high",True
M0,pythia-410m,degree,5,"control,high,low,medium,very_high",True
M22,pythia-410m,degree,4,"control,low,medium,very_high",False
M16,pythia-410m,degree,5,"control,high,low,medium,very_high",True
M18,pythia-410m,degree,5,"control,high,low,medium,very_high",True
M10,pythia-410m,degree,5,"control,high,low,medium,very_high",True
M5,pythia-410m,degree,1,low,False
M19,pythia-410m,degree,4,"control,high,low,medium",False
A7.8,pythia-410m,degree,5,"control,high,low,medium,very_high",True
M13,pythia-410m,degree,5,"control,high,low,medium,very_high",True
M17,pythia-410m,degree,3,"control,low,very_high",False
A7.1,pythia-410m,degree,1,low,False
