model,band,draw,dst_type,dst_layer,dst_head
pythia-70m,low,draw_1,mlp_in,4,
pythia-70m,low,draw_1,mlp_in,5,
pythia-70m,low,draw_1,resid_post,5,
pythia-70m,low,draw_1,attn_in,3,1.0
pythia-70m,low,draw_1,attn_in,3,3.0
pythia-70m,low,draw_1,mlp_in,2,
pythia-70m,low,draw_1,mlp_in,1,
pythia-70m,low,draw_1,attn_in,0,0.0
pythia-70m,low,draw_1,attn_in,0,1.0
pythia-70m,low,draw_1,attn_in,0,2.0
pythia-70m,low,draw_1,attn_in,0,3.0
pythia-70m,low,draw_1,attn_in,0,4.0
pythia-70m,low,draw_1,attn_in,0,5.0
pythia-70m,low,draw_1,attn_in,0,6.0
pythia-70m,low,draw_1,attn_in,0,7.0
pythia-70m,low,draw_1,mlp_in,3,
pythia-70m,low,draw_1,mlp_in,0,
pythia-70m,low,draw_2,attn_in,3,1.0
pythia-70m,low,draw_2,attn_in,3,3.0
pythia-70m,low,draw_2,mlp_in,0,
pythia-70m,low,draw_2,mlp_in,3,
pythia-70m,low,draw_2,mlp_in,2,
pythia-70m,low,draw_2,mlp_in,1,
pythia-70m,low,draw_2,mlp_in,4,
pythia-70m,low,draw_2,attn_in,0,0.0
pythia-70m,low,draw_2,attn_in,0,1.0
pythia-70m,low,draw_2,attn_in,0,2.0
pythia-70m,low,draw_2,attn_in,0,3.0
pythia-70m,low,draw_2,attn_in,0,4.0
pythia-70m,low,draw_2,attn_in,0,5.0
pythia-70m,low,draw_2,attn_in,0,6.0
pythia-70m,low,draw_2,attn_in,0,7.0
pythia-70m,low,draw_2,mlp_in,5,
pythia-70m,low,draw_2,resid_post,5,
pythia-70m,low,draw_3,mlp_in,0,
pythia-70m,low,draw_3,mlp_in,5,
pythia-70m,low,draw_3,resid_post,5,
pythia-70m,low,draw_3,attn_in,0,0.0
pythia-70m,low,draw_3,attn_in,0,1.0
pythia-70m,low,draw_3,attn_in,0,2.0
pythia-70m,low,draw_3,attn_in,0,3.0
pythia-70m,low,draw_3,attn_in,0,4.0
pythia-70m,low,draw_3,attn_in,0,5.0
pythia-70m,low,draw_3,attn_in,0,6.0
pythia-70m,low,draw_3,attn_in,0,7.0
pythia-70m,low,draw_3,mlp_in,3,
pythia-70m,low,draw_3,mlp_in,1,
pythia-70m,low,draw_3,mlp_in,4,
pythia-70m,low,draw_3,attn_in,3,1.0
pythia-70m,low,draw_3,attn_in,3,3.0
pythia-70m,low,draw_3,attn_in,3,6.0
pythia-70m,medium,draw_1,attn_in,0,0.0
pythia-70m,medium,draw_1,attn_in,0,1.0
pythia-70m,medium,draw_1,attn_in,0,2.0
pythia-70m,medium,draw_1,attn_in,0,3.0
pythia-70m,medium,draw_1,attn_in,0,4.0
pythia-70m,medium,draw_1,attn_in,0,5.0
pythia-70m,medium,draw_1,attn_in,0,6.0
pythia-70m,medium,draw_1,attn_in,0,7.0
pythia-70m,medium,draw_1,mlp_in,5,
pythia-70m,medium,draw_1,attn_in,3,1.0
pythia-70m,medium,draw_1,attn_in,3,3.0
pythia-70m,medium,draw_1,attn_in,3,5.0
pythia-70m,medium,draw_1,mlp_in,4,
pythia-70m,medium,draw_1,mlp_in,2,
pythia-70m,medium,draw_1,resid_post,5,
pythia-70m,medium,draw_1,mlp_in,1,
pythia-70m,medium,draw_1,mlp_in,0,
pythia-70m,medium,draw_1,mlp_in,3,
pythia-70m,medium,draw_2,attn_in,3,1.0
pythia-70m,medium,draw_2,attn_in,3,3.0
pythia-70m,medium,draw_2,resid_post,5,
pythia-70m,medium,draw_2,attn_in,0,0.0
pythia-70m,medium,draw_2,attn_in,0,1.0
pythia-70m,medium,draw_2,attn_in,0,2.0
pythia-70m,medium,draw_2,attn_in,0,3.0
pythia-70m,medium,draw_2,attn_in,0,4.0
pythia-70m,medium,draw_2,attn_in,0,5.0
pythia-70m,medium,draw_2,attn_in,0,6.0
pythia-70m,medium,draw_2,attn_in,0,7.0
pythia-70m,medium,draw_2,mlp_in,0,
pythia-70m,medium,draw_2,mlp_in,4,
pythia-70m,medium,draw_2,mlp_in,1,
pythia-70m,medium,draw_2,mlp_in,5,
pythia-70m,medium,draw_2,mlp_in,3,
pythia-70m,medium,draw_2,mlp_in,2,
pythia-70m,medium,draw_3,resid_post,5,
pythia-70m,medium,draw_3,mlp_in,2,
pythia-70m,medium,draw_3,mlp_in,1,
pythia-70m,medium,draw_3,mlp_in,3,
pythia-70m,medium,draw_3,attn_in,0,0.0
pythia-70m,medium,draw_3,attn_in,0,1.0
pythia-70m,medium,draw_3,attn_in,0,2.0
pythia-70m,medium,draw_3,attn_in,0,3.0
pythia-70m,medium,draw_3,attn_in,0,4.0
pythia-70m,medium,draw_3,attn_in,0,5.0
pythia-70m,medium,draw_3,attn_in,0,6.0
pythia-70m,medium,draw_3,attn_in,0,7.0
pythia-70m,medium,draw_3,attn_in,3,1.0
pythia-70m,medium,draw_3,attn_in,3,3.0
pythia-70m,medium,draw_3,attn_in,3,5.0
pythia-70m,medium,draw_3,attn_in,3,6.0
pythia-70m,medium,draw_3,mlp_in,4,
pythia-70m,medium,draw_3,mlp_in,0,
pythia-70m,medium,draw_3,mlp_in,5,
pythia-70m,high,draw_1,attn_in,0,0.0
pythia-70m,high,draw_1,attn_in,0,1.0
pythia-70m,high,draw_1,attn_in,0,2.0
pythia-70m,high,draw_1,attn_in,0,3.0
pythia-70m,high,draw_1,attn_in,0,4.0
pythia-70m,high,draw_1,attn_in,0,5.0
pythia-70m,high,draw_1,attn_in,0,6.0
pythia-70m,high,draw_1,attn_in,0,7.0
pythia-70m,high,draw_1,mlp_in,0,
pythia-70m,high,draw_1,mlp_in,1,
pythia-70m,high,draw_1,mlp_in,3,
pythia-70m,high,draw_1,mlp_in,5,
pythia-70m,high,draw_1,mlp_in,4,
pythia-70m,high,draw_1,resid_post,5,
pythia-70m,high,draw_1,attn_in,1,2.0
pythia-70m,high,draw_1,attn_in,3,1.0
pythia-70m,high,draw_1,attn_in,3,3.0
pythia-70m,high,draw_1,attn_in,3,5.0
pythia-70m,high,draw_1,attn_in,3,6.0
pythia-70m,high,draw_2,attn_in,3,1.0
pythia-70m,high,draw_2,attn_in,3,3.0
pythia-70m,high,draw_2,attn_in,3,5.0
pythia-70m,high,draw_2,mlp_in,5,
pythia-70m,high,draw_2,mlp_in,1,
pythia-70m,high,draw_2,mlp_in,3,
pythia-70m,high,draw_2,mlp_in,4,
pythia-70m,high,draw_2,attn_in,0,0.0
pythia-70m,high,draw_2,attn_in,0,1.0
pythia-70m,high,draw_2,attn_in,0,2.0
pythia-70m,high,draw_2,attn_in,0,3.0
pythia-70m,high,draw_2,attn_in,0,4.0
pythia-70m,high,draw_2,attn_in,0,5.0
pythia-70m,high,draw_2,attn_in,0,6.0
pythia-70m,high,draw_2,attn_in,0,7.0
pythia-70m,high,draw_2,mlp_in,0,
pythia-70m,high,draw_2,attn_in,2,7.0
pythia-70m,high,draw_2,resid_post,5,
pythia-70m,high,draw_3,attn_in,3,1.0
pythia-70m,high,draw_3,attn_in,3,3.0
pythia-70m,high,draw_3,attn_in,3,5.0
pythia-70m,high,draw_3,attn_in,3,6.0
pythia-70m,high,draw_3,resid_post,5,
pythia-70m,high,draw_3,mlp_in,4,
pythia-70m,high,draw_3,attn_in,2,6.0
pythia-70m,high,draw_3,attn_in,0,0.0
