model,layer,mean_jaccard,std_jaccard,n_pairs
pythia-70m,0,1.0,0.0,90
pythia-70m,1,0.763367693179908,0.05945444822921591,90
pythia-70m,2,0.6566068655884252,0.05251361126002629,90
pythia-70m,3,0.7854590637234755,0.03763507205216375,90
pythia-70m,4,0.6626557150725771,0.07202742130480591,90
pythia-70m,5,0.8391655572020477,0.03352332912683598,90
pythia-160m,0,0.7856060606060606,0.0999625464103969,90
pythia-160m,1,0.506050883365957,0.0712683908503736,90
pythia-160m,2,0.4643757879637423,0.06056249051824234,90
pythia-160m,3,0.4226645420255951,0.05157253361814841,90
pythia-160m,4,0.5153255106336511,0.0437454458483414,90
pythia-160m,5,0.5780304227493241,0.03593788924204015,90
pythia-160m,6,0.4569790156359904,0.031033531335622342,90
pythia-160m,7,0.4946055746751659,0.031587050017741515,90
pythia-160m,8,0.5389514607707235,0.041456577695445376,90
pythia-160m,9,0.5295252009671776,0.03725958300745662,90
pythia-160m,10,0.5005253754403338,0.051779618536398966,90
pythia-160m,11,0.8180454630891006,0.030796311010103692,90
pythia-410m,0,0.49514957264957266,0.13257550645095065,90
pythia-410m,1,0.3697893734698607,0.08245334982210062,90
pythia-410m,2,0.37458172039214027,0.08657798529081788,90
pythia-410m,3,0.2927803778059784,0.06615045475732789,90
pythia-410m,4,0.311915762628694,0.06556882260393782,90
pythia-410m,5,0.32212250900712736,0.041771407584044,90
pythia-410m,6,0.37547634845919703,0.04625602350236102,90
pythia-410m,7,0.3990685196923492,0.0367410918815829,90
pythia-410m,8,0.3661895528868049,0.0391360619439982,90
pythia-410m,9,0.42983543656892265,0.031118342126391994,90
pythia-410m,10,0.40029592760243954,0.026196415382731538,90
pythia-410m,11,0.44973215967189506,0.025226115919805017,90
pythia-410m,12,0.37320406973044423,0.029644125180391813,90
pythia-410m,13,0.44415633435147006,0.03997026023657593,90
pythia-410m,14,0.36299389245116337,0.03340595057047591,90
pythia-410m,15,0.33311976944408794,0.03310314984143884,90
pythia-410m,16,0.39954006378552326,0.030775692009181777,90
pythia-410m,17,0.37088231927457477,0.030545839906555447,90
pythia-410m,18,0.3907254337504281,0.030589655936099944,90
pythia-410m,19,0.37701175258852104,0.03361193272925272,90
pythia-410m,20,0.38534393460841465,0.033374938197510425,90
pythia-410m,21,0.41588256836772763,0.03779315198926402,90
pythia-410m,22,0.4753599366170543,0.038864494457220726,90
pythia-410m,23,0.7711630545677673,0.02500964054928611,90
pythia-1b,0,0.6735714285714286,0.16087990682260228,90
pythia-1b,1,0.5595567395567396,0.13304197068400334,90
pythia-1b,2,0.4308176517745699,0.09493308872155404,90
pythia-1b,3,0.4991576774446371,0.06770425315788722,90
pythia-1b,4,0.4906233160309489,0.04543068590159673,90
pythia-1b,5,0.4032131838059131,0.05349905361564935,90
pythia-1b,6,0.4622490759856043,0.05510372879746994,90
pythia-1b,7,0.5586035570478525,0.05238478488632995,90
pythia-1b,8,0.46115670222403854,0.05301364538830239,90
pythia-1b,9,0.42979410192953266,0.05027312269523609,90
pythia-1b,10,0.4545559844371464,0.052075066310623475,90
pythia-1b,11,0.41962378817459217,0.04578085651252951,90
pythia-1b,12,0.3222008934378353,0.06329185872186131,90
pythia-1b,13,0.32591882654693743,0.06429427635615476,90
pythia-1b,14,0.4863374654429402,0.06236065880370941,90
pythia-1b,15,0.6707579047193014,0.03762576049094518,90
pythia-1.4b,0,0.5501404151404152,0.10970733752912247,90
pythia-1.4b,1,0.3700773102534378,0.09116829518608245,90
pythia-1.4b,2,0.37082337334990323,0.11446308537210821,90
pythia-1.4b,3,0.3778427737292643,0.06968430153610133,90
pythia-1.4b,4,0.35565513828114986,0.0508782308421725,90
pythia-1.4b,5,0.40253389526857236,0.04675897321966859,90
pythia-1.4b,6,0.41912174206258385,0.037944574058687515,90
pythia-1.4b,7,0.3625236013844627,0.03362267980102832,90
pythia-1.4b,8,0.42732929229235767,0.03268940402547867,90
pythia-1.4b,9,0.3940737525992418,0.041629091724820204,90
pythia-1.4b,10,0.42878677722966,0.038393755588725154,90
pythia-1.4b,11,0.35359207111043656,0.045889256052654814,90
pythia-1.4b,12,0.3790818732571168,0.041244336108842795,90
pythia-1.4b,13,0.33157913513401116,0.04856860897039948,90
pythia-1.4b,14,0.31852210622735344,0.04980146284934351,90
pythia-1.4b,15,0.33077135679587477,0.04317147921431288,90
pythia-1.4b,16,0.29695009675810474,0.04257238625389274,90
pythia-1.4b,17,0.2726930042750671,0.04062571915927036,90
pythia-1.4b,18,0.22870287434500958,0.04639366660408127,90
pythia-1.4b,19,0.19790706965951302,0.050472399146478206,90
pythia-1.4b,20,0.1651188461556122,0.03845065867159689,90
pythia-1.4b,21,0.18208576504360124,0.05590770784030764,90
pythia-1.4b,22,0.24132984239888375,0.07213208636561408,90
pythia-1.4b,23,0.6398528753322407,0.04109075178764884,90
