model,draw,layer,total_edges,universal_count,universal_fraction
pythia-70m,draw_1,0,9,9,1.0
pythia-70m,draw_1,1,38,21,0.5526315789473685
pythia-70m,draw_1,2,87,35,0.40229885057471265
pythia-70m,draw_1,3,150,92,0.6133333333333333
pythia-70m,draw_1,4,103,42,0.4077669902912621
pythia-70m,draw_1,5,148,98,0.6621621621621622
pythia-70m,draw_2,0,9,9,1.0
pythia-70m,draw_2,1,35,21,0.6
pythia-70m,draw_2,2,86,33,0.38372093023255816
pythia-70m,draw_2,3,155,95,0.6129032258064516
pythia-70m,draw_2,4,95,36,0.37894736842105264
pythia-70m,draw_2,5,146,103,0.7054794520547946
pythia-70m,draw_3,0,9,9,1.0
pythia-70m,draw_3,1,38,23,0.6052631578947368
pythia-70m,draw_3,2,90,35,0.3888888888888889
pythia-70m,draw_3,3,155,96,0.6193548387096774
pythia-70m,draw_3,4,95,45,0.47368421052631576
pythia-70m,draw_3,5,150,103,0.6866666666666666
pythia-160m,draw_1,0,12,7,0.5833333333333334
pythia-160m,draw_1,1,34,9,0.2647058823529412
pythia-160m,draw_1,2,58,12,0.20689655172413793
pythia-160m,draw_1,3,102,18,0.17647058823529413
pythia-160m,draw_1,4,179,42,0.2346368715083799
pythia-160m,draw_1,5,306,95,0.3104575163398693
pythia-160m,draw_1,6,239,43,0.1799163179916318
pythia-160m,draw_1,7,222,47,0.21171171171171171
pythia-160m,draw_1,8,302,86,0.2847682119205298
pythia-160m,draw_1,9,344,86,0.25
pythia-160m,draw_1,10,251,64,0.2549800796812749
pythia-160m,draw_1,11,287,185,0.6445993031358885
pythia-160m,draw_2,0,12,7,0.5833333333333334
pythia-160m,draw_2,1,42,13,0.30952380952380953
pythia-160m,draw_2,2,60,12,0.2
pythia-160m,draw_2,3,107,18,0.16822429906542055
pythia-160m,draw_2,4,188,45,0.2393617021276596
pythia-160m,draw_2,5,288,97,0.3368055555555556
pythia-160m,draw_2,6,274,56,0.20437956204379562
pythia-160m,draw_2,7,223,54,0.242152466367713
pythia-160m,draw_2,8,304,81,0.26644736842105265
pythia-160m,draw_2,9,352,91,0.2585227272727273
pythia-160m,draw_2,10,267,63,0.23595505617977527
pythia-160m,draw_2,11,278,186,0.6690647482014388
pythia-160m,draw_3,0,11,7,0.6363636363636364
pythia-160m,draw_3,1,38,8,0.21052631578947367
pythia-160m,draw_3,2,52,8,0.15384615384615385
pythia-160m,draw_3,3,110,17,0.15454545454545454
pythia-160m,draw_3,4,168,52,0.30952380952380953
pythia-160m,draw_3,5,270,93,0.34444444444444444
pythia-160m,draw_3,6,264,54,0.20454545454545456
pythia-160m,draw_3,7,212,52,0.24528301886792453
pythia-160m,draw_3,8,283,82,0.28975265017667845
pythia-160m,draw_3,9,341,100,0.2932551319648094
pythia-160m,draw_3,10,239,65,0.2719665271966527
pythia-160m,draw_3,11,273,185,0.6776556776556777
pythia-410m,draw_1,0,14,4,0.2857142857142857
pythia-410m,draw_1,1,44,4,0.09090909090909091
pythia-410m,draw_1,2,45,3,0.06666666666666667
pythia-410m,draw_1,3,48,4,0.08333333333333333
pythia-410m,draw_1,4,71,6,0.08450704225352113
pythia-410m,draw_1,5,93,11,0.11827956989247312
pythia-410m,draw_1,6,118,18,0.15254237288135594
pythia-410m,draw_1,7,205,37,0.18048780487804877
pythia-410m,draw_1,8,293,31,0.10580204778156997
pythia-410m,draw_1,9,372,64,0.17204301075268819
pythia-410m,draw_1,10,419,67,0.15990453460620524
pythia-410m,draw_1,11,509,93,0.18271119842829076
pythia-410m,draw_1,12,499,62,0.12424849699398798
pythia-410m,draw_1,13,288,50,0.1736111111111111
pythia-410m,draw_1,14,320,36,0.1125
pythia-410m,draw_1,15,392,41,0.10459183673469388
pythia-410m,draw_1,16,680,96,0.1411764705882353
pythia-410m,draw_1,17,485,58,0.11958762886597939
pythia-410m,draw_1,18,493,68,0.13793103448275862
pythia-410m,draw_1,19,481,66,0.13721413721413722
pythia-410m,draw_1,20,233,36,0.15450643776824036
pythia-410m,draw_1,21,250,42,0.168
pythia-410m,draw_1,22,277,61,0.22021660649819494
pythia-410m,draw_1,23,561,325,0.5793226381461676
pythia-410m,draw_2,0,14,2,0.14285714285714285
pythia-410m,draw_2,1,35,3,0.08571428571428572
pythia-410m,draw_2,2,37,6,0.16216216216216217
pythia-410m,draw_2,3,45,4,0.08888888888888889
pythia-410m,draw_2,4,57,8,0.14035087719298245
pythia-410m,draw_2,5,98,10,0.10204081632653061
pythia-410m,draw_2,6,120,18,0.15
pythia-410m,draw_2,7,229,35,0.15283842794759825
pythia-410m,draw_2,8,291,44,0.15120274914089346
pythia-410m,draw_2,9,346,63,0.18208092485549132
pythia-410m,draw_2,10,434,69,0.15898617511520738
pythia-410m,draw_2,11,499,94,0.18837675350701402
pythia-410m,draw_2,12,524,66,0.12595419847328243
pythia-410m,draw_2,13,285,51,0.17894736842105263
pythia-410m,draw_2,14,306,43,0.14052287581699346
pythia-410m,draw_2,15,412,39,0.09466019417475728
pythia-410m,draw_2,16,676,98,0.14497041420118342
pythia-410m,draw_2,17,480,65,0.13541666666666666
pythia-410m,draw_2,18,500,67,0.134
pythia-410m,draw_2,19,534,67,0.1254681647940075
pythia-410m,draw_2,20,213,31,0.14553990610328638
pythia-410m,draw_2,21,243,41,0.16872427983539096
pythia-410m,draw_2,22,271,60,0.22140221402214022
pythia-410m,draw_2,23,549,317,0.5774134790528234
pythia-410m,draw_3,0,14,3,0.21428571428571427
pythia-410m,draw_3,1,44,5,0.11363636363636363
pythia-410m,draw_3,2,43,5,0.11627906976744186
pythia-410m,draw_3,3,50,4,0.08
pythia-410m,draw_3,4,58,5,0.08620689655172414
pythia-410m,draw_3,5,107,13,0.12149532710280374
pythia-410m,draw_3,6,138,16,0.11594202898550725
pythia-410m,draw_3,7,227,34,0.14977973568281938
pythia-410m,draw_3,8,303,36,0.1188118811881188
pythia-410m,draw_3,9,354,57,0.16101694915254236
pythia-410m,draw_3,10,437,69,0.15789473684210525
pythia-410m,draw_3,11,501,99,0.19760479041916168
pythia-410m,draw_3,12,535,75,0.14018691588785046
pythia-410m,draw_3,13,266,64,0.24060150375939848
pythia-410m,draw_3,14,307,39,0.1270358306188925
pythia-410m,draw_3,15,409,52,0.1271393643031785
pythia-410m,draw_3,16,671,94,0.14008941877794337
pythia-410m,draw_3,17,479,60,0.12526096033402923
pythia-410m,draw_3,18,519,68,0.13102119460500963
pythia-410m,draw_3,19,493,63,0.12778904665314403
pythia-410m,draw_3,20,201,33,0.16417910447761194
pythia-410m,draw_3,21,234,44,0.18803418803418803
pythia-410m,draw_3,22,275,59,0.21454545454545454
pythia-410m,draw_3,23,559,327,0.5849731663685152
pythia-1b,draw_1,0,8,3,0.375
pythia-1b,draw_1,1,13,4,0.3076923076923077
pythia-1b,draw_1,2,30,3,0.1
pythia-1b,draw_1,3,49,11,0.22448979591836735
pythia-1b,draw_1,4,78,18,0.23076923076923078
pythia-1b,draw_1,5,103,15,0.14563106796116504
pythia-1b,draw_1,6,81,20,0.24691358024691357
pythia-1b,draw_1,7,151,48,0.31788079470198677
pythia-1b,draw_1,8,138,26,0.18840579710144928
pythia-1b,draw_1,9,144,22,0.1527777777777778
pythia-1b,draw_1,10,168,29,0.17261904761904762
pythia-1b,draw_1,11,235,38,0.16170212765957448
pythia-1b,draw_1,12,148,10,0.06756756756756757
pythia-1b,draw_1,13,135,12,0.08888888888888889
pythia-1b,draw_1,14,107,19,0.17757009345794392
pythia-1b,draw_1,15,162,70,0.43209876543209874
pythia-1b,draw_2,0,7,4,0.5714285714285714
pythia-1b,draw_2,1,13,4,0.3076923076923077
pythia-1b,draw_2,2,31,5,0.16129032258064516
pythia-1b,draw_2,3,49,11,0.22448979591836735
pythia-1b,draw_2,4,80,21,0.2625
pythia-1b,draw_2,5,99,15,0.15151515151515152
pythia-1b,draw_2,6,91,16,0.17582417582417584
pythia-1b,draw_2,7,140,37,0.2642857142857143
pythia-1b,draw_2,8,131,28,0.21374045801526717
pythia-1b,draw_2,9,143,24,0.16783216783216784
pythia-1b,draw_2,10,159,35,0.22012578616352202
pythia-1b,draw_2,11,232,33,0.14224137931034483
pythia-1b,draw_2,12,163,16,0.09815950920245399
pythia-1b,draw_2,13,127,10,0.07874015748031496
pythia-1b,draw_2,14,106,22,0.20754716981132076
pythia-1b,draw_2,15,170,75,0.4411764705882353
pythia-1b,draw_3,0,7,2,0.2857142857142857
pythia-1b,draw_3,1,14,4,0.2857142857142857
pythia-1b,draw_3,2,22,3,0.13636363636363635
pythia-1b,draw_3,3,41,10,0.24390243902439024
pythia-1b,draw_3,4,77,17,0.22077922077922077
pythia-1b,draw_3,5,110,16,0.14545454545454545
pythia-1b,draw_3,6,88,17,0.19318181818181818
pythia-1b,draw_3,7,141,46,0.3262411347517731
pythia-1b,draw_3,8,141,26,0.18439716312056736
pythia-1b,draw_3,9,128,27,0.2109375
pythia-1b,draw_3,10,155,32,0.2064516129032258
pythia-1b,draw_3,11,252,34,0.1349206349206349
pythia-1b,draw_3,12,143,13,0.09090909090909091
pythia-1b,draw_3,13,109,16,0.14678899082568808
pythia-1b,draw_3,14,102,23,0.22549019607843138
pythia-1b,draw_3,15,170,78,0.4588235294117647
pythia-1.4b,draw_1,0,15,4,0.26666666666666666
pythia-1.4b,draw_1,1,76,5,0.06578947368421052
pythia-1.4b,draw_1,2,174,11,0.06321839080459771
pythia-1.4b,draw_1,3,80,10,0.125
pythia-1.4b,draw_1,4,119,11,0.09243697478991597
pythia-1.4b,draw_1,5,148,23,0.1554054054054054
pythia-1.4b,draw_1,6,155,25,0.16129032258064516
pythia-1.4b,draw_1,7,209,24,0.11483253588516747
pythia-1.4b,draw_1,8,221,35,0.1583710407239819
pythia-1.4b,draw_1,9,215,28,0.13023255813953488
pythia-1.4b,draw_1,10,418,64,0.15311004784688995
pythia-1.4b,draw_1,11,296,24,0.08108108108108109
pythia-1.4b,draw_1,12,318,40,0.12578616352201258
pythia-1.4b,draw_1,13,281,31,0.1103202846975089
