model,sharing_level,n_edges,mean_layer_distance,mean_dst_layer,mean_dst_layer_normalized,skip_fraction,input_fraction,output_fraction,attn_fraction,mlp_fraction,resid_fraction
pythia-70m,1,231,2.0476190476190474,3.2034632034632033,0.6406926406926406,0.6320346320346321,0.04329004329004329,0.017316017316017316,0.9307359307359307,0.05194805194805195,0.017316017316017316
pythia-70m,2,162,2.0555555555555554,3.2962962962962963,0.6592592592592592,0.6172839506172839,0.018518518518518517,0.0,0.8888888888888888,0.1111111111111111,0.0
pythia-70m,3,141,2.0,3.3900709219858154,0.6780141843971631,0.6170212765957447,0.02127659574468085,0.028368794326241134,0.8723404255319149,0.09929078014184398,0.028368794326241134
pythia-70m,4,159,2.106918238993711,3.30188679245283,0.660377358490566,0.6415094339622641,0.012578616352201259,0.006289308176100629,0.8301886792452831,0.16352201257861634,0.006289308176100629
pythia-70m,5,905,2.1955801104972377,3.4607734806629833,0.6921546961325966,0.6198895027624309,0.051933701657458566,0.16574585635359115,0.46740331491712706,0.36685082872928176,0.16574585635359115
pythia-160m,1,1892,3.783826638477801,6.945031712473573,0.6313665193157794,0.8187103594080338,0.007399577167019027,0.007928118393234672,0.8292811839323467,0.16279069767441862,0.007928118393234672
pythia-160m,2,1223,3.654946852003271,6.751430907604252,0.6137664461458411,0.8004905968928864,0.02125919869174162,0.007358953393295176,0.7784137367130008,0.214227309893704,0.007358953393295176
pythia-160m,3,888,3.652027027027027,7.059684684684685,0.6417895167895168,0.8130630630630631,0.013513513513513514,0.01126126126126126,0.7274774774774775,0.26126126126126126,0.01126126126126126
pythia-160m,4,849,3.4499411071849235,7.014134275618375,0.6376485705107613,0.7926972909305064,0.007067137809187279,0.030624263839811542,0.6772673733804476,0.2921083627797409,0.030624263839811542
pythia-160m,5,2140,3.9355140186915887,7.82429906542056,0.7112999150382328,0.7995327102803739,0.012149532710280374,0.1602803738317757,0.38878504672897196,0.45093457943925236,0.1602803738317757
pythia-410m,1,8376,6.403175740210124,14.070797516714423,0.6117738050745402,0.8857449856733525,0.004775549188156638,0.009909264565425024,0.75274594078319,0.23734479465138492,0.009909264565425024
pythia-410m,2,4308,6.277390900649953,14.118848653667595,0.6138629849420694,0.8862581244196843,0.0044103992571959145,0.014391829155060354,0.6945218198700093,0.29108635097493035,0.014391829155060354
pythia-410m,3,2894,6.079129232895646,14.304768486523843,0.6219464559358192,0.8863165169315825,0.0038009675190048375,0.017622667588113337,0.6800276434001382,0.30234968901174847,0.017622667588113337
pythia-410m,4,2126,5.951081843838193,14.652398871119473,0.6370608204834554,0.8584195672624647,0.0042333019755409216,0.039040451552210725,0.6222953904045155,0.33866415804327377,0.039040451552210725
pythia-410m,5,3908,7.397645854657114,16.20777891504606,0.7046860397846113,0.900460593654043,0.0030706243602865915,0.1683725690890481,0.32932446264073695,0.5023029682702149,0.1683725690890481
pythia-1b,1,1777,4.0146314012380415,9.423185143500282,0.6282123429000188,0.8114800225098481,0.004501969611705121,0.017445132245357344,0.7563308947664603,0.22622397298818234,0.017445132245357344
pythia-1b,2,1005,3.9263681592039803,9.65273631840796,0.6435157545605307,0.8159203980099502,0.0029850746268656717,0.022885572139303482,0.7223880597014926,0.25472636815920396,0.022885572139303482
pythia-1b,3,768,4.020833333333333,9.611979166666666,0.640798611111111,0.8125,0.00390625,0.036458333333333336,0.6848958333333334,0.2786458333333333,0.036458333333333336
pythia-1b,4,573,3.832460732984293,9.424083769633508,0.6282722513089005,0.7958115183246073,0.0034904013961605585,0.04013961605584642,0.5794066317626527,0.38045375218150085,0.04013961605584642
pythia-1b,5,1068,3.6189138576779025,9.769662921348315,0.651310861423221,0.7659176029962547,0.008426966292134831,0.14232209737827714,0.5037453183520599,0.3539325842696629,0.14232209737827714
pythia-1.4b,1,6947,6.261407801928891,13.44306895062617,0.5844812587228769,0.8798042320426083,0.0031668346048654094,0.01669785518929034,0.7699726500647761,0.2133294947459335,0.01669785518929034
pythia-1.4b,2,3158,5.791006966434452,12.976884103863204,0.5642123523418785,0.8527549081697277,0.00253324889170361,0.025965801139962,0.7039265357821406,0.2701076630778974,0.025965801139962
pythia-1.4b,3,1918,5.4520333680917625,12.630865484880083,0.5491680645600036,0.82429614181439,0.0020855057351407717,0.03336809176225235,0.64859228362878,0.3180396246089677,0.03336809176225235
pythia-1.4b,4,1459,5.305688827964359,12.50993831391364,0.5439103614745061,0.8396161754626457,0.0075394105551747775,0.05140507196710076,0.5873886223440713,0.36120630568882794,0.05140507196710076
pythia-1.4b,5,1860,5.714516129032258,13.494623655913978,0.5867227676484338,0.8263440860215053,0.0064516129032258064,0.17956989247311828,0.44408602150537635,0.3763440860215054,0.17956989247311828
