model,draw,n_bands,count,fraction
pythia-70m,draw_1,1,80,0.14953271028037382
pythia-70m,draw_1,2,50,0.09345794392523364
pythia-70m,draw_1,3,49,0.09158878504672897
pythia-70m,draw_1,4,59,0.1102803738317757
pythia-70m,draw_1,5,297,0.5551401869158878
pythia-70m,draw_2,1,78,0.1482889733840304
pythia-70m,draw_2,2,51,0.09695817490494296
pythia-70m,draw_2,3,45,0.08555133079847908
pythia-70m,draw_2,4,55,0.10456273764258556
pythia-70m,draw_2,5,297,0.564638783269962
pythia-70m,draw_3,1,73,0.13594040968342644
pythia-70m,draw_3,2,61,0.11359404096834265
pythia-70m,draw_3,3,47,0.08752327746741155
pythia-70m,draw_3,4,45,0.08379888268156424
pythia-70m,draw_3,5,311,0.5791433891992551
pythia-160m,draw_1,1,638,0.2731164383561644
pythia-160m,draw_1,2,409,0.17508561643835616
pythia-160m,draw_1,3,287,0.1228595890410959
pythia-160m,draw_1,4,308,0.13184931506849315
pythia-160m,draw_1,5,694,0.2970890410958904
pythia-160m,draw_2,1,671,0.2801670146137787
pythia-160m,draw_2,2,416,0.17369519832985386
pythia-160m,draw_2,3,322,0.13444676409185805
pythia-160m,draw_2,4,263,0.10981210855949895
pythia-160m,draw_2,5,723,0.3018789144050104
pythia-160m,draw_3,1,583,0.25785050862450243
pythia-160m,draw_3,2,398,0.1760283060592658
pythia-160m,draw_3,3,279,0.12339672711189739
pythia-160m,draw_3,4,278,0.12295444493586909
pythia-160m,draw_3,5,723,0.31977001326846527
pythia-410m,draw_1,1,2800,0.3894297635605007
pythia-410m,draw_1,2,1443,0.20069541029207233
pythia-410m,draw_1,3,955,0.13282336578581364
pythia-410m,draw_1,4,709,0.09860917941585536
pythia-410m,draw_1,5,1283,0.178442280945758
pythia-410m,draw_2,1,2809,0.39024729091414284
pythia-410m,draw_2,2,1438,0.19977771603223118
pythia-410m,draw_2,3,957,0.13295359822172825
pythia-410m,draw_2,4,693,0.09627674353987219
pythia-410m,draw_2,5,1301,0.18074465129202555
pythia-410m,draw_3,1,2767,0.38302879291251385
pythia-410m,draw_3,2,1427,0.1975359911406423
pythia-410m,draw_3,3,982,0.1359357696566999
pythia-410m,draw_3,4,724,0.10022148394241417
pythia-410m,draw_3,5,1324,0.18327796234772978
pythia-1b,draw_1,1,584,0.33371428571428574
pythia-1b,draw_1,2,355,0.20285714285714285
pythia-1b,draw_1,3,263,0.15028571428571427
pythia-1b,draw_1,4,200,0.11428571428571428
pythia-1b,draw_1,5,348,0.19885714285714284
pythia-1b,draw_2,1,617,0.3543940264215968
pythia-1b,draw_2,2,308,0.17690982194141297
pythia-1b,draw_2,3,258,0.1481906950028719
pythia-1b,draw_2,4,202,0.11602527283170591
pythia-1b,draw_2,5,356,0.2044801838024124
pythia-1b,draw_3,1,576,0.3388235294117647
pythia-1b,draw_3,2,342,0.2011764705882353
pythia-1b,draw_3,3,247,0.14529411764705882
pythia-1b,draw_3,4,171,0.10058823529411764
pythia-1b,draw_3,5,364,0.21411764705882352
pythia-1.4b,draw_1,1,2279,0.448180924287119
pythia-1.4b,draw_1,2,1042,0.2049164208456244
pythia-1.4b,draw_1,3,651,0.128023598820059
pythia-1.4b,draw_1,4,488,0.09596853490658801
pythia-1.4b,draw_1,5,625,0.12291052114060963
pythia-1.4b,draw_2,1,2358,0.45538818076477405
pythia-1.4b,draw_2,2,1064,0.20548474314407106
pythia-1.4b,draw_2,3,658,0.12707609115488605
pythia-1.4b,draw_2,4,482,0.09308613364233295
pythia-1.4b,draw_2,5,616,0.11896485129393589
pythia-1.4b,draw_3,1,2310,0.4548139397519197
pythia-1.4b,draw_3,2,1052,0.2071273872809608
pythia-1.4b,draw_3,3,609,0.11990549320732427
pythia-1.4b,draw_3,4,489,0.09627879503839339
pythia-1.4b,draw_3,5,619,0.12187438472140186
