circuit_id,model,band,draw,threshold,total_edges,total_possible,edge_fraction,n_skip,n_input,n_output,n_local,n_forward,mlp_in_edges,attn_in_edges,resid_post_edges,active_heads,max_edges_per_head,mean_edges_per_head
pythia_70m_low_draw_1,pythia-70m,low,draw_1,0.00158,380,1324,0.28700906344410876,235,17,50,7,138,123,207,50,39,20,5.3076923076923075
pythia_70m_low_draw_2,pythia-70m,low,draw_2,0.00158,396,1324,0.2990936555891239,249,17,50,7,140,126,220,50,40,22,5.5
pythia_70m_low_draw_3,pythia-70m,low,draw_3,0.00158,391,1324,0.29531722054380666,244,17,51,8,139,127,213,51,41,21,5.195121951219512
pythia_70m_medium_draw_1,pythia-70m,medium,draw_1,0.00158,395,1324,0.2983383685800604,248,18,50,7,140,123,222,50,40,22,5.55
pythia_70m_medium_draw_2,pythia-70m,medium,draw_2,0.00158,392,1324,0.29607250755287007,244,17,50,7,141,126,216,50,40,22,5.4
pythia_70m_medium_draw_3,pythia-70m,medium,draw_3,0.00158,406,1324,0.3066465256797583,258,19,52,7,141,123,231,52,42,23,5.5
pythia_70m_high_draw_1,pythia-70m,high,draw_1,0.00158,414,1324,0.31268882175226587,264,19,52,8,142,121,241,52,41,24,5.878048780487805
pythia_70m_high_draw_2,pythia-70m,high,draw_2,0.00158,405,1324,0.30589123867069484,251,18,51,7,147,119,235,51,41,24,5.7317073170731705
pythia_70m_high_draw_3,pythia-70m,high,draw_3,0.00158,431,1324,0.3255287009063444,267,20,52,8,156,127,252,52,42,23,6.0
pythia_70m_very_high_draw_1,pythia-70m,very_high,draw_1,0.00158,424,1324,0.3202416918429003,259,18,52,8,157,124,248,52,41,23,6.048780487804878
pythia_70m_very_high_draw_2,pythia-70m,very_high,draw_2,0.00158,417,1324,0.3149546827794562,258,18,52,8,151,120,245,52,40,22,6.125
pythia_70m_very_high_draw_3,pythia-70m,very_high,draw_3,0.00158,417,1324,0.3149546827794562,254,18,52,8,155,123,242,52,40,24,6.05
