model,draw,band,layer,head,entropy_mean,entropy_std,entropy_median
pythia-70m,draw_1,low,0,0,3.948561668395996,0.268940806388855,4.023587703704834
pythia-70m,draw_1,low,0,1,2.6415855884552,0.3959238529205322,2.6323606967926025
pythia-70m,draw_1,low,0,2,2.6087846755981445,0.6760615110397339,2.716952323913574
pythia-70m,draw_1,low,0,3,0.46509748697280884,0.20330840349197388,0.42375850677490234
pythia-70m,draw_1,low,0,4,2.009572982788086,0.60003262758255,2.0667898654937744
pythia-70m,draw_1,low,0,5,1.8367633819580078,0.7181833386421204,1.8437411785125732
pythia-70m,draw_1,low,0,6,2.041454792022705,0.36811596155166626,2.05745530128479
pythia-70m,draw_1,low,0,7,2.2918591499328613,0.7052394151687622,2.4610366821289062
pythia-70m,draw_1,low,1,0,3.7331037521362305,0.2857365310192108,3.803816795349121
pythia-70m,draw_1,low,1,1,2.1061325073242188,0.32572218775749207,2.1043624877929688
pythia-70m,draw_1,low,1,2,2.6177451610565186,0.4543089270591736,2.6813533306121826
pythia-70m,draw_1,low,1,3,2.9064583778381348,0.24707797169685364,2.923271894454956
pythia-70m,draw_1,low,1,4,3.2166504859924316,0.30845674872398376,3.2477009296417236
pythia-70m,draw_1,low,1,5,3.2707161903381348,0.34186458587646484,3.3322837352752686
pythia-70m,draw_1,low,1,6,3.3032171726226807,0.47720152139663696,3.3982093334198
pythia-70m,draw_1,low,1,7,1.7241359949111938,0.4835220277309418,1.7646636962890625
pythia-70m,draw_1,low,2,0,3.1853950023651123,0.35880765318870544,3.213789939880371
pythia-70m,draw_1,low,2,1,0.7245141863822937,0.326130747795105,0.6714527010917664
pythia-70m,draw_1,low,2,2,3.6920337677001953,0.1575782597064972,3.7165415287017822
pythia-70m,draw_1,low,2,3,3.268376350402832,0.4146474003791809,3.3110220432281494
pythia-70m,draw_1,low,2,4,1.9065570831298828,0.6072835326194763,1.9827924966812134
pythia-70m,draw_1,low,2,5,3.911654233932495,0.19662036001682281,3.946720600128174
pythia-70m,draw_1,low,2,6,1.95263671875,0.6232193112373352,1.989548921585083
pythia-70m,draw_1,low,2,7,2.5604398250579834,0.17180141806602478,2.577998161315918
pythia-70m,draw_1,low,3,0,2.191274881362915,0.6863417625427246,2.2542927265167236
pythia-70m,draw_1,low,3,1,1.178418755531311,0.6869316101074219,1.1975605487823486
pythia-70m,draw_1,low,3,2,3.6894454956054688,0.23932062089443207,3.711822748184204
pythia-70m,draw_1,low,3,3,2.670766592025757,0.5827217698097229,2.646526575088501
pythia-70m,draw_1,low,3,4,3.031317710876465,0.33557233214378357,3.0626611709594727
pythia-70m,draw_1,low,3,5,0.8454393148422241,0.8056913018226624,0.5666035413742065
pythia-70m,draw_1,low,3,6,0.4998908042907715,0.6769068241119385,0.10315335541963577
pythia-70m,draw_1,low,3,7,3.2618305683135986,0.5648326873779297,3.397648572921753
pythia-70m,draw_1,low,4,0,2.4500863552093506,1.1115130186080933,2.644585132598877
pythia-70m,draw_1,low,4,1,0.581544816493988,0.5822875499725342,0.42747560143470764
pythia-70m,draw_1,low,4,2,0.9789158701896667,0.7729533314704895,0.8163501024246216
pythia-70m,draw_1,low,4,3,0.053556717932224274,0.17911869287490845,0.000591818243265152
pythia-70m,draw_1,low,4,4,1.2393763065338135,0.9842283129692078,1.1333094835281372
pythia-70m,draw_1,low,4,5,1.4899957180023193,0.9444014430046082,1.4402484893798828
pythia-70m,draw_1,low,4,6,0.8031468391418457,0.7744872570037842,0.6050122976303101
pythia-70m,draw_1,low,4,7,1.1054986715316772,0.8524611592292786,0.9745456576347351
pythia-70m,draw_1,low,5,0,0.7782981991767883,0.6392045021057129,0.752937912940979
pythia-70m,draw_1,low,5,1,0.7965919375419617,0.6868855953216553,0.7482919692993164
pythia-70m,draw_1,low,5,2,0.3357411026954651,0.4587494134902954,0.08361650258302689
pythia-70m,draw_1,low,5,3,0.1833471804857254,0.3381744921207428,0.00035826049861498177
pythia-70m,draw_1,low,5,4,0.12938041985034943,0.3331034481525421,9.246582521882374e-08
pythia-70m,draw_1,low,5,5,0.4114398956298828,0.6892063021659851,0.02715277671813965
pythia-70m,draw_1,low,5,6,0.117193304002285,0.28325551748275757,0.00011226018978049979
pythia-70m,draw_1,low,5,7,0.6759210824966431,0.6001020073890686,0.5566035509109497
pythia-70m,draw_1,medium,0,0,3.879774808883667,0.30368345975875854,3.961282968521118
pythia-70m,draw_1,medium,0,1,2.6073124408721924,0.36000022292137146,2.6206297874450684
pythia-70m,draw_1,medium,0,2,2.6090121269226074,0.6054587960243225,2.6420388221740723
pythia-70m,draw_1,medium,0,3,0.5129828453063965,0.1779465526342392,0.47685301303863525
pythia-70m,draw_1,medium,0,4,2.0259721279144287,0.6260707378387451,1.992491602897644
pythia-70m,draw_1,medium,0,5,1.713252067565918,0.5441017746925354,1.6983784437179565
pythia-70m,draw_1,medium,0,6,2.069718599319458,0.32921797037124634,2.0592944622039795
pythia-70m,draw_1,medium,0,7,2.1304569244384766,0.7414807081222534,2.1954972743988037
pythia-70m,draw_1,medium,1,0,3.7603461742401123,0.22397515177726746,3.8049569129943848
pythia-70m,draw_1,medium,1,1,2.1538965702056885,0.34683892130851746,2.159404754638672
pythia-70m,draw_1,medium,1,2,2.586461067199707,0.4840773046016693,2.663212299346924
pythia-70m,draw_1,medium,1,3,2.903923988342285,0.27962052822113037,2.933598518371582
pythia-70m,draw_1,medium,1,4,3.256680965423584,0.31157293915748596,3.2931551933288574
pythia-70m,draw_1,medium,1,5,3.2520339488983154,0.37030407786369324,3.3372247219085693
pythia-70m,draw_1,medium,1,6,3.4498953819274902,0.42883387207984924,3.5438971519470215
pythia-70m,draw_1,medium,1,7,1.8758786916732788,0.49164336919784546,1.8892738819122314
pythia-70m,draw_1,medium,2,0,3.1248366832733154,0.4106886088848114,3.172863721847534
pythia-70m,draw_1,medium,2,1,0.6608154773712158,0.29221734404563904,0.5871263742446899
pythia-70m,draw_1,medium,2,2,3.722731113433838,0.1546228677034378,3.727482557296753
pythia-70m,draw_1,medium,2,3,3.3255653381347656,0.38248932361602783,3.3918490409851074
pythia-70m,draw_1,medium,2,4,1.8645919561386108,0.6692771315574646,1.902129888534546
pythia-70m,draw_1,medium,2,5,3.9086670875549316,0.20300261676311493,3.9538357257843018
pythia-70m,draw_1,medium,2,6,1.8499709367752075,0.554115355014801,1.8238469362258911
pythia-70m,draw_1,medium,2,7,2.5694682598114014,0.18529833853244781,2.5786664485931396
pythia-70m,draw_1,medium,3,0,2.050645351409912,0.6355210542678833,2.1319682598114014
pythia-70m,draw_1,medium,3,1,1.1194125413894653,0.711423397064209,1.1148951053619385
pythia-70m,draw_1,medium,3,2,3.7348835468292236,0.219340980052948,3.7424063682556152
pythia-70m,draw_1,medium,3,3,2.649014949798584,0.605383574962616,2.639437437057495
pythia-70m,draw_1,medium,3,4,3.073474407196045,0.37009191513061523,3.08581805229187
pythia-70m,draw_1,medium,3,5,0.7273287177085876,0.789600670337677,0.30472591519355774
pythia-70m,draw_1,medium,3,6,0.4725598096847534,0.6781222224235535,0.11225350201129913
pythia-70m,draw_1,medium,3,7,3.2174630165100098,0.5176733732223511,3.3409550189971924
pythia-70m,draw_1,medium,4,0,2.0969221591949463,1.2362483739852905,2.2309372425079346
pythia-70m,draw_1,medium,4,1,0.5892078876495361,0.5986636281013489,0.4575388729572296
pythia-70m,draw_1,medium,4,2,1.0061638355255127,0.7596820592880249,0.8657481074333191
pythia-70m,draw_1,medium,4,3,0.044407084584236145,0.1940302550792694,0.0005502118729054928
pythia-70m,draw_1,medium,4,4,1.095422387123108,0.8929327130317688,0.9518618583679199
pythia-70m,draw_1,medium,4,5,1.3129514455795288,0.97725909948349,1.234947919845581
pythia-70m,draw_1,medium,4,6,0.805858314037323,0.7001050114631653,0.6864076256752014
pythia-70m,draw_1,medium,4,7,0.9327455163002014,0.8143696784973145,0.7724931240081787
pythia-70m,draw_1,medium,5,0,0.8337772488594055,0.6667813062667847,0.8323030471801758
pythia-70m,draw_1,medium,5,1,0.6336775422096252,0.6513936519622803,0.40034905076026917
pythia-70m,draw_1,medium,5,2,0.2807864248752594,0.49266502261161804,0.009763570502400398
pythia-70m,draw_1,medium,5,3,0.16990818083286285,0.33999451994895935,0.0011465236311778426
pythia-70m,draw_1,medium,5,4,0.14356209337711334,0.3616078794002533,1.2043356036883779e-06
pythia-70m,draw_1,medium,5,5,0.43846026062965393,0.7118732333183289,0.0206124447286129
pythia-70m,draw_1,medium,5,6,0.15857771039009094,0.33742037415504456,0.00031068516545929015
pythia-70m,draw_1,medium,5,7,0.649930477142334,0.5970697402954102,0.5003833770751953
pythia-70m,draw_1,high,0,0,3.835721492767334,0.3213741183280945,3.9193687438964844
pythia-70m,draw_1,high,0,1,2.5898685455322266,0.3208281993865967,2.6104736328125
pythia-70m,draw_1,high,0,2,2.359574317932129,0.6212871074676514,2.4457645416259766
pythia-70m,draw_1,high,0,3,0.6358572244644165,0.16336581110954285,0.6152462363243103
pythia-70m,draw_1,high,0,4,2.141677141189575,0.5383085012435913,2.1942203044891357
pythia-70m,draw_1,high,0,5,1.8279632329940796,0.6400080323219299,1.7468987703323364
pythia-70m,draw_1,high,0,6,2.069877862930298,0.3550701141357422,2.0420401096343994
pythia-70m,draw_1,high,0,7,2.1739439964294434,0.6197099685668945,2.179487705230713
pythia-70m,draw_1,high,1,0,3.6446971893310547,0.26800239086151123,3.6959381103515625
pythia-70m,draw_1,high,1,1,2.1692185401916504,0.36030739545822144,2.184643507003784
pythia-70m,draw_1,high,1,2,2.423814535140991,0.554638683795929,2.4763894081115723
pythia-70m,draw_1,high,1,3,2.981019973754883,0.27989664673805237,3.001288414001465
pythia-70m,draw_1,high,1,4,3.304757595062256,0.28106310963630676,3.334529399871826
