model,layer,head,n_unique_roles,majority_role,majority_fraction,is_stable
pythia-70m,0,0,1,diffuse,1.0,True
pythia-70m,0,1,1,previous_token,1.0,True
pythia-70m,0,2,1,bos_sink,1.0,True
pythia-70m,0,3,1,induction,1.0,True
pythia-70m,0,4,3,bos_sink,0.4,False
pythia-70m,0,5,1,induction,1.0,True
pythia-70m,0,6,1,bos_sink,1.0,True
pythia-70m,0,7,1,previous_token,1.0,True
pythia-70m,1,0,2,bos_sink,0.6,False
pythia-70m,1,1,1,previous_token,1.0,True
pythia-70m,1,2,1,previous_token,1.0,True
pythia-70m,1,3,1,previous_token,1.0,True
pythia-70m,1,4,1,bos_sink,1.0,True
pythia-70m,1,5,1,diffuse,1.0,True
pythia-70m,1,6,1,diffuse,1.0,True
pythia-70m,1,7,1,bos_sink,1.0,True
pythia-70m,2,0,1,diffuse,1.0,True
pythia-70m,2,1,1,previous_token,1.0,True
pythia-70m,2,2,1,diffuse,1.0,True
pythia-70m,2,3,1,diffuse,1.0,True
pythia-70m,2,4,1,previous_token,1.0,True
pythia-70m,2,5,1,diffuse,1.0,True
pythia-70m,2,6,1,induction,1.0,True
pythia-70m,2,7,2,previous_token,0.6,False
pythia-70m,3,0,2,bos_sink,0.8,False
pythia-70m,3,1,2,diffuse,0.8,False
pythia-70m,3,2,1,diffuse,1.0,True
pythia-70m,3,3,1,bos_sink,1.0,True
pythia-70m,3,4,2,diffuse,0.6,False
pythia-70m,3,5,1,diffuse,1.0,True
pythia-70m,3,6,1,diffuse,1.0,True
pythia-70m,3,7,2,diffuse,0.8,False
pythia-70m,4,0,2,bos_sink,0.8,False
pythia-70m,4,1,1,bos_sink,1.0,True
pythia-70m,4,2,2,bos_sink,0.6,False
pythia-70m,4,3,1,bos_sink,1.0,True
pythia-70m,4,4,1,bos_sink,1.0,True
pythia-70m,4,5,2,diffuse,0.6,False
pythia-70m,4,6,1,bos_sink,1.0,True
pythia-70m,4,7,1,diffuse,1.0,True
pythia-70m,5,0,1,bos_sink,1.0,True
pythia-70m,5,1,1,previous_token,1.0,True
pythia-70m,5,2,1,diffuse,1.0,True
pythia-70m,5,3,2,diffuse,0.6,False
pythia-70m,5,4,1,bos_sink,1.0,True
pythia-70m,5,5,1,bos_sink,1.0,True
pythia-70m,5,6,1,bos_sink,1.0,True
pythia-70m,5,7,1,previous_token,1.0,True
pythia-160m,0,0,2,previous_token,0.8,False
pythia-160m,0,1,1,bos_sink,1.0,True
pythia-160m,0,2,1,diffuse,1.0,True
pythia-160m,0,3,1,diffuse,1.0,True
pythia-160m,0,4,1,previous_token,1.0,True
pythia-160m,0,5,1,bos_sink,1.0,True
pythia-160m,0,6,1,bos_sink,1.0,True
pythia-160m,0,7,1,induction,1.0,True
pythia-160m,0,8,1,previous_token,1.0,True
pythia-160m,0,9,1,diffuse,1.0,True
pythia-160m,0,10,1,diffuse,1.0,True
pythia-160m,0,11,1,bos_sink,1.0,True
pythia-160m,1,0,1,previous_token,1.0,True
pythia-160m,1,1,1,bos_sink,1.0,True
pythia-160m,1,2,1,previous_token,1.0,True
pythia-160m,1,3,1,diffuse,1.0,True
pythia-160m,1,4,1,bos_sink,1.0,True
pythia-160m,1,5,1,diffuse,1.0,True
pythia-160m,1,6,1,induction,1.0,True
pythia-160m,1,7,2,previous_token,0.8,False
pythia-160m,1,8,1,bos_sink,1.0,True
pythia-160m,1,9,1,bos_sink,1.0,True
pythia-160m,1,10,1,induction,1.0,True
pythia-160m,1,11,1,diffuse,1.0,True
pythia-160m,2,0,1,bos_sink,1.0,True
pythia-160m,2,1,2,bos_sink,0.6,False
pythia-160m,2,2,1,bos_sink,1.0,True
pythia-160m,2,3,1,bos_sink,1.0,True
pythia-160m,2,4,2,bos_sink,0.6,False
pythia-160m,2,5,1,bos_sink,1.0,True
pythia-160m,2,6,1,bos_sink,1.0,True
pythia-160m,2,7,1,diffuse,1.0,True
