model,draw,band,layer,head,entropy_mean,entropy_std,entropy_median
pythia-70m,draw_1,low,0,0,3.948561668395996,0.268940806388855,4.023587703704834
pythia-70m,draw_1,low,0,1,2.6415855884552,0.3959238529205322,2.6323606967926025
pythia-70m,draw_1,low,0,2,2.6087846755981445,0.6760615110397339,2.716952323913574
pythia-70m,draw_1,low,0,3,0.46509748697280884,0.20330840349197388,0.42375850677490234
pythia-70m,draw_1,low,0,4,2.009572982788086,0.60003262758255,2.0667898654937744
pythia-70m,draw_1,low,0,5,1.8367633819580078,0.7181833386421204,1.8437411785125732
pythia-70m,draw_1,low,0,6,2.041454792022705,0.36811596155166626,2.05745530128479
pythia-70m,draw_1,low,0,7,2.2918591499328613,0.7052394151687622,2.4610366821289062
pythia-70m,draw_1,low,1,0,3.7331037521362305,0.2857365310192108,3.803816795349121
pythia-70m,draw_1,low,1,1,2.1061325073242188,0.32572218775749207,2.1043624877929688
pythia-70m,draw_1,low,1,2,2.6177451610565186,0.4543089270591736,2.6813533306121826
pythia-70m,draw_1,low,1,3,2.9064583778381348,0.24707797169685364,2.923271894454956
pythia-70m,draw_1,low,1,4,3.2166504859924316,0.30845674872398376,3.2477009296417236
pythia-70m,draw_1,low,1,5,3.2707161903381348,0.34186458587646484,3.3322837352752686
pythia-70m,draw_1,low,1,6,3.3032171726226807,0.47720152139663696,3.3982093334198
pythia-70m,draw_1,low,1,7,1.7241359949111938,0.4835220277309418,1.7646636962890625
pythia-70m,draw_1,low,2,0,3.2005772590637207,0.341993123292923,3.2388014793395996
pythia-70m,draw_1,low,2,1,0.7258422374725342,0.3247208595275879,0.6660057306289673
pythia-70m,draw_1,low,2,2,3.681504964828491,0.16206975281238556,3.710993766784668
pythia-70m,draw_1,low,2,3,3.2687137126922607,0.4079848527908325,3.3351526260375977
pythia-70m,draw_1,low,2,4,1.921343207359314,0.602372944355011,1.9843249320983887
pythia-70m,draw_1,low,2,5,3.91672420501709,0.19616498053073883,3.93922758102417
pythia-70m,draw_1,low,2,6,1.9470831155776978,0.6126956939697266,1.9795199632644653
pythia-70m,draw_1,low,2,7,2.566652536392212,0.17091991007328033,2.583066701889038
pythia-70m,draw_1,low,3,0,2.1964657306671143,0.6835453510284424,2.311222791671753
pythia-70m,draw_1,low,3,1,1.1872124671936035,0.6867752075195312,1.24968683719635
pythia-70m,draw_1,low,3,2,3.708853006362915,0.23621875047683716,3.7242796421051025
pythia-70m,draw_1,low,3,3,2.6882705688476562,0.5859917402267456,2.6794886589050293
pythia-70m,draw_1,low,3,4,3.0535330772399902,0.3268998861312866,3.0759098529815674
pythia-70m,draw_1,low,3,5,0.8558422923088074,0.8071773052215576,0.6348704099655151
pythia-70m,draw_1,low,3,6,0.5100313425064087,0.6894423365592957,0.10261668264865875
pythia-70m,draw_1,low,3,7,3.257112741470337,0.5579022169113159,3.4045426845550537
pythia-70m,draw_1,low,4,0,2.465109348297119,1.1088041067123413,2.6700944900512695
pythia-70m,draw_1,low,4,1,0.5800489187240601,0.5846818089485168,0.407926082611084
pythia-70m,draw_1,low,4,2,1.0036752223968506,0.768576979637146,0.9299713373184204
pythia-70m,draw_1,low,4,3,0.058198507875204086,0.17769333720207214,0.0007040041382424533
pythia-70m,draw_1,low,4,4,1.2628029584884644,0.9692031741142273,1.2270467281341553
pythia-70m,draw_1,low,4,5,1.501173496246338,0.9490677714347839,1.5399426221847534
pythia-70m,draw_1,low,4,6,0.831663966178894,0.785987138748169,0.68072110414505
pythia-70m,draw_1,low,4,7,1.109645962715149,0.8455550074577332,0.9578396677970886
pythia-70m,draw_1,low,5,0,0.7887038588523865,0.6443709135055542,0.7729290723800659
pythia-70m,draw_1,low,5,1,0.7844436168670654,0.6916806101799011,0.6887869238853455
pythia-70m,draw_1,low,5,2,0.33189988136291504,0.4749121367931366,0.05630191043019295
pythia-70m,draw_1,low,5,3,0.210898295044899,0.3703569769859314,0.00022184796398505569
pythia-70m,draw_1,low,5,4,0.13528236746788025,0.35559195280075073,9.010510382267967e-08
pythia-70m,draw_1,low,5,5,0.3981699049472809,0.6823790669441223,0.024242982268333435
pythia-70m,draw_1,low,5,6,0.13444750010967255,0.3019616901874542,0.0004272553778719157
pythia-70m,draw_1,low,5,7,0.6791906952857971,0.5988118648529053,0.538533091545105
pythia-70m,draw_1,medium,0,0,3.879774808883667,0.30368345975875854,3.961282968521118
pythia-70m,draw_1,medium,0,1,2.6073124408721924,0.36000022292137146,2.6206297874450684
pythia-70m,draw_1,medium,0,2,2.6090121269226074,0.6054587960243225,2.6420388221740723
pythia-70m,draw_1,medium,0,3,0.5129828453063965,0.1779465526342392,0.47685301303863525
pythia-70m,draw_1,medium,0,4,2.0259721279144287,0.6260707378387451,1.992491602897644
pythia-70m,draw_1,medium,0,5,1.713252067565918,0.5441017746925354,1.6983784437179565
pythia-70m,draw_1,medium,0,6,2.069718599319458,0.32921797037124634,2.0592944622039795
pythia-70m,draw_1,medium,0,7,2.1304569244384766,0.7414807081222534,2.1954972743988037
pythia-70m,draw_1,medium,1,0,3.7603461742401123,0.22397515177726746,3.8049569129943848
pythia-70m,draw_1,medium,1,1,2.1538965702056885,0.34683892130851746,2.159404754638672
pythia-70m,draw_1,medium,1,2,2.586461067199707,0.4840773046016693,2.663212299346924
pythia-70m,draw_1,medium,1,3,2.903923988342285,0.27962052822113037,2.933598518371582
pythia-70m,draw_1,medium,1,4,3.256680965423584,0.31157293915748596,3.2931551933288574
pythia-70m,draw_1,medium,1,5,3.2520339488983154,0.37030407786369324,3.3372247219085693
pythia-70m,draw_1,medium,1,6,3.4498953819274902,0.42883387207984924,3.5438971519470215
pythia-70m,draw_1,medium,1,7,1.8758786916732788,0.49164336919784546,1.8892738819122314
pythia-70m,draw_1,medium,2,0,3.1432154178619385,0.404361754655838,3.195136308670044
pythia-70m,draw_1,medium,2,1,0.6672677993774414,0.2926595211029053,0.5929290056228638
pythia-70m,draw_1,medium,2,2,3.7216312885284424,0.1530563235282898,3.73640513420105
pythia-70m,draw_1,medium,2,3,3.328894853591919,0.37595313787460327,3.384626865386963
pythia-70m,draw_1,medium,2,4,1.8689277172088623,0.6671437621116638,1.8960835933685303
pythia-70m,draw_1,medium,2,5,3.915570020675659,0.2010977864265442,3.95387601852417
pythia-70m,draw_1,medium,2,6,1.846005916595459,0.5470854043960571,1.8488363027572632
pythia-70m,draw_1,medium,2,7,2.5736687183380127,0.18660791218280792,2.582024335861206
pythia-70m,draw_1,medium,3,0,2.053391695022583,0.6401228308677673,2.1234922409057617
pythia-70m,draw_1,medium,3,1,1.1364414691925049,0.712785005569458,1.1160001754760742
pythia-70m,draw_1,medium,3,2,3.74497127532959,0.21803472936153412,3.750868082046509
pythia-70m,draw_1,medium,3,3,2.664147138595581,0.6036279201507568,2.6490869522094727
pythia-70m,draw_1,medium,3,4,3.0859146118164062,0.36242416501045227,3.0861473083496094
pythia-70m,draw_1,medium,3,5,0.7286020517349243,0.7908163070678711,0.2852277457714081
pythia-70m,draw_1,medium,3,6,0.4665432274341583,0.6794003248214722,0.09828675538301468
pythia-70m,draw_1,medium,3,7,3.2152745723724365,0.5118346214294434,3.3439841270446777
pythia-70m,draw_1,medium,4,0,2.1271073818206787,1.2218828201293945,2.2783422470092773
pythia-70m,draw_1,medium,4,1,0.5982146263122559,0.5965396761894226,0.4985864460468292
pythia-70m,draw_1,medium,4,2,1.0458130836486816,0.7790777683258057,0.9927835464477539
pythia-70m,draw_1,medium,4,3,0.04342713579535484,0.18841925263404846,0.0006931335083208978
pythia-70m,draw_1,medium,4,4,1.1286174058914185,0.8957729935646057,1.0010091066360474
pythia-70m,draw_1,medium,4,5,1.325145959854126,0.9826012253761292,1.2127211093902588
pythia-70m,draw_1,medium,4,6,0.8222706913948059,0.6955567002296448,0.7057901620864868
pythia-70m,draw_1,medium,4,7,0.9455634951591492,0.8152782320976257,0.8659883737564087
pythia-70m,draw_1,medium,5,0,0.8272930383682251,0.6645300388336182,0.7963442802429199
pythia-70m,draw_1,medium,5,1,0.6390045881271362,0.6474167704582214,0.4156418442726135
pythia-70m,draw_1,medium,5,2,0.28477227687835693,0.49164295196533203,0.005792026408016682
pythia-70m,draw_1,medium,5,3,0.18425896763801575,0.3506031632423401,0.0011105741141363978
pythia-70m,draw_1,medium,5,4,0.14418697357177734,0.3691234588623047,6.015675353410188e-07
pythia-70m,draw_1,medium,5,5,0.4385738670825958,0.7225980758666992,0.01979651115834713
pythia-70m,draw_1,medium,5,6,0.1535329818725586,0.314199835062027,0.0007551624439656734
pythia-70m,draw_1,medium,5,7,0.6572023034095764,0.5874430537223816,0.5461706519126892
pythia-70m,draw_1,high,0,0,3.835721492767334,0.3213741183280945,3.9193687438964844
pythia-70m,draw_1,high,0,1,2.5898685455322266,0.3208281993865967,2.6104736328125
pythia-70m,draw_1,high,0,2,2.359574317932129,0.6212871074676514,2.4457645416259766
pythia-70m,draw_1,high,0,3,0.6358572244644165,0.16336581110954285,0.6152462363243103
pythia-70m,draw_1,high,0,4,2.141677141189575,0.5383085012435913,2.1942203044891357
pythia-70m,draw_1,high,0,5,1.8279632329940796,0.6400080323219299,1.7468987703323364
pythia-70m,draw_1,high,0,6,2.069877862930298,0.3550701141357422,2.0420401096343994
pythia-70m,draw_1,high,0,7,2.1739439964294434,0.6197099685668945,2.179487705230713
pythia-70m,draw_1,high,1,0,3.6446971893310547,0.26800239086151123,3.6959381103515625
pythia-70m,draw_1,high,1,1,2.1692185401916504,0.36030739545822144,2.184643507003784
pythia-70m,draw_1,high,1,2,2.423814535140991,0.554638683795929,2.4763894081115723
pythia-70m,draw_1,high,1,3,2.981019973754883,0.27989664673805237,3.001288414001465
pythia-70m,draw_1,high,1,4,3.304757595062256,0.28106310963630676,3.334529399871826
