model,layer,head,role,bos_fraction,self_fraction,prev_fraction,source_fraction,target_fraction,repeat_fraction,induction_score,distractor_fraction,entropy
pythia-70m,0,0,diffuse,0.14625073969364166,0.041884083300828934,0.0795370414853096,0.09779989719390869,0.026905912905931473,0.335958331823349,0.013923333026468754,0.3930848240852356,4.2136664390563965
pythia-70m,0,1,previous_token,0.0007096768240444362,0.20738719403743744,0.41443756222724915,0.02003045193850994,0.003150012344121933,0.8576094508171082,0.0009142517228610814,0.118500255048275,2.6698546409606934
pythia-70m,0,2,bos_sink,0.5478950142860413,0.049191366881132126,0.016222629696130753,0.12126410007476807,0.01745426096022129,0.12693344056606293,0.06941686570644379,0.1864531934261322,2.8937981128692627
pythia-70m,0,3,induction,0.025845598429441452,0.10587327182292938,5.182645327295177e-05,0.8655315041542053,0.0003911245730705559,0.10625705868005753,0.8648471832275391,0.0019748208578675985,0.7024359703063965
pythia-70m,0,4,bos_sink,0.3126256465911865,0.22009848058223724,0.1897151619195938,0.020871534943580627,0.00438879057765007,0.5530543327331543,0.002021108753979206,0.10905972123146057,2.939143419265747
pythia-70m,0,5,induction,0.2267492115497589,0.11101087927818298,0.02020520158112049,0.49739763140678406,0.005201054271310568,0.1785411536693573,0.47777843475341797,0.09211105108261108,2.5379436016082764
pythia-70m,0,6,bos_sink,0.7009181976318359,0.00869310088455677,0.02043219283223152,0.050109174102544785,0.012531306594610214,0.08620880544185638,0.005391289945691824,0.15023256838321686,2.177990674972534
pythia-70m,0,7,previous_token,0.01375900860875845,0.23430441319942474,0.2910385727882385,0.03777903690934181,0.005909893661737442,0.758777379989624,0.0025646735448390245,0.18377459049224854,3.205090284347534
pythia-70m,1,0,bos_sink,0.3029289245605469,0.041913095861673355,0.05271894484758377,0.13389268517494202,0.03430251032114029,0.20571301877498627,0.02010096050798893,0.32316261529922485,3.925347089767456
pythia-70m,1,1,previous_token,0.3182046115398407,0.2705998420715332,0.24733732640743256,0.010400643572211266,0.0010434697614982724,0.6245230436325073,0.0006087670917622745,0.04582827910780907,2.4211978912353516
pythia-70m,1,2,previous_token,0.008460639975965023,0.3672737777233124,0.2913481891155243,0.07439598441123962,0.003556686919182539,0.7899332046508789,0.002720239106565714,0.123653344810009,2.809842109680176
pythia-70m,1,3,previous_token,0.0032392346765846014,0.1364831030368805,0.2764572203159332,0.01039927452802658,0.0039598895236849785,0.8045186996459961,0.0014538818504661322,0.1778828203678131,3.088754892349243
pythia-70m,1,4,bos_sink,0.3789958655834198,0.018798327073454857,0.01422064658254385,0.21020784974098206,0.035929225385189056,0.07931952178478241,0.053218990564346313,0.2955472767353058,3.633063793182373
pythia-70m,1,5,diffuse,0.20587891340255737,0.18892168998718262,0.1515401005744934,0.06776928156614304,0.010716129094362259,0.5373469591140747,0.01341189444065094,0.178288534283638,3.561414957046509
pythia-70m,1,6,diffuse,0.18683579564094543,0.1581219583749771,0.07091261446475983,0.1715220957994461,0.028631778433918953,0.3363800048828125,0.0836920440196991,0.27663031220436096,4.012062072753906
pythia-70m,1,7,bos_sink,0.640285849571228,0.12353148311376572,0.07362538576126099,0.02792441099882126,0.004426255356520414,0.25788772106170654,0.005848228931427002,0.0694756880402565,2.1205344200134277
pythia-70m,2,0,diffuse,0.2479027509689331,0.07934187352657318,0.10392875969409943,0.05450476333498955,0.014123464934527874,0.4030908942222595,0.009416595101356506,0.28037789463996887,3.795271158218384
pythia-70m,2,1,previous_token,0.00031793341622687876,0.05534213036298752,0.8851756453514099,0.0074050165712833405,2.1023230146965943e-05,0.9677768349647522,8.458724209958746e-08,0.024479065090417862,0.7542774677276611
pythia-70m,2,2,diffuse,0.18981128931045532,0.03895646333694458,0.0461801141500473,0.03409744054079056,0.012228967621922493,0.3187175989151001,0.010833101347088814,0.4451448321342468,3.9145774841308594
pythia-70m,2,3,diffuse,0.053401656448841095,0.22367097437381744,0.1902981698513031,0.039413273334503174,0.01035924069583416,0.640168309211731,0.008728580549359322,0.2566576302051544,3.6315484046936035
pythia-70m,2,4,previous_token,0.0020518272649496794,0.18815402686595917,0.27059993147850037,0.0014643718022853136,0.0009089835220947862,0.8626437783241272,0.0005456143990159035,0.1329309642314911,2.854309558868408
pythia-70m,2,5,diffuse,0.20091436803340912,0.036798667162656784,0.03472909703850746,0.11305345594882965,0.04617103934288025,0.16834589838981628,0.039341818541288376,0.47151532769203186,4.174288272857666
pythia-70m,2,6,induction,0.2062385082244873,0.05969685688614845,0.005869259126484394,0.6229234933853149,0.009756685234606266,0.08349314332008362,0.6078222393989563,0.0775880515575409,2.046618700027466
pythia-70m,2,7,previous_token,0.145906463265419,0.07420888543128967,0.20475009083747864,0.0014727867674082518,0.00031226425198838115,0.7781016826629639,0.0001887650287244469,0.07420669496059418,2.7983996868133545
pythia-70m,3,0,diffuse,0.2902335822582245,0.063824862241745,0.04318864271044731,0.012619961984455585,0.2787598967552185,0.22009995579719543,0.007985463365912437,0.19828639924526215,3.227296829223633
pythia-70m,3,1,diffuse,0.27610528469085693,0.035102520138025284,0.017791111022233963,0.009707312099635601,0.5769916772842407,0.09164503216743469,0.007279342506080866,0.045550186187028885,1.9155843257904053
pythia-70m,3,2,diffuse,0.15008454024791718,0.07314067333936691,0.08686181902885437,0.0959676206111908,0.017092272639274597,0.36827459931373596,0.012579711154103279,0.3685811758041382,4.137634754180908
pythia-70m,3,3,bos_sink,0.5026487112045288,0.017287591472268105,0.014360785484313965,0.08286161720752716,0.15210431814193726,0.07203654199838638,0.024558406323194504,0.19034907221794128,2.918891191482544
pythia-70m,3,4,previous_token,0.12025512754917145,0.13240225613117218,0.20592021942138672,0.02574758790433407,0.004267402458935976,0.6648871302604675,0.0032619379926472902,0.18484273552894592,3.4381372928619385
pythia-70m,3,5,diffuse,0.16119569540023804,0.030727943405508995,0.011260977946221828,0.0035825264640152454,0.7409220337867737,0.07020989805459976,0.0018394739599898458,0.02408992126584053,1.404648780822754
pythia-70m,3,6,diffuse,0.11242244392633438,0.01788538694381714,0.005199231673032045,0.003966201096773148,0.8342651724815369,0.03407499939203262,0.0022764524910598993,0.015271713957190514,0.9826853275299072
pythia-70m,3,7,diffuse,0.24859575927257538,0.0552946962416172,0.07886900752782822,0.03775075078010559,0.015835875645279884,0.34246179461479187,0.00849690567702055,0.35535579919815063,3.832162618637085
pythia-70m,4,0,bos_sink,0.3223140239715576,0.003857269184663892,0.009484361857175827,0.062316421419382095,0.04897721856832504,0.08558210730552673,0.018652822822332382,0.4808105528354645,3.699545383453369
pythia-70m,4,1,bos_sink,0.8653373718261719,0.0164495762437582,0.0162541214376688,0.0015258388593792915,0.05379210785031319,0.06330057233572006,0.0006632596487179399,0.01604481227695942,0.966576099395752
pythia-70m,4,2,bos_sink,0.4417508542537689,0.003622177056968212,0.009648822247982025,0.049728307873010635,0.16546069085597992,0.05889754369854927,0.022075120359659195,0.2841622233390808,3.05267596244812
pythia-70m,4,3,bos_sink,0.9117185473442078,0.000541872635949403,0.0018955273553729057,0.00416630320250988,0.02358994632959366,0.011043695732951164,0.0018050962826237082,0.04948246851563454,0.7568057775497437
pythia-70m,4,4,bos_sink,0.589527428150177,0.003685594303533435,0.0031382383313030005,0.050921957939863205,0.14696213603019714,0.03164805471897125,0.015225928276777267,0.18094030022621155,2.429353713989258
