model,band,draw,layer,head,base_induction_score,circuit_induction_score,delta_induction,in_base_induction,in_circuit_induction
pythia-70m,low,draw_1,2,6,0.5221783518791199,0.5189927816390991,-0.003185570240020752,True,True
pythia-70m,low,draw_1,0,5,0.5374979972839355,0.5374979972839355,0.0,True,True
pythia-70m,low,draw_1,0,3,0.9174106121063232,0.9174106121063232,0.0,True,True
pythia-70m,low,draw_2,2,6,0.5449117422103882,0.5373140573501587,-0.007597684860229492,True,True
pythia-70m,low,draw_2,0,5,0.5335785150527954,0.5335785150527954,0.0,True,True
pythia-70m,low,draw_2,0,3,0.9142940044403076,0.9142940044403076,0.0,True,True
pythia-70m,low,draw_3,2,6,0.49482589960098267,0.48847705125808716,-0.006348848342895508,True,True
pythia-70m,low,draw_3,0,5,0.5484194159507751,0.5484194159507751,0.0,True,True
pythia-70m,low,draw_3,0,3,0.9176424145698547,0.9176424145698547,0.0,True,True
pythia-70m,medium,draw_1,2,6,0.5538175702095032,0.5565416216850281,0.0027240514755249023,True,True
pythia-70m,medium,draw_1,0,5,0.5661737322807312,0.5661737322807312,0.0,True,True
pythia-70m,medium,draw_1,0,3,0.901508092880249,0.901508092880249,0.0,True,True
pythia-70m,medium,draw_2,2,6,0.5459213852882385,0.5459213852882385,0.0,True,True
pythia-70m,medium,draw_2,0,5,0.5717868804931641,0.5717868804931641,0.0,True,True
pythia-70m,medium,draw_2,0,3,0.9011184573173523,0.9011184573173523,0.0,True,True
pythia-70m,medium,draw_3,2,6,0.5265591144561768,0.5265591144561768,0.0,True,True
pythia-70m,medium,draw_3,0,5,0.5607339143753052,0.5607339143753052,0.0,True,True
pythia-70m,medium,draw_3,0,3,0.8956280946731567,0.8956280946731567,0.0,True,True
pythia-70m,high,draw_1,2,6,0.5867531895637512,0.5945693850517273,0.007816195487976074,True,True
pythia-70m,high,draw_1,0,5,0.4880421757698059,0.4880421757698059,0.0,True,True
pythia-70m,high,draw_1,0,3,0.8664429783821106,0.8664429783821106,0.0,True,True
pythia-70m,high,draw_2,2,6,0.6090903282165527,0.6090903282165527,0.0,True,True
pythia-70m,high,draw_2,0,5,0.5127530097961426,0.5127530097961426,0.0,True,True
pythia-70m,high,draw_2,0,3,0.8654757142066956,0.8654757142066956,0.0,True,True
