model,band,draw,layer,head,js_divergence
pythia-70m,low,draw_1,0,0,0.0
pythia-70m,low,draw_1,0,1,0.0
pythia-70m,low,draw_1,0,2,0.0
pythia-70m,low,draw_1,0,3,0.0
pythia-70m,low,draw_1,0,4,0.0
pythia-70m,low,draw_1,0,5,0.0
pythia-70m,low,draw_1,0,6,0.0
pythia-70m,low,draw_1,0,7,0.0
pythia-70m,low,draw_1,1,0,0.0
pythia-70m,low,draw_1,1,1,0.0
pythia-70m,low,draw_1,1,2,0.0
pythia-70m,low,draw_1,1,3,0.0
pythia-70m,low,draw_1,1,4,0.0
pythia-70m,low,draw_1,1,5,0.0
pythia-70m,low,draw_1,1,6,0.0
pythia-70m,low,draw_1,1,7,0.0
pythia-70m,low,draw_1,2,0,0.004638735596633222
pythia-70m,low,draw_1,2,1,0.000960862724638726
pythia-70m,low,draw_1,2,2,0.005889546675728788
pythia-70m,low,draw_1,2,3,0.004336144752747176
pythia-70m,low,draw_1,2,4,0.003973288761880983
pythia-70m,low,draw_1,2,5,0.005656817263412789
pythia-70m,low,draw_1,2,6,0.005593151487315747
pythia-70m,low,draw_1,2,7,0.0037190187764308113
pythia-70m,low,draw_1,3,0,0.009434229911260006
pythia-70m,low,draw_1,3,1,0.00970077702158116
pythia-70m,low,draw_1,3,2,0.00783019000216359
pythia-70m,low,draw_1,3,3,0.0037970573746724857
pythia-70m,low,draw_1,3,4,0.003910561506762027
pythia-70m,low,draw_1,3,5,0.009266468154724006
pythia-70m,low,draw_1,3,6,0.006036048775132502
pythia-70m,low,draw_1,3,7,0.0027736679295396636
pythia-70m,low,draw_1,4,0,0.012229768320198306
pythia-70m,low,draw_1,4,1,0.006062715777954985
pythia-70m,low,draw_1,4,2,0.018620921018864433
pythia-70m,low,draw_1,4,3,0.03148260570694674
pythia-70m,low,draw_1,4,4,0.021566537327049388
pythia-70m,low,draw_1,4,5,0.013244488271502777
pythia-70m,low,draw_1,4,6,0.020900106307718592
pythia-70m,low,draw_1,4,7,0.01952975982703286
pythia-70m,low,draw_1,5,0,0.017836241924822555
pythia-70m,low,draw_1,5,1,0.012393669625387233
pythia-70m,low,draw_1,5,2,0.01177525803932187
pythia-70m,low,draw_1,5,3,0.017923427259724768
pythia-70m,low,draw_1,5,4,0.018192503630537798
pythia-70m,low,draw_1,5,5,0.008687451050673204
pythia-70m,low,draw_1,5,6,0.031017641960101417
pythia-70m,low,draw_1,5,7,0.00635480249223834
pythia-70m,low,draw_2,0,0,0.0
pythia-70m,low,draw_2,0,1,0.0
pythia-70m,low,draw_2,0,2,0.0
pythia-70m,low,draw_2,0,3,0.0
pythia-70m,low,draw_2,0,4,0.0
pythia-70m,low,draw_2,0,5,0.0
pythia-70m,low,draw_2,0,6,0.0
pythia-70m,low,draw_2,0,7,0.0
pythia-70m,low,draw_2,1,0,0.0
pythia-70m,low,draw_2,1,1,0.0
pythia-70m,low,draw_2,1,2,0.0
pythia-70m,low,draw_2,1,3,0.0
pythia-70m,low,draw_2,1,4,0.0
pythia-70m,low,draw_2,1,5,0.0
pythia-70m,low,draw_2,1,6,0.0
pythia-70m,low,draw_2,1,7,0.0
pythia-70m,low,draw_2,2,0,0.004371023883210075
pythia-70m,low,draw_2,2,1,0.001246022848725061
pythia-70m,low,draw_2,2,2,0.005453723140453305
pythia-70m,low,draw_2,2,3,0.0031218443897085973
pythia-70m,low,draw_2,2,4,0.0032739882352989507
pythia-70m,low,draw_2,2,5,0.005928465436368083
pythia-70m,low,draw_2,2,6,0.006559742148674289
pythia-70m,low,draw_2,2,7,0.0029265764725683037
pythia-70m,low,draw_2,3,0,0.0075661382953903815
pythia-70m,low,draw_2,3,1,0.004576236391459851
pythia-70m,low,draw_2,3,2,0.007591550428013222
pythia-70m,low,draw_2,3,3,0.003323866803553574
pythia-70m,low,draw_2,3,4,0.0031770354122014318
pythia-70m,low,draw_2,3,5,0.005729754024528513
pythia-70m,low,draw_2,3,6,0.004689282460862716
pythia-70m,low,draw_2,3,7,0.00239035180984512
pythia-70m,low,draw_2,4,0,0.010631320034940469
pythia-70m,low,draw_2,4,1,0.007324450459391379
pythia-70m,low,draw_2,4,2,0.020110790210019575
pythia-70m,low,draw_2,4,3,0.02840335566908846
pythia-70m,low,draw_2,4,4,0.021361558083702693
pythia-70m,low,draw_2,4,5,0.013508071401928216
pythia-70m,low,draw_2,4,6,0.02142493195880437
pythia-70m,low,draw_2,4,7,0.012545528469731164
pythia-70m,low,draw_2,5,0,0.011317005228690447
pythia-70m,low,draw_2,5,1,0.012219696627012949
pythia-70m,low,draw_2,5,2,0.011884371435364294
pythia-70m,low,draw_2,5,3,0.023012176352415734
pythia-70m,low,draw_2,5,4,0.005381547578575384
pythia-70m,low,draw_2,5,5,0.01125688659141636
pythia-70m,low,draw_2,5,6,0.03316442253537419
pythia-70m,low,draw_2,5,7,0.008045722868240398
pythia-70m,low,draw_3,0,0,0.0
pythia-70m,low,draw_3,0,1,0.0
pythia-70m,low,draw_3,0,2,0.0
pythia-70m,low,draw_3,0,3,0.0
pythia-70m,low,draw_3,0,4,0.0
pythia-70m,low,draw_3,0,5,0.0
pythia-70m,low,draw_3,0,6,0.0
pythia-70m,low,draw_3,0,7,0.0
pythia-70m,low,draw_3,1,0,0.0
