model,draw,band,layer,head,entropy_base,entropy_circuit,delta_entropy
pythia-70m,draw_1,low,0,0,3.948561668395996,3.948561668395996,0.0
pythia-70m,draw_1,low,0,1,2.6415855884552,2.6415855884552,0.0
pythia-70m,draw_1,low,0,2,2.6087846755981445,2.6087846755981445,0.0
pythia-70m,draw_1,low,0,3,0.4650974869728088,0.46509748697280884,5.551115123125783e-17
pythia-70m,draw_1,low,0,4,2.009572982788086,2.009572982788086,0.0
pythia-70m,draw_1,low,0,5,1.836763381958008,1.8367633819580078,-2.220446049250313e-16
pythia-70m,draw_1,low,0,6,2.041454792022705,2.041454792022705,0.0
pythia-70m,draw_1,low,0,7,2.2918591499328613,2.2918591499328613,0.0
pythia-70m,draw_1,low,1,0,3.7331037521362314,3.7331037521362305,-8.881784197001252e-16
pythia-70m,draw_1,low,1,1,2.1061325073242188,2.1061325073242188,0.0
pythia-70m,draw_1,low,1,2,2.6177451610565186,2.6177451610565186,0.0
pythia-70m,draw_1,low,1,3,2.9064583778381348,2.9064583778381348,0.0
pythia-70m,draw_1,low,1,4,3.216650485992432,3.2166504859924316,-4.440892098500626e-16
pythia-70m,draw_1,low,1,5,3.2707161903381348,3.2707161903381348,0.0
pythia-70m,draw_1,low,1,6,3.3032171726226807,3.3032171726226807,0.0
pythia-70m,draw_1,low,1,7,1.7241359949111938,1.7241359949111938,0.0
pythia-70m,draw_1,low,2,0,3.1853950023651123,3.2005772590637207,0.015182256698608398
pythia-70m,draw_1,low,2,1,0.7245141863822937,0.7258422374725342,0.0013280510902404785
pythia-70m,draw_1,low,2,2,3.6920337677001953,3.681504964828491,-0.010528802871704102
pythia-70m,draw_1,low,2,3,3.268376350402832,3.2687137126922607,0.00033736228942871094
pythia-70m,draw_1,low,2,4,1.9065570831298828,1.921343207359314,0.014786124229431152
pythia-70m,draw_1,low,2,5,3.911654233932495,3.91672420501709,0.0050699710845947266
pythia-70m,draw_1,low,2,6,1.95263671875,1.9470831155776978,-0.005553603172302246
pythia-70m,draw_1,low,2,7,2.5604398250579834,2.566652536392212,0.006212711334228516
pythia-70m,draw_1,low,3,0,2.191274881362915,2.1964657306671143,0.005190849304199219
pythia-70m,draw_1,low,3,1,1.178418755531311,1.1872124671936035,0.00879371166229248
pythia-70m,draw_1,low,3,2,3.6894454956054688,3.708853006362915,0.01940751075744629
pythia-70m,draw_1,low,3,3,2.670766592025757,2.6882705688476562,0.017503976821899414
pythia-70m,draw_1,low,3,4,3.031317710876465,3.0535330772399902,0.02221536636352539
pythia-70m,draw_1,low,3,5,0.8454393148422241,0.8558422923088074,0.010402977466583252
pythia-70m,draw_1,low,3,6,0.4998908042907715,0.5100313425064087,0.010140538215637207
pythia-70m,draw_1,low,3,7,3.261830568313598,3.257112741470337,-0.004717826843261275
pythia-70m,draw_1,low,4,0,2.4500863552093506,2.465109348297119,0.015022993087768555
pythia-70m,draw_1,low,4,1,0.581544816493988,0.5800489187240601,-0.0014958977699279785
pythia-70m,draw_1,low,4,2,0.9789158701896667,1.0036752223968506,0.024759352207183838
pythia-70m,draw_1,low,4,3,0.0535567179322242,0.058198507875204086,0.004641789942979889
pythia-70m,draw_1,low,4,4,1.2393763065338137,1.2628029584884644,0.023426651954650657
pythia-70m,draw_1,low,4,5,1.4899957180023191,1.501173496246338,0.011177778244018777
pythia-70m,draw_1,low,4,6,0.8031468391418457,0.831663966178894,0.02851712703704834
pythia-70m,draw_1,low,4,7,1.1054986715316772,1.109645962715149,0.00414729118347168
pythia-70m,draw_1,low,5,0,0.7782981991767883,0.7887038588523865,0.010405659675598145
pythia-70m,draw_1,low,5,1,0.7965919375419617,0.7844436168670654,-0.01214832067489624
pythia-70m,draw_1,low,5,2,0.3357411026954651,0.33189988136291504,-0.003841221332550049
pythia-70m,draw_1,low,5,3,0.1833471804857254,0.210898295044899,0.027551114559173584
pythia-70m,draw_1,low,5,4,0.1293804198503494,0.13528236746788025,0.0059019476175308505
pythia-70m,draw_1,low,5,5,0.4114398956298828,0.3981699049472809,-0.013269990682601929
pythia-70m,draw_1,low,5,6,0.117193304002285,0.13444750010967255,0.017254196107387543
pythia-70m,draw_1,low,5,7,0.6759210824966431,0.6791906952857971,0.0032696127891540527
pythia-70m,draw_1,medium,0,0,3.879774808883667,3.879774808883667,0.0
pythia-70m,draw_1,medium,0,1,2.6073124408721924,2.6073124408721924,0.0
pythia-70m,draw_1,medium,0,2,2.6090121269226074,2.6090121269226074,0.0
pythia-70m,draw_1,medium,0,3,0.5129828453063965,0.5129828453063965,0.0
pythia-70m,draw_1,medium,0,4,2.0259721279144287,2.0259721279144287,0.0
pythia-70m,draw_1,medium,0,5,1.713252067565918,1.713252067565918,0.0
pythia-70m,draw_1,medium,0,6,2.069718599319458,2.069718599319458,0.0
pythia-70m,draw_1,medium,0,7,2.130456924438477,2.1304569244384766,-4.440892098500626e-16
pythia-70m,draw_1,medium,1,0,3.760346174240112,3.7603461742401123,4.440892098500626e-16
pythia-70m,draw_1,medium,1,1,2.1538965702056885,2.1538965702056885,0.0
pythia-70m,draw_1,medium,1,2,2.586461067199707,2.586461067199707,0.0
pythia-70m,draw_1,medium,1,3,2.903923988342285,2.903923988342285,0.0
pythia-70m,draw_1,medium,1,4,3.256680965423584,3.256680965423584,0.0
pythia-70m,draw_1,medium,1,5,3.2520339488983154,3.2520339488983154,0.0
pythia-70m,draw_1,medium,1,6,3.4498953819274902,3.4498953819274902,0.0
pythia-70m,draw_1,medium,1,7,1.8758786916732788,1.8758786916732788,0.0
pythia-70m,draw_1,medium,2,0,3.1248366832733154,3.1432154178619385,0.018378734588623047
pythia-70m,draw_1,medium,2,1,0.6608154773712158,0.6672677993774414,0.006452322006225586
pythia-70m,draw_1,medium,2,2,3.722731113433838,3.7216312885284424,-0.0010998249053955078
pythia-70m,draw_1,medium,2,3,3.3255653381347656,3.328894853591919,0.0033295154571533203
pythia-70m,draw_1,medium,2,4,1.8645919561386108,1.8689277172088623,0.004335761070251465
pythia-70m,draw_1,medium,2,5,3.908667087554932,3.915570020675659,0.006902933120727095
pythia-70m,draw_1,medium,2,6,1.8499709367752075,1.846005916595459,-0.003965020179748535
pythia-70m,draw_1,medium,2,7,2.5694682598114014,2.5736687183380127,0.004200458526611328
pythia-70m,draw_1,medium,3,0,2.050645351409912,2.053391695022583,0.0027463436126708984
pythia-70m,draw_1,medium,3,1,1.119412541389465,1.1364414691925049,0.017028927803039773
pythia-70m,draw_1,medium,3,2,3.734883546829224,3.74497127532959,0.010087728500365767
pythia-70m,draw_1,medium,3,3,2.649014949798584,2.664147138595581,0.01513218879699707
pythia-70m,draw_1,medium,3,4,3.073474407196045,3.0859146118164062,0.012440204620361328
pythia-70m,draw_1,medium,3,5,0.7273287177085876,0.7286020517349243,0.00127333402633667
pythia-70m,draw_1,medium,3,6,0.4725598096847534,0.4665432274341583,-0.006016582250595093
pythia-70m,draw_1,medium,3,7,3.2174630165100098,3.2152745723724365,-0.002188444137573242
pythia-70m,draw_1,medium,4,0,2.0969221591949463,2.1271073818206787,0.030185222625732422
pythia-70m,draw_1,medium,4,1,0.5892078876495361,0.5982146263122559,0.009006738662719727
pythia-70m,draw_1,medium,4,2,1.0061638355255127,1.0458130836486816,0.039649248123168945
pythia-70m,draw_1,medium,4,3,0.0444070845842361,0.04342713579535484,-0.0009799487888812602
pythia-70m,draw_1,medium,4,4,1.095422387123108,1.1286174058914185,0.03319501876831055
pythia-70m,draw_1,medium,4,5,1.3129514455795288,1.325145959854126,0.012194514274597168
pythia-70m,draw_1,medium,4,6,0.805858314037323,0.8222706913948059,0.01641237735748291
