model,draw,band_1,band_2,cka,is_adjacent
pythia-70m,draw_1,low,medium,0.48034361131749853,True
pythia-70m,draw_1,low,high,0.47695373854422357,False
pythia-70m,draw_1,low,very_high,0.48052801897571795,False
pythia-70m,draw_1,low,control,0.4843179459527948,True
pythia-70m,draw_1,medium,high,0.4744501462543999,True
pythia-70m,draw_1,medium,very_high,0.4822585708422326,False
pythia-70m,draw_1,medium,control,0.4960715273368286,False
pythia-70m,draw_1,high,very_high,0.47501750872006004,True
pythia-70m,draw_1,high,control,0.48106359882079563,False
pythia-70m,draw_1,very_high,control,0.4798507370632731,False
pythia-70m,draw_2,low,medium,0.47927656426704923,True
pythia-70m,draw_2,low,high,0.47523244004825355,False
pythia-70m,draw_2,low,very_high,0.4753993856723847,False
pythia-70m,draw_2,low,control,0.5018988748566036,True
pythia-70m,draw_2,medium,high,0.46618817328227635,True
pythia-70m,draw_2,medium,very_high,0.4770955905497951,False
pythia-70m,draw_2,medium,control,0.4888073051241584,False
pythia-70m,draw_2,high,very_high,0.4650950947753961,True
pythia-70m,draw_2,high,control,0.4774520301163118,False
pythia-70m,draw_2,very_high,control,0.4862565101910785,False
pythia-70m,draw_3,low,medium,0.4638761162212939,True
pythia-70m,draw_3,low,high,0.4552948130104696,False
pythia-70m,draw_3,low,very_high,0.4550203310221208,False
pythia-70m,draw_3,low,control,0.4734242628850772,True
pythia-70m,draw_3,medium,high,0.45043437595953006,True
pythia-70m,draw_3,medium,very_high,0.4680559448578401,False
pythia-70m,draw_3,medium,control,0.4794490692389539,False
pythia-70m,draw_3,high,very_high,0.4564439647480545,True
pythia-70m,draw_3,high,control,0.46054541968207696,False
pythia-70m,draw_3,very_high,control,0.4841785123884695,False
pythia-160m,draw_1,low,medium,0.5623122085760549,True
pythia-160m,draw_1,low,high,0.5600154698821536,False
pythia-160m,draw_1,low,very_high,0.5551380482568561,False
pythia-160m,draw_1,low,control,0.573348847661691,True
pythia-160m,draw_1,medium,high,0.5532896801171829,True
pythia-160m,draw_1,medium,very_high,0.5601893476253758,False
pythia-160m,draw_1,medium,control,0.5793106705586513,False
pythia-160m,draw_1,high,very_high,0.5437102030599131,True
pythia-160m,draw_1,high,control,0.5626944730934346,False
pythia-160m,draw_1,very_high,control,0.5601690291121502,False
pythia-160m,draw_2,low,medium,0.5614441165847289,True
pythia-160m,draw_2,low,high,0.5529096888827418,False
pythia-160m,draw_2,low,very_high,0.5570083894881169,False
pythia-160m,draw_2,low,control,0.5861406645132835,True
pythia-160m,draw_2,medium,high,0.5395012786184594,True
pythia-160m,draw_2,medium,very_high,0.5515123107568876,False
pythia-160m,draw_2,medium,control,0.574286350014755,False
pythia-160m,draw_2,high,very_high,0.5364473025842516,True
pythia-160m,draw_2,high,control,0.5589662535199242,False
pythia-160m,draw_2,very_high,control,0.5675774810638189,False
pythia-160m,draw_3,low,medium,0.5335924738809859,True
pythia-160m,draw_3,low,high,0.5266318565813269,False
pythia-160m,draw_3,low,very_high,0.536047923599744,False
pythia-160m,draw_3,low,control,0.5583345849975712,True
pythia-160m,draw_3,medium,high,0.5166024066458744,True
pythia-160m,draw_3,medium,very_high,0.5360526610752112,False
pythia-160m,draw_3,medium,control,0.5499855980747923,False
pythia-160m,draw_3,high,very_high,0.5225445629633467,True
pythia-160m,draw_3,high,control,0.5365783201095684,False
pythia-160m,draw_3,very_high,control,0.5563963945356938,False
pythia-410m,draw_1,low,medium,0.5979850873113921,True
pythia-410m,draw_1,low,high,0.5909697028400324,False
pythia-410m,draw_1,low,very_high,0.5843777825752716,False
pythia-410m,draw_1,low,control,0.6015144429203506,True
pythia-410m,draw_1,medium,high,0.588242228882866,True
pythia-410m,draw_1,medium,very_high,0.5912825521677222,False
pythia-410m,draw_1,medium,control,0.6070980428716802,False
pythia-410m,draw_1,high,very_high,0.5753255744720692,True
pythia-410m,draw_1,high,control,0.5909963792838082,False
pythia-410m,draw_1,very_high,control,0.5900676093613031,False
pythia-410m,draw_2,low,medium,0.5883093546367487,True
pythia-410m,draw_2,low,high,0.5867216156929296,False
pythia-410m,draw_2,low,very_high,0.5845106146701426,False
pythia-410m,draw_2,low,control,0.6204216593005997,True
pythia-410m,draw_2,medium,high,0.5682923815325043,True
pythia-410m,draw_2,medium,very_high,0.573349041031027,False
pythia-410m,draw_2,medium,control,0.6057740076811747,False
pythia-410m,draw_2,high,very_high,0.5594323204112914,True
pythia-410m,draw_2,high,control,0.5869551501901573,False
pythia-410m,draw_2,very_high,control,0.5926677955653012,False
pythia-410m,draw_3,low,medium,0.5618051590176908,True
pythia-410m,draw_3,low,high,0.5507751765959751,False
pythia-410m,draw_3,low,very_high,0.5643698908907329,False
pythia-410m,draw_3,low,control,0.5833612818901307,True
pythia-410m,draw_3,medium,high,0.5385631423252772,True
pythia-410m,draw_3,medium,very_high,0.5639230990542006,False
pythia-410m,draw_3,medium,control,0.5783392069120256,False
pythia-410m,draw_3,high,very_high,0.5520709585109093,True
pythia-410m,draw_3,high,control,0.5653511507179009,False
pythia-410m,draw_3,very_high,control,0.5875774967666756,False
pythia-1b,draw_1,low,medium,0.6542568487992538,True
pythia-1b,draw_1,low,high,0.6537756342872919,False
pythia-1b,draw_1,low,very_high,0.6461676661809519,False
pythia-1b,draw_1,low,control,0.6701020264946487,True
pythia-1b,draw_1,medium,high,0.6528961154301975,True
pythia-1b,draw_1,medium,very_high,0.6576001049230505,False
pythia-1b,draw_1,medium,control,0.6804490546944776,False
pythia-1b,draw_1,high,very_high,0.6410393162696788,True
