model,band,mean,std,median
pythia-1.4b,control,0.9892042167098434,0.007285115684447293,0.9899141788482666
pythia-1.4b,high,0.9946697890316999,0.00447981158312072,0.9949097633361816
pythia-1.4b,low,0.9818007271378129,0.006900243494640553,0.9824458956718445
pythia-1.4b,medium,0.9929574199959084,0.004182197687552993,0.9933404922485352
pythia-1.4b,very_high,0.9872611279840823,0.007769736443267124,0.9881423711776733
pythia-160m,control,0.7952476520008511,0.009243031019057369,0.7958865165710449
pythia-160m,high,0.8019246798091465,0.006590633847474462,0.8023970127105713
pythia-160m,low,0.7945609238412645,0.0073806000782760195,0.7953609824180603
pythia-160m,medium,0.802784921946349,0.005644217800211508,0.8031643033027649
pythia-160m,very_high,0.7926111395270736,0.008656044859596432,0.792838454246521
pythia-1b,control,1.0668225037610088,0.008094387234857878,1.068283200263977
pythia-1b,high,1.072857241453948,0.005258787469728881,1.0731464624404907
pythia-1b,low,1.0590059010187785,0.007718648672634073,1.0589948892593384
pythia-1b,medium,1.0712839250211363,0.00467022937666939,1.0717424154281616
pythia-1b,very_high,1.0650979525954636,0.008544802145767836,1.066388726234436
pythia-410m,control,0.7977844806070681,0.006892752644195816,0.7987985014915466
pythia-410m,high,0.8023010350156713,0.004414577458991125,0.802524209022522
pythia-410m,low,0.7957869419345149,0.005908480674598492,0.7955482006072998
pythia-410m,medium,0.8026509470409817,0.0038283481850345043,0.8028520345687866
pythia-410m,very_high,0.7962149047851562,0.007442372234138352,0.7972075343132019
pythia-70m,control,0.7135100996935809,0.008574484602631351,0.7136538028717041
pythia-70m,high,0.7183991896664654,0.008047776864930196,0.7183855772018433
pythia-70m,low,0.709011777860147,0.008090743978171767,0.7095747590065002
pythia-70m,medium,0.7167637335812604,0.007109804423928737,0.7167338728904724
pythia-70m,very_high,0.7115173310703702,0.008806338891898113,0.7112517356872559
