model,draw,purity,p_value,null_mean,null_std,n_samples
pythia-70m,draw_1,0.308,0.0,0.21414355555555556,0.004801219413008725,1125
pythia-70m,draw_2,0.3152,0.0,0.21447022222222223,0.004492008508946131,1125
pythia-70m,draw_3,0.32284444444444443,0.0,0.2159044444444444,0.004664515377153741,1125
pythia-160m,draw_1,0.3040888888888889,0.0,0.21401777777777778,0.004471552882968644,1125
pythia-160m,draw_2,0.31164444444444445,0.0,0.21468755555555558,0.004160787935825807,1125
pythia-160m,draw_3,0.3178666666666667,0.0,0.21604399999999999,0.004380382733151168,1125
pythia-410m,draw_1,0.31022222222222223,0.0,0.21383911111111115,0.00462774362532416,1125
pythia-410m,draw_2,0.3168888888888889,0.0,0.21445422222222224,0.004171851967592591,1125
pythia-410m,draw_3,0.3277333333333333,0.0,0.2154591111111111,0.0044391237262313525,1125
pythia-1b,draw_1,0.3143111111111111,0.0,0.21388088888888887,0.0045617188876427425,1125
pythia-1b,draw_2,0.32666666666666666,0.0,0.2145502222222222,0.004030583231392844,1125
pythia-1b,draw_3,0.336,0.0,0.2160991111111111,0.004839248406085648,1125
pythia-1.4b,draw_1,0.3204444444444444,0.0,0.21420266666666662,0.0048228195021809885,1125
pythia-1.4b,draw_2,0.3272,0.0,0.21450399999999997,0.00433651265704268,1125
pythia-1.4b,draw_3,0.336,0.0,0.21580044444444443,0.004092177397407383,1125
