model,draw,linear_accuracy,linear_std,mlp_accuracy,mlp_std,linearity_gap,above_chance
pythia-70m,draw_1,0.488,0.025670273916788718,0.4604444444444445,0.038397530784809196,-0.0275555555555555,0.288
pythia-70m,draw_2,0.4622222222222222,0.0173276343907715,0.4275555555555556,0.010289632802480193,-0.03466666666666662,0.2622222222222222
pythia-70m,draw_3,0.49422222222222223,0.02657762913373521,0.47555555555555556,0.04471031587541082,-0.018666666666666665,0.2942222222222222
pythia-160m,draw_1,0.47111111111111115,0.03739677149860021,0.4373333333333333,0.017005445750852423,-0.03377777777777785,0.27111111111111114
pythia-160m,draw_2,0.488,0.030064950267178238,0.46577777777777774,0.034357596604600346,-0.022222222222222254,0.288
pythia-160m,draw_3,0.5146666666666667,0.019352480939624234,0.5004444444444445,0.020579265604960408,-0.014222222222222247,0.3146666666666667
pythia-410m,draw_1,0.47733333333333333,0.03414999593297519,0.4808888888888889,0.042759159007309124,0.0035555555555555896,0.2773333333333333
pythia-410m,draw_2,0.4995555555555556,0.03692902769393955,0.47377777777777774,0.01834645994715583,-0.025777777777777844,0.2995555555555556
pythia-410m,draw_3,0.5208888888888888,0.026873273702810622,0.5146666666666666,0.011725249740687033,-0.00622222222222224,0.32088888888888883
pythia-1b,draw_1,0.5182222222222223,0.03309246305597562,0.49066666666666664,0.01939326598157459,-0.02755555555555561,0.31822222222222224
pythia-1b,draw_2,0.48,0.015900927839998507,0.4746666666666666,0.026873273702810625,-0.005333333333333357,0.27999999999999997
pythia-1b,draw_3,0.5271111111111111,0.02956140293033936,0.5253333333333334,0.012695872761853931,-0.001777777777777656,0.3271111111111111
pythia-1.4b,draw_1,0.5120000000000001,0.014166557733785983,0.5057777777777778,0.02015250497556379,-0.006222222222222351,0.3120000000000001
pythia-1.4b,draw_2,0.5146666666666666,0.030456607464909906,0.4960000000000001,0.01877218851728255,-0.018666666666666498,0.3146666666666666
pythia-1.4b,draw_3,0.5377777777777778,0.02334920095389099,0.5057777777777778,0.02536060909811042,-0.03200000000000003,0.3377777777777778
