model,draw,separation_ratio,mean_centroid_distance,mean_within_spread
pythia-70m,draw_1,3.9156800914477734,0.12087271897436766,0.03086889535188675
pythia-70m,draw_2,3.8877628747655884,0.11999472577163536,0.0308647233992815
pythia-70m,draw_3,3.8690740407015527,0.11933940601189838,0.03084443584084511
pythia-160m,draw_1,4.618849199356775,0.13058106395907382,0.02827134169638157
pythia-160m,draw_2,4.5487446626752375,0.12854774637961444,0.02826004885137081
pythia-160m,draw_3,4.642091187179882,0.1311772535435894,0.028258224204182624
pythia-410m,draw_1,5.547594713147273,0.13603943293021198,0.02452223710715771
pythia-410m,draw_2,5.541492484780045,0.13584287783897436,0.024513771012425422
pythia-410m,draw_3,5.607486696792843,0.1374704921581451,0.02451552711427212
pythia-1b,draw_1,7.391643536109663,0.17161021066099927,0.023216786608099938
pythia-1b,draw_2,7.3954832792811125,0.17163815136323504,0.023208510503172873
pythia-1b,draw_3,7.474664593791276,0.17346397520587725,0.02320692427456379
pythia-1.4b,draw_1,7.528330595422025,0.16189926283099407,0.021505333855748175
pythia-1.4b,draw_2,7.449534340010209,0.1601622185817479,0.021499628201127052
pythia-1.4b,draw_3,7.5665365940970695,0.16266930110475353,0.021498515084385873
