model,band,draw,status,n_examples,circuit_edges,file_size_mb,extraction_time_s,filename,timestamp
pythia-1b,low,draw_1,success,225,972,182.8,6.7,pythia_1b_low_draw_1_circuit.npz,2026-02-27
pythia-1b,low,draw_2,success,225,952,182.8,6.6,pythia_1b_low_draw_2_circuit.npz,2026-02-27
pythia-1b,low,draw_3,success,225,978,182.8,6.6,pythia_1b_low_draw_3_circuit.npz,2026-02-27
pythia-1b,medium,draw_1,success,225,904,182.8,6.7,pythia_1b_medium_draw_1_circuit.npz,2026-02-27
pythia-1b,medium,draw_2,success,225,1007,182.8,6.6,pythia_1b_medium_draw_2_circuit.npz,2026-02-27
pythia-1b,medium,draw_3,success,225,900,182.8,6.6,pythia_1b_medium_draw_3_circuit.npz,2026-02-27
pythia-1b,high,draw_1,success,225,1002,182.7,6.6,pythia_1b_high_draw_1_circuit.npz,2026-02-27
pythia-1b,high,draw_2,success,225,902,182.7,6.6,pythia_1b_high_draw_2_circuit.npz,2026-02-27
pythia-1b,high,draw_3,success,225,945,182.7,6.7,pythia_1b_high_draw_3_circuit.npz,2026-02-27
pythia-1b,very_high,draw_1,success,225,817,182.7,6.6,pythia_1b_very_high_draw_1_circuit.npz,2026-02-27
pythia-1b,very_high,draw_2,success,225,911,182.6,6.6,pythia_1b_very_high_draw_2_circuit.npz,2026-02-27
pythia-1b,very_high,draw_3,success,225,812,182.6,6.6,pythia_1b_very_high_draw_3_circuit.npz,2026-02-27
pythia-1b,control,draw_1,success,225,928,182.7,6.7,pythia_1b_control_draw_1_circuit.npz,2026-02-27
pythia-1b,control,draw_2,success,225,823,182.7,6.6,pythia_1b_control_draw_2_circuit.npz,2026-02-27
pythia-1b,control,draw_3,success,225,870,182.7,6.7,pythia_1b_control_draw_3_circuit.npz,2026-02-27
