model,band,draw,status,n_examples,n_layers,n_heads,d_model,file_size_mb,extraction_time_s,filename,timestamp
pythia-1.4b,low,draw_1,success,225,24,16,2048,299.0,29.4,pythia_1.4b_low_draw_1.npz,2026-03-15
pythia-1.4b,low,draw_2,success,225,24,16,2048,299.0,28.6,pythia_1.4b_low_draw_2.npz,2026-03-15
pythia-1.4b,low,draw_3,success,225,24,16,2048,299.0,28.1,pythia_1.4b_low_draw_3.npz,2026-03-15
pythia-1.4b,medium,draw_1,success,225,24,16,2048,298.9,28.2,pythia_1.4b_medium_draw_1.npz,2026-03-15
pythia-1.4b,medium,draw_2,success,225,24,16,2048,298.9,28.3,pythia_1.4b_medium_draw_2.npz,2026-03-15
pythia-1.4b,medium,draw_3,success,225,24,16,2048,298.9,27.9,pythia_1.4b_medium_draw_3.npz,2026-03-15
pythia-1.4b,high,draw_1,success,225,24,16,2048,298.8,27.9,pythia_1.4b_high_draw_1.npz,2026-03-15
pythia-1.4b,high,draw_2,success,225,24,16,2048,298.8,28.3,pythia_1.4b_high_draw_2.npz,2026-03-15
pythia-1.4b,high,draw_3,success,225,24,16,2048,298.9,27.9,pythia_1.4b_high_draw_3.npz,2026-03-15
pythia-1.4b,very_high,draw_1,success,225,24,16,2048,298.7,28.3,pythia_1.4b_very_high_draw_1.npz,2026-03-15
pythia-1.4b,very_high,draw_2,success,225,24,16,2048,298.8,27.9,pythia_1.4b_very_high_draw_2.npz,2026-03-15
pythia-1.4b,very_high,draw_3,success,225,24,16,2048,298.8,27.9,pythia_1.4b_very_high_draw_3.npz,2026-03-15
pythia-1.4b,control,draw_1,success,225,24,16,2048,298.8,28.0,pythia_1.4b_control_draw_1.npz,2026-03-15
pythia-1.4b,control,draw_2,success,225,24,16,2048,298.8,28.2,pythia_1.4b_control_draw_2.npz,2026-03-15
pythia-1.4b,control,draw_3,success,225,24,16,2048,298.8,28.1,pythia_1.4b_control_draw_3.npz,2026-03-15
