model,draw,layer,h_y,h_y_given_x,info_fraction
pythia-70m,draw_1,0,2.321928094887362,1.5632047444333428,0.32676436110344986
pythia-70m,draw_1,1,2.321928094887362,1.7579333086864017,0.2428993332923689
pythia-70m,draw_1,2,2.321928094887362,1.743743597195456,0.24901050939734382
pythia-70m,draw_1,3,2.321928094887362,1.7814716553168295,0.23276191918283773
pythia-70m,draw_1,4,2.321928094887362,1.6829512972209622,0.2751923279077241
pythia-70m,draw_1,5,2.321928094887362,1.650135038211412,0.2893255213868021
pythia-70m,draw_2,0,2.321928094887362,1.5932798351031257,0.3138117245700426
pythia-70m,draw_2,1,2.321928094887362,1.6744623117709296,0.2788483349428792
pythia-70m,draw_2,2,2.321928094887362,1.7578935051716833,0.24291647573308706
pythia-70m,draw_2,3,2.321928094887362,1.7926731643154217,0.227937691842096
pythia-70m,draw_2,4,2.321928094887362,1.7017904149953136,0.2670787615075271
pythia-70m,draw_2,5,2.321928094887362,1.6956961653941358,0.2697034119498025
pythia-70m,draw_3,0,2.321928094887362,1.633956467840782,0.2962932523885732
pythia-70m,draw_3,1,2.321928094887362,1.7269813366066629,0.2562296220932545
pythia-70m,draw_3,2,2.321928094887362,1.7313487976168829,0.2543486590178533
pythia-70m,draw_3,3,2.321928094887362,1.812388133722473,0.21944691667534488
pythia-70m,draw_3,4,2.321928094887362,1.7183143703370367,0.2599622812951954
pythia-70m,draw_3,5,2.321928094887362,1.6998370893242232,0.26792001308434876
pythia-160m,draw_1,0,2.321928094887362,1.469899922583385,0.3669485606294408
pythia-160m,draw_1,1,2.321928094887362,1.4518140731798743,0.37473771200037853
pythia-160m,draw_1,2,2.321928094887362,1.4987193483705767,0.35453670952576144
pythia-160m,draw_1,3,2.321928094887362,1.5091225775889079,0.350056282573162
pythia-160m,draw_1,4,2.321928094887362,1.5012073769510106,0.35346517394035204
pythia-160m,draw_1,5,2.321928094887362,1.4693518185453562,0.3671846161900052
pythia-160m,draw_1,6,2.321928094887362,1.4149772313422226,0.39060247625331235
pythia-160m,draw_1,7,2.321928094887362,1.4265639336109541,0.38561235520079384
pythia-160m,draw_1,8,2.321928094887362,1.6015719417575833,0.3102405086169232
pythia-160m,draw_1,9,2.321928094887362,1.6473028529205491,0.290545277199697
pythia-160m,draw_1,10,2.321928094887362,1.5707779140752787,0.32350277446835496
pythia-160m,draw_1,11,2.321928094887362,1.5941310115679193,0.3134451428198721
pythia-160m,draw_2,0,2.321928094887362,1.4635940068667321,0.3696643707057897
pythia-160m,draw_2,1,2.321928094887362,1.4317140242329347,0.38339433189795313
pythia-160m,draw_2,2,2.321928094887362,1.4392132785554481,0.3801645788582161
pythia-160m,draw_2,3,2.321928094887362,1.530973241414019,0.3406457138853445
pythia-160m,draw_2,4,2.321928094887362,1.4539393361865134,0.3738224110436785
pythia-160m,draw_2,5,2.321928094887362,1.4598286281515551,0.37128603105068503
pythia-160m,draw_2,6,2.321928094887362,1.4075763641691361,0.3937898562541755
pythia-160m,draw_2,7,2.321928094887362,1.4140672018091607,0.3909944046403565
pythia-160m,draw_2,8,2.321928094887362,1.5513317067490195,0.3318778001072099
pythia-160m,draw_2,9,2.321928094887362,1.5946106470757422,0.3132385750502332
pythia-160m,draw_2,10,2.321928094887362,1.5429243818011358,0.335498637878369
pythia-160m,draw_2,11,2.321928094887362,1.5717506118568927,0.3230838563357239
pythia-160m,draw_3,0,2.321928094887362,1.4381608424123729,0.38061783843390784
pythia-160m,draw_3,1,2.321928094887362,1.455993345036052,0.3729377975821069
pythia-160m,draw_3,2,2.321928094887362,1.4928140432714403,0.35707998600023083
pythia-160m,draw_3,3,2.321928094887362,1.4881825027718258,0.3590746819211823
pythia-160m,draw_3,4,2.321928094887362,1.4486032041034254,0.3761205580426479
pythia-160m,draw_3,5,2.321928094887362,1.4423179950990344,0.3788274502234309
pythia-160m,draw_3,6,2.321928094887362,1.4079888950078336,0.3936121888924662
pythia-160m,draw_3,7,2.321928094887362,1.4732561873698227,0.36550309606323494
pythia-160m,draw_3,8,2.321928094887362,1.589673120107055,0.3153650521705019
pythia-160m,draw_3,9,2.321928094887362,1.6366845676536212,0.2951183237510989
pythia-160m,draw_3,10,2.321928094887362,1.5401390804128492,0.3366982018934733
pythia-160m,draw_3,11,2.321928094887362,1.5871391085598061,0.3164563915417893
pythia-410m,draw_1,0,2.321928094887362,1.453552306833723,0.3739890955132116
pythia-410m,draw_1,1,2.321928094887362,1.360755847203754,0.41395435534804326
pythia-410m,draw_1,2,2.321928094887362,1.376420430349424,0.4072079865952115
pythia-410m,draw_1,3,2.321928094887362,1.3400255118598703,0.4228824248216543
pythia-410m,draw_1,4,2.321928094887362,1.4272169294518693,0.38533112519959223
pythia-410m,draw_1,5,2.321928094887362,1.4484778984062727,0.37617452426900455
pythia-410m,draw_1,6,2.321928094887362,1.4454027970945997,0.37749889831764283
pythia-410m,draw_1,7,2.321928094887362,1.4812586220340807,0.3620566350458251
pythia-410m,draw_1,8,2.321928094887362,1.5181797998981916,0.34615554924329417
pythia-410m,draw_1,9,2.321928094887362,1.5362213552671462,0.33838547427470234
pythia-410m,draw_1,10,2.321928094887362,1.5129054420389028,0.3484270915321801
pythia-410m,draw_1,11,2.321928094887362,1.4661048522244196,0.3685830084692864
pythia-410m,draw_1,12,2.321928094887362,1.4970443868641605,0.35525807618225025
pythia-410m,draw_1,13,2.321928094887362,1.5129787997547282,0.34839549808362025
pythia-410m,draw_1,14,2.321928094887362,1.4588908984865112,0.3716898892352295
pythia-410m,draw_1,15,2.321928094887362,1.4291301075759437,0.38450716423013453
pythia-410m,draw_1,16,2.321928094887362,1.3904299481925126,0.40117441567028245
pythia-410m,draw_1,17,2.321928094887362,1.4679184716440048,0.3678019251000043
pythia-410m,draw_1,18,2.321928094887362,1.5425733815572003,0.3356498054553101
pythia-410m,draw_1,19,2.321928094887362,1.5397122127104452,0.3368820438062974
pythia-410m,draw_1,20,2.321928094887362,1.5703449634715594,0.32368923614418066
pythia-410m,draw_1,21,2.321928094887362,1.5624062489821546,0.3271082543760049
pythia-410m,draw_1,22,2.321928094887362,1.4910138449643116,0.3578552892109945
pythia-410m,draw_1,23,2.321928094887362,1.398423327485673,0.397731854588929
pythia-410m,draw_2,0,2.321928094887362,1.4311980274791605,0.38361655960384566
pythia-410m,draw_2,1,2.321928094887362,1.3240656900015986,0.42975594596703925
pythia-410m,draw_2,2,2.321928094887362,1.3518735112324602,0.4177797692318115
pythia-410m,draw_2,3,2.321928094887362,1.308227495315733,0.43657708514044413
pythia-410m,draw_2,4,2.321928094887362,1.395772654174329,0.3988734374472356
pythia-410m,draw_2,5,2.321928094887362,1.3937007797726249,0.39976574518332186
pythia-410m,draw_2,6,2.321928094887362,1.4039341949883744,0.39535845314086704
pythia-410m,draw_2,7,2.321928094887362,1.4477368740928678,0.37649366606975043
pythia-410m,draw_2,8,2.321928094887362,1.450867283107475,0.3751454722899775
pythia-410m,draw_2,9,2.321928094887362,1.4410301826752518,0.3793820808455497
pythia-410m,draw_2,10,2.321928094887362,1.448102715890925,0.3763361065833638
pythia-410m,draw_2,11,2.321928094887362,1.4427906079747135,0.37862390693683223
pythia-410m,draw_2,12,2.321928094887362,1.447047857506318,0.3767904093617013
pythia-410m,draw_2,13,2.321928094887362,1.4523361732712017,0.37451285573007587
pythia-410m,draw_2,14,2.321928094887362,1.4148517635337585,0.39065651229721066
pythia-410m,draw_2,15,2.321928094887362,1.3612620161588995,0.41373636024463756
pythia-410m,draw_2,16,2.321928094887362,1.3299947968891372,0.42720241862026487
pythia-410m,draw_2,17,2.321928094887362,1.437107445232931,0.381071511905434
pythia-410m,draw_2,18,2.321928094887362,1.5271045601545536,0.34231186421445403
pythia-410m,draw_2,19,2.321928094887362,1.5049053203976985,0.3518725563847823
pythia-410m,draw_2,20,2.321928094887362,1.538195935491932,0.33753506885985174
pythia-410m,draw_2,21,2.321928094887362,1.5777839791806167,0.3204854264631499
pythia-410m,draw_2,22,2.321928094887362,1.427682312955175,0.3851306954342044
pythia-410m,draw_2,23,2.321928094887362,1.312561833084466,0.43471038746867874
pythia-410m,draw_3,0,2.321928094887362,1.457607760649397,0.3722425066224516
pythia-410m,draw_3,1,2.321928094887362,1.3539438067136151,0.4168881414997928
pythia-410m,draw_3,2,2.321928094887362,1.3768761554170652,0.40701171649165213
pythia-410m,draw_3,3,2.321928094887362,1.3545827970862925,0.4166129433254461
pythia-410m,draw_3,4,2.321928094887362,1.3982216180455171,0.39781872611634617
pythia-410m,draw_3,5,2.321928094887362,1.4379965542475266,0.38068859349527595
pythia-410m,draw_3,6,2.321928094887362,1.4503679315556122,0.3753605312976024
pythia-410m,draw_3,7,2.321928094887362,1.4635309935522511,0.36969150906318327
pythia-410m,draw_3,8,2.321928094887362,1.4556768483761195,0.37307410527424834
pythia-410m,draw_3,9,2.321928094887362,1.4844079418030236,0.3607002968474642
pythia-410m,draw_3,10,2.321928094887362,1.437673690352526,0.38082764340630104
pythia-410m,draw_3,11,2.321928094887362,1.4876068813020482,0.35932258859453925
pythia-410m,draw_3,12,2.321928094887362,1.5098236296255774,0.34975435589497894
pythia-410m,draw_3,13,2.321928094887362,1.493406702681244,0.3568247414855067
pythia-410m,draw_3,14,2.321928094887362,1.4483321751700964,0.37623728385079225
pythia-410m,draw_3,15,2.321928094887362,1.4317851941001867,0.38336368070448656
pythia-410m,draw_3,16,2.321928094887362,1.4127961022593571,0.3915418374194346
pythia-410m,draw_3,17,2.321928094887362,1.492793865735558,0.35708867599193506
pythia-410m,draw_3,18,2.321928094887362,1.5624333554483638,0.3270965802564363
pythia-410m,draw_3,19,2.321928094887362,1.5461981693032087,0.33408869434511257
pythia-410m,draw_3,20,2.321928094887362,1.6038958372680803,0.3092396612971402
pythia-410m,draw_3,21,2.321928094887362,1.5741269304591976,0.3220604316191974
pythia-410m,draw_3,22,2.321928094887362,1.428717165400442,0.38468500874496303
pythia-410m,draw_3,23,2.321928094887362,1.3658698502500624,0.41175187411808234
pythia-1b,draw_1,0,2.321928094887362,1.2015720836418016,0.4825110707400737
pythia-1b,draw_1,1,2.321928094887362,1.1964004086865552,0.48473838990927365
pythia-1b,draw_1,2,2.321928094887362,1.2538474385023757,0.45999730083665646
pythia-1b,draw_1,3,2.321928094887362,1.3065021776130847,0.43732013903020384
pythia-1b,draw_1,4,2.321928094887362,1.3233569743591542,0.4300611731805799
pythia-1b,draw_1,5,2.321928094887362,1.3051147647933559,0.43791766520803155
pythia-1b,draw_1,6,2.321928094887362,1.338409014416364,0.423578612376758
