model,draw,layer,mi_probe,mi_fano,probe_accuracy,method
pythia-70m,draw_1,0,0.780151149246519,0.4337443154486309,0.5519999999999999,probe
pythia-70m,draw_1,1,0.8336688166098649,0.4461002540601031,0.5573333333333335,probe
pythia-70m,draw_1,2,0.9260912092897806,0.5259889047405473,0.5902222222222222,probe
pythia-70m,draw_1,3,0.9674099614244831,0.5788934510259396,0.6106666666666667,probe
pythia-70m,draw_1,4,0.9406435934326742,0.5602065130377438,0.6035555555555555,probe
pythia-70m,draw_1,5,0.8335458406538718,0.5015706353150591,0.5804444444444444,probe
pythia-70m,draw_2,0,0.754806418913097,0.32638678821862666,0.5022222222222222,probe
pythia-70m,draw_2,1,0.863826421373642,0.42966256407980796,0.5502222222222223,probe
pythia-70m,draw_2,2,0.9353654682977333,0.503767017177067,0.5813333333333335,probe
pythia-70m,draw_2,3,0.8987171697662597,0.45862252970300377,0.5626666666666666,probe
pythia-70m,draw_2,4,0.8930190833419491,0.5015706353150591,0.5804444444444444,probe
pythia-70m,draw_2,5,0.8004600034467904,0.4035797172294946,0.5386666666666666,probe
pythia-70m,draw_3,0,0.7093996504112507,0.301785176902565,0.48977777777777776,probe
pythia-70m,draw_3,1,0.7932762049176789,0.3763574582789442,0.5262222222222223,probe
pythia-70m,draw_3,2,0.8962687525512347,0.47344266230210885,0.5688888888888888,probe
pythia-70m,draw_3,3,0.8996935519091549,0.49283188866387095,0.5768888888888888,probe
pythia-70m,draw_3,4,0.9077897167895763,0.521506919677067,0.5884444444444443,probe
pythia-70m,draw_3,5,0.8189990421179236,0.4670633349055868,0.5662222222222223,probe
pythia-160m,draw_1,0,0.8100554220181913,0.47557839742608876,0.5697777777777778,probe
pythia-160m,draw_1,1,0.8321346038512811,0.45862252970300377,0.5626666666666666,probe
pythia-160m,draw_1,2,0.8897249440681718,0.557892122983304,0.6026666666666666,probe
pythia-160m,draw_1,3,0.92631197572582,0.555582493264811,0.6017777777777777,probe
pythia-160m,draw_1,4,0.992067924756431,0.5812508527001228,0.6115555555555556,probe
pythia-160m,draw_1,5,1.0203624913932727,0.6171900226695621,0.6248888888888888,probe
pythia-160m,draw_1,6,1.109997287802575,0.6949509913021563,0.6524444444444444,probe
pythia-160m,draw_1,7,1.1471012670609728,0.7263398917849633,0.663111111111111,probe
pythia-160m,draw_1,8,1.1135058276915377,0.7001319179897094,0.6542222222222221,probe
pythia-160m,draw_1,9,1.061099087871435,0.6074998766350845,0.6213333333333333,probe
pythia-160m,draw_1,10,0.9908678745406894,0.560206513037744,0.6035555555555556,probe
pythia-160m,draw_1,11,1.0376511353864477,0.6123352418285122,0.6231111111111111,probe
pythia-160m,draw_2,0,0.7671047692951316,0.3840436867418673,0.5297777777777777,probe
pythia-160m,draw_2,1,0.8282803231060303,0.4035797172294946,0.5386666666666666,probe
pythia-160m,draw_2,2,0.8272014138341555,0.38404368674186773,0.5297777777777778,probe
pythia-160m,draw_2,3,0.9024227394659936,0.48201351349336585,0.5724444444444444,probe
pythia-160m,draw_2,4,0.9634672555084727,0.5259889047405473,0.5902222222222222,probe
pythia-160m,draw_2,5,0.9536548408173926,0.5486821302094065,0.599111111111111,probe
pythia-160m,draw_2,6,1.0549797356838502,0.6220642556776397,0.6266666666666667,probe
pythia-160m,draw_2,7,1.0649695757056081,0.6074998766350845,0.6213333333333333,probe
pythia-160m,draw_2,8,1.0190610287445767,0.5695117501102025,0.6071111111111112,probe
pythia-160m,draw_2,9,0.9484320715095258,0.5372764021058603,0.5946666666666667,probe
pythia-160m,draw_2,10,0.9575918796554475,0.5648495887791118,0.6053333333333334,probe
pythia-160m,draw_2,11,0.9980674437547319,0.6026838912273913,0.6195555555555556,probe
pythia-160m,draw_3,0,0.7445083470958558,0.4055585294219264,0.5395555555555556,probe
pythia-160m,draw_3,1,0.8380760705527561,0.4481757376366502,0.5582222222222223,probe
pythia-160m,draw_3,2,0.8450299524923257,0.423574478756819,0.5475555555555556,probe
pythia-160m,draw_3,3,0.8984364534918992,0.4670633349055866,0.5662222222222222,probe
pythia-160m,draw_3,4,0.9526340293615347,0.5259889047405473,0.5902222222222222,probe
pythia-160m,draw_3,5,0.9944294342928301,0.6269579780363441,0.6284444444444445,probe
pythia-160m,draw_3,6,1.0346189002037918,0.6343351870990346,0.6311111111111112,probe
pythia-160m,draw_3,7,1.0615415155543797,0.6975389381689958,0.6533333333333333,probe
pythia-160m,draw_3,8,1.0932937931829931,0.6872172883447796,0.6497777777777778,probe
pythia-160m,draw_3,9,0.9722097164413697,0.5859800555557773,0.6133333333333334,probe
pythia-160m,draw_3,10,0.936086204497776,0.5532776202723237,0.6008888888888888,probe
