model,draw,layer,mi,efficiency,d_model,model_capacity
pythia-70m,draw_1,0,0.7587233504540193,0.0014818815438555064,512,70
pythia-70m,draw_1,1,0.5490447180190007,0.0010723529648808607,512,70
pythia-70m,draw_1,2,0.587116223190385,0.0011467113734187208,512,70
pythia-70m,draw_1,3,0.5381614211169009,0.001051096525618947,512,70
pythia-70m,draw_1,4,0.6274900368773882,0.001225566478276149,512,70
pythia-70m,draw_1,5,0.6654684099077836,0.0012997429881011398,512,70
pythia-70m,draw_2,0,0.7286482597842364,0.0014231411323910868,512,70
pythia-70m,draw_2,1,0.6361424858774771,0.0012424657927294475,512,70
pythia-70m,draw_2,2,0.5555311265029182,0.0010850217314510122,512,70
pythia-70m,draw_2,3,0.5300442331136382,0.0010352426428000747,512,70
pythia-70m,draw_2,4,0.6163791993076868,0.0012038656236478258,512,70
pythia-70m,draw_2,5,0.6187368327013998,0.0012084703763699215,512,70
pythia-70m,draw_3,0,0.6879716270465801,0.0013436945840753518,512,70
pythia-70m,draw_3,1,0.5869864941116966,0.0011464579963119074,512,70
pythia-70m,draw_3,2,0.6005131580109248,0.0011728772617400874,512,70
pythia-70m,draw_3,3,0.5015592601206108,0.000979607929923068,512,70
pythia-70m,draw_3,4,0.589022014290822,0.0011504336216617617,512,70
pythia-70m,draw_3,5,0.6239683811523182,0.0012186882444381215,512,70
pythia-160m,draw_1,0,0.8460861445474569,0.0011016746673795012,768,160
pythia-160m,draw_1,1,0.8664427678078476,0.0011281806872498015,768,160
pythia-160m,draw_1,2,0.8026524038829718,0.0010451203175559527,768,160
pythia-160m,draw_1,3,0.76898860960573,0.0010012872520907942,768,160
pythia-160m,draw_1,4,0.7838934591007275,0.0010206946082040723,768,160
pythia-160m,draw_1,5,0.8321785039551061,0.001083565760358211,768,160
pythia-160m,draw_1,6,0.8991367277248802,0.0011707509475584377,768,160
pythia-160m,draw_1,7,0.8865308732251426,0.0011543370745119043,768,160
pythia-160m,draw_1,8,0.7098966159241696,0.0009243445519845958,768,160
pythia-160m,draw_1,9,0.677818009503799,0.0008825755332080716,768,160
pythia-160m,draw_1,10,0.7488983161235953,0.0009751280157859313,768,160
pythia-160m,draw_1,11,0.6915694836428344,0.000900481098493274,768,160
pythia-160m,draw_2,0,0.8505572092931524,0.0011074963662671255,768,160
pythia-160m,draw_2,1,0.8751585398306461,0.0011395293487378203,768,160
pythia-160m,draw_2,2,0.8651784623898192,0.0011265344562367437,768,160
pythia-160m,draw_2,3,0.7562861817356522,0.0009847476324682971,768,160
pythia-160m,draw_2,4,0.8402399345363384,0.0010940624147608572,768,160
pythia-160m,draw_2,5,0.8742860239782613,0.001138393260388361,768,160
pythia-160m,draw_2,6,0.9216711526809525,0.00120009264671999,768,160
pythia-160m,draw_2,7,0.8996515295586824,0.001171421262446201,768,160
pythia-160m,draw_2,8,0.7887889530780535,0.0010270689493203822,768,160
