model,draw,layer,delta_mi,cumulative_mi
pythia-70m,draw_1,0,0.7587233504540193,0.7587233504540193
pythia-70m,draw_1,1,-0.2096786324350186,0.5490447180190007
pythia-70m,draw_1,2,0.03807150517138436,0.587116223190385
pythia-70m,draw_1,3,-0.04895480207348413,0.5381614211169009
pythia-70m,draw_1,4,0.08932861576048734,0.6274900368773882
pythia-70m,draw_1,5,0.03797837303039531,0.6654684099077836
pythia-70m,draw_2,0,0.7286482597842364,0.7286482597842364
pythia-70m,draw_2,1,-0.09250577390675929,0.6361424858774771
pythia-70m,draw_2,2,-0.08061135937455888,0.5555311265029182
pythia-70m,draw_2,3,-0.025486893389280008,0.5300442331136382
pythia-70m,draw_2,4,0.08633496619404857,0.6163791993076868
pythia-70m,draw_2,5,0.0023576333937129768,0.6187368327013998
pythia-70m,draw_3,0,0.6879716270465801,0.6879716270465801
pythia-70m,draw_3,1,-0.10098513293488354,0.5869864941116966
pythia-70m,draw_3,2,0.013526663899228186,0.6005131580109248
pythia-70m,draw_3,3,-0.09895389789031395,0.5015592601206108
pythia-70m,draw_3,4,0.08746275417021121,0.589022014290822
pythia-70m,draw_3,5,0.034946366861496214,0.6239683811523182
pythia-160m,draw_1,0,0.8460861445474569,0.8460861445474569
pythia-160m,draw_1,1,0.02035662326039067,0.8664427678078476
pythia-160m,draw_1,2,-0.0637903639248758,0.8026524038829718
pythia-160m,draw_1,3,-0.033663794277241754,0.76898860960573
pythia-160m,draw_1,4,0.014904849494997485,0.7838934591007275
pythia-160m,draw_1,5,0.04828504485437857,0.8321785039551061
pythia-160m,draw_1,6,0.06695822376977412,0.8991367277248802
pythia-160m,draw_1,7,-0.012605854499737612,0.8865308732251426
pythia-160m,draw_1,8,-0.17663425730097293,0.7098966159241696
pythia-160m,draw_1,9,-0.03207860642037064,0.677818009503799
pythia-160m,draw_1,10,0.07108030661979625,0.7488983161235953
pythia-160m,draw_1,11,-0.057328832480760816,0.6915694836428344
pythia-160m,draw_2,0,0.8505572092931524,0.8505572092931524
