model,draw,model_capacity,n_layers,d_model,peak_mi_ksg,peak_mi_ksg_layer,peak_mi_ksg_layer_frac,peak_delta_mi,peak_delta_mi_layer,peak_efficiency,min_h_y_given_x,max_info_fraction,mean_info_loss,max_info_loss,mean_fractional_loss
pythia-70m,draw_1,70,6,512,0.7587233504540193,0,0.0,0.7587233504540193,0,0.0014818815438555064,1.5632047444333428,0.32676436110344986,0.004365790258123022,0.014950068181959653,0.007129936059713904
pythia-70m,draw_2,70,6,512,0.7286482597842364,0,0.0,0.7286482597842364,0,0.0014231411323910868,1.5932798351031257,0.3138117245700426,0.004926301869922933,0.011372620146336221,0.007965038440044597
pythia-70m,draw_3,70,6,512,0.6879716270465801,0,0.0,0.6879716270465801,0,0.0013436945840753518,1.633956467840782,0.2962932523885732,0.003142061243624872,0.014723026020512342,0.005575762341859723
pythia-160m,draw_1,160,12,768,0.8991367277248802,6,0.5454545454545454,0.8460861445474569,0,0.0011707509475584377,1.422791367162482,0.387237111133925,0.01614491393946089,0.04381690769272428,0.020011626020818556
pythia-160m,draw_2,160,12,768,0.9216711526809525,6,0.5454545454545454,0.8505572092931524,0,0.00120009264671999,1.4002569422064097,0.3969421597121694,0.00919095810950743,0.04308366528679619,0.011171485651872115
pythia-160m,draw_3,160,12,768,0.8965985893284821,6,0.5454545454545454,0.882677506231046,0,0.0011674460798547944,1.4253295055588802,0.38614399442545033,0.02120604886299664,0.04702094913475874,0.025917153873240922
pythia-410m,draw_1,410,24,1024,0.9778881944393776,23,1.0,0.8611591287619128,0,0.0009549689398822047,1.3440399004479846,0.42115352176175613,-0.00833185637684499,0.021251246170892135,-0.010198932236169984
pythia-410m,draw_2,410,24,1024,1.0221014438772276,23,1.0,0.8933733637120653,0,0.000998145941286355,1.2998266510101346,0.44019513185088976,-0.012201071845304825,0.025186236541754337,-0.014921620633377526
pythia-410m,draw_3,410,24,1024,0.9698169318869908,3,0.13043478260869565,0.8515934913031323,0,0.0009470868475458895,1.3521111630003713,0.4176774181863876,-0.010955710611857827,0.02086731192169189,-0.013749666878863588
pythia-1b,draw_1,1000,16,2048,1.2246518504763797,13,0.8666666666666667,1.0930626244250436,0,0.0005979745363654198,1.0972762444109825,0.5274288438013788,-0.003586031077497602,0.049115834045521556,-0.002217579115178608
pythia-1b,draw_2,1000,16,2048,1.197708686605872,13,0.8666666666666667,1.1556501944363133,0,0.0005848186946317734,1.1242194082814903,0.5158250547220211,-0.020457949693767463,0.06885009284252286,-0.020766014447226925
pythia-1b,draw_3,1000,16,2048,1.1904227417007107,13,0.8666666666666667,1.1003401588920914,0,0.0005812611043460502,1.1315053531866515,0.512687169047954,-0.007217779978004872,0.06980526449077007,-0.007632716717538582
pythia-1.4b,draw_1,1400,24,2048,1.1999214199977224,22,0.9565217391304348,0.9951427706010411,0,0.0005858991308582629,1.1220066748896398,0.5167780271231575,,,
pythia-1.4b,draw_2,1400,24,2048,1.152886413080117,2,0.08695652173913043,0.9963073311791989,0,0.0005629328188867759,1.169041681807245,0.4965211522349249,,,
pythia-1.4b,draw_3,1400,24,2048,1.1068853995985746,1,0.043478260869565216,0.9715155595763758,0,0.0005404713865227415,1.2150426952887876,0.4767095940808064,,,
