model,draw,layer,base_efficiency,circuit_efficiency,delta_efficiency
pythia-70m,draw_1,0.0,0.0014818815438555,0.0014818815438555064,6.5052130349130266e-18
pythia-70m,draw_1,1.0,0.0011015523167987,0.0010723529648808607,-2.9199351917839206e-05
pythia-70m,draw_1,2.0,0.0011291347718497,0.0011467113734187208,1.7576601569020776e-05
pythia-70m,draw_1,3.0,0.001055477737292,0.001051096525618947,-4.381211673052917e-06
pythia-70m,draw_1,4.0,0.001248545218489,0.001225566478276149,-2.2978740212851187e-05
pythia-70m,draw_1,5.0,0.0013119218904536,0.0012997429881011398,-1.2178902352460172e-05
pythia-70m,draw_2,0.0,0.001423141132391,0.0014231411323910868,8.673617379884035e-17
pythia-70m,draw_2,1.0,0.0012646779414527,0.0012424657927294475,-2.2212148723252433e-05
pythia-70m,draw_2,2.0,0.0011016300580384,0.0010850217314510122,-1.6608326587387763e-05
pythia-70m,draw_2,3.0,0.0010327502546192,0.0010352426428000747,2.492388180874586e-06
pythia-70m,draw_2,4.0,0.0012113334430764,0.0012038656236478258,-7.4678194285741906e-06
pythia-70m,draw_2,5.0,0.0012224045698495,0.0012084703763699215,-1.3934193479578447e-05
pythia-70m,draw_3,0.0,0.0013436945840753,0.0013436945840753518,5.182486384480711e-17
pythia-70m,draw_3,1.0,0.0011620471319151,0.0011464579963119074,-1.5589135603192618e-05
pythia-70m,draw_3,2.0,0.0011535284810216,0.0011728772617400874,1.934878071848745e-05
pythia-70m,draw_3,3.0,0.0009943527115171,0.000979607929923068,-1.4744781594032029e-05
pythia-70m,draw_3,4.0,0.001179189531858,0.0011504336216617617,-2.8755910196238358e-05
pythia-70m,draw_3,5.0,0.0012157682279616,0.0012186882444381215,2.920016476521542e-06
pythia-160m,draw_1,0.0,0.0011094116826874,0.0011016746673795012,-7.737015307898677e-06
pythia-160m,draw_1,1.0,0.0011329609657649,0.0011281806872498015,-4.7802785150985894e-06
pythia-160m,draw_1,2.0,0.0010718863886937,0.0010451203175559527,-2.6766071137747285e-05
pythia-160m,draw_1,3.0,0.0010583405173156,0.0010012872520907942,-5.705326522480571e-05
pythia-160m,draw_1,4.0,0.0010687290448868,0.0010206946082040723,-4.8034436682727706e-05
pythia-160m,draw_1,5.0,0.001109983097266,0.001083565760358211,-2.6417336907789144e-05
pythia-160m,draw_1,6.0,0.0011805553832422,0.0011707509475584377,-9.804435683762264e-06
pythia-160m,draw_1,7.0,0.0011659206598133,0.0011543370745119043,-1.158358530139558e-05
pythia-160m,draw_1,8.0,0.0009380584110703,0.0009243445519845958,-1.37138590857041e-05
pythia-160m,draw_1,9.0,0.0008783990066249,0.0008825755332080716,4.1765265831715396e-06
pythia-160m,draw_1,10.0,0.000977736887046,0.0009751280157859313,-2.6088712600686207e-06
pythia-160m,draw_1,11.0,0.0009484227502729,0.000900481098493274,-4.794165177962595e-05
pythia-160m,draw_2,0.0,0.0011176225104435,0.0011074963662671255,-1.0126144176374457e-05
pythia-160m,draw_2,1.0,0.0011590753256728,0.0011395293487378203,-1.954597693497968e-05
pythia-160m,draw_2,2.0,0.0011493682504321,0.0011265344562367437,-2.283379419535628e-05
pythia-160m,draw_2,3.0,0.0010299642873756,0.0009847476324682971,-4.521665490730292e-05
pythia-160m,draw_2,4.0,0.0011301596189612,0.0010940624147608572,-3.609720420034274e-05
pythia-160m,draw_2,5.0,0.0011227857445716,0.001138393260388361,1.5607515816760996e-05
pythia-160m,draw_2,6.0,0.0011903654141027,0.00120009264671999,9.727232617290187e-06
pythia-160m,draw_2,7.0,0.0011823884020104,0.001171421262446201,-1.0967139564198921e-05
pythia-160m,draw_2,8.0,0.0010030939514585,0.0010270689493203822,2.3974997861882274e-05
pythia-160m,draw_2,9.0,0.0009463012591475,0.000953093616684783,6.7923575372830225e-06
pythia-160m,draw_2,10.0,0.0010148695323269,0.0010160441445206069,1.174612193706806e-06
pythia-160m,draw_2,11.0,0.0009763114281163,0.0009202129056075377,-5.6098522508762254e-05
pythia-160m,draw_3,0.0,0.0011506372811038,0.0011493196695716746,-1.317611532125531e-06
pythia-160m,draw_3,1.0,0.0011275192055355,0.001100287927941651,-2.7231277593849123e-05
pythia-160m,draw_3,2.0,0.0010795755880415,0.0010412557130582243,-3.8319874983275704e-05
pythia-160m,draw_3,3.0,0.0010853896161016,0.0010317016814465271,-5.368793465507292e-05
pythia-160m,draw_3,4.0,0.0011370992671777,0.0011063516242853517,-3.074764289234832e-05
pythia-160m,draw_3,5.0,0.00114552714075,0.0011198083823668761,-2.5718758383123756e-05
pythia-160m,draw_3,6.0,0.001189996653656,0.0011674460798547944,-2.255057380120564e-05
pythia-160m,draw_3,7.0,0.0011051337892777,0.0010847004170102886,-2.043337226741138e-05
pythia-160m,draw_3,8.0,0.0009533935884633,0.0009381987074920797,-1.5194880971220294e-05
pythia-160m,draw_3,9.0,0.0008927195647487,0.0008965840190585475,3.864454309847462e-06
pythia-160m,draw_3,10.0,0.0010177267321821,0.0009789448856539259,-3.878184652817405e-05
pythia-160m,draw_3,11.0,0.0009551058324689,0.0008938806382830997,-6.122519418580029e-05
pythia-410m,draw_1,0.0,0.0008480516927812,0.0008409757116815555,-7.075981099644501e-06
pythia-410m,draw_1,1.0,0.0009386447731285,0.0009196095586514361,-1.903521447706386e-05
pythia-410m,draw_1,2.0,0.0009232876934386,0.0009125052999990312,-1.0782393439568772e-05
pythia-410m,draw_1,3.0,0.0009588109700224,0.0009482445724216213,-1.0566397600778737e-05
pythia-410m,draw_1,4.0,0.0008737413724955,0.0008603143490658922,-1.3427023429607747e-05
pythia-410m,draw_1,5.0,0.000852978707501,0.0008322255374123021,-2.0753170088697883e-05
pythia-410m,draw_1,6.0,0.0008559817361257,0.000852536757682109,-3.4449784435910307e-06
pythia-410m,draw_1,7.0,0.0008209662820832,0.000817533334042052,-3.432948041148017e-06
pythia-410m,draw_1,8.0,0.0007849104443253,0.0007825096205553487,-2.400823769951291e-06
pythia-410m,draw_1,9.0,0.0007672917379103,0.0007584496129674141,-8.842124942885906e-06
pythia-410m,draw_1,10.0,0.0007900611844223,0.0008020482351495395,1.1987050727239445e-05
pythia-410m,draw_1,11.0,0.000835764885413,0.0008564647404591452,2.0699855046145215e-05
pythia-410m,draw_1,12.0,0.0008055504961164,0.0008324444605100869,2.6893964393686926e-05
pythia-410m,draw_1,13.0,0.0007900216572957,0.0008155894981439323,2.556784084823229e-05
pythia-410m,draw_1,14.0,0.0008428097621102,0.0008590926586327568,1.628289652255688e-05
pythia-410m,draw_1,15.0,0.000871998892814,0.0008836478191289127,1.164892631491264e-05
pythia-410m,draw_1,16.0,0.0009096496163164,0.0009276567424418188,1.800712612541871e-05
pythia-410m,draw_1,17.0,0.0008341506075478,0.0008535491509391806,1.9398543391380618e-05
pythia-410m,draw_1,18.0,0.0007610240951231,0.0007692583866682791,8.234291545179033e-06
pythia-410m,draw_1,19.0,0.0007635933730518,0.000791181897657589,2.758852460578898e-05
pythia-410m,draw_1,20.0,0.0007339774658368,0.0007398508450648302,5.873379228030153e-06
pythia-410m,draw_1,21.0,0.0007416728552067,0.0007589577314829489,1.7284876276248834e-05
pythia-410m,draw_1,22.0,0.0008114408934519,0.0008441046281817479,3.266373472984787e-05
pythia-410m,draw_1,23.0,0.0009020610104705,0.0009549689398822047,5.290792941170465e-05
