model,band,metric,mean,std,cv
pythia-70m,low,convergence_layer,4.724444444444444,0.04682512779045681,0.009911245299014848
pythia-70m,low,frac_convergence,0.7874074074074073,0.007804187965076153,0.009911245299014871
pythia-70m,low,final_prob_correct,0.11200461288293202,0.020872188449814214,0.18635115030155022
pythia-70m,low,mean_attn_frac,0.45275401149861816,0.009959583518805241,0.021997780838736176
pythia-70m,medium,convergence_layer,4.631111111111111,0.06928203230275515,0.014960131735239834
pythia-70m,medium,frac_convergence,0.7718518518518519,0.011547005383792525,0.014960131735239834
pythia-70m,medium,final_prob_correct,0.16390002767244974,0.008854519158224454,0.05402390276541013
pythia-70m,medium,mean_attn_frac,0.4701209294598278,0.011197260237865714,0.023817829703373223
pythia-70m,high,convergence_layer,4.5051851851851845,0.03335801555317827,0.007404360571652528
pythia-70m,high,frac_convergence,0.7508641975308642,0.005559669258863045,0.007404360571652527
pythia-70m,high,final_prob_correct,0.20282910267512003,0.006888730405227473,0.033963224775792875
pythia-70m,high,mean_attn_frac,0.49739621223446057,0.007333801043918725,0.014744384584219044
pythia-70m,very_high,convergence_layer,4.340740740740741,0.04451845689279019,0.010255958499192279
pythia-70m,very_high,frac_convergence,0.7234567901234569,0.007419742815465059,0.010255958499192317
pythia-70m,very_high,final_prob_correct,0.2819574475288391,0.019957921148376346,0.07078345091890156
pythia-70m,very_high,mean_attn_frac,0.5336067435132124,0.006549827828166674,0.012274634658931175
pythia-70m,control,convergence_layer,4.36,0.03111111111111109,0.007135575942915387
pythia-70m,control,frac_convergence,0.7266666666666667,0.005185185185185165,0.007135575942915365
pythia-70m,control,final_prob_correct,0.24382348358631134,0.017447988462185433,0.07155991787808659
pythia-70m,control,mean_attn_frac,0.5253606310156349,0.008479657952845656,0.016140642165083166
pythia-160m,low,convergence_layer,9.551111111111112,0.02703450013465889,0.0028305083900875988
pythia-160m,low,frac_convergence,0.795925925925926,0.002252875011221565,0.002830508390087587
pythia-160m,low,final_prob_correct,0.41422542929649353,0.00847427215765176,0.020458116663779374
pythia-160m,low,mean_attn_frac,0.3942758065744097,0.006359192283963287,0.016128791515801894
pythia-160m,medium,convergence_layer,9.219259259259259,0.14889441670224854,0.016150366587500846
pythia-160m,medium,frac_convergence,0.7682716049382715,0.012407868058520694,0.016150366587500825
pythia-160m,medium,final_prob_correct,0.45760680238405865,0.0007647110386049957,0.00167110942105968
pythia-160m,medium,mean_attn_frac,0.39555785346070294,0.003675969311013105,0.00929312685578697
pythia-160m,high,convergence_layer,8.94814814814815,0.022369879808209477,0.002499945177241953
