model,draw,band,layer,mean_kl,median_kl,std_kl
pythia-70m,draw_1,low,0,14.716373443603516,14.644838333129883,2.3387465476989746
pythia-70m,draw_1,low,1,15.03766918182373,14.866032600402832,2.131124973297119
pythia-70m,draw_1,low,2,13.905808448791504,14.776762008666992,3.6472818851470947
pythia-70m,draw_1,low,3,10.510175704956055,10.760534286499023,3.4023053646087646
pythia-70m,draw_1,low,4,8.024653434753418,8.070266723632812,2.3968424797058105
pythia-70m,draw_1,low,5,0.0,0.0,0.0
pythia-70m,draw_1,medium,0,15.544215202331543,15.191259384155273,2.4747042655944824
pythia-70m,draw_1,medium,1,15.627354621887207,15.18242073059082,2.3861074447631836
pythia-70m,draw_1,medium,2,14.305536270141602,14.773778915405273,3.9077913761138916
pythia-70m,draw_1,medium,3,10.363784790039062,10.493514060974121,3.4415197372436523
pythia-70m,draw_1,medium,4,7.4019670486450195,7.642048358917236,2.4543521404266357
pythia-70m,draw_1,medium,5,0.0,0.0,0.0
pythia-70m,draw_1,high,0,15.716496467590332,15.366576194763184,2.878077745437622
pythia-70m,draw_1,high,1,15.777636528015137,15.613168716430664,2.7635228633880615
pythia-70m,draw_1,high,2,14.48900318145752,15.149116516113281,4.072778224945068
pythia-70m,draw_1,high,3,9.577310562133789,9.947037696838379,3.6100332736968994
pythia-70m,draw_1,high,4,6.930964946746826,7.024196147918701,2.6778149604797363
pythia-70m,draw_1,high,5,0.0,0.0,0.0
pythia-70m,draw_1,very_high,0,16.36310577392578,16.021865844726562,2.627739429473877
pythia-70m,draw_1,very_high,1,16.337526321411133,15.892702102661133,2.466099500656128
pythia-70m,draw_1,very_high,2,15.685957908630371,15.769145965576172,3.507265329360962
pythia-70m,draw_1,very_high,3,10.507244110107422,10.786593437194824,3.52337646484375
pythia-70m,draw_1,very_high,4,7.257257461547852,7.409579753875732,3.0225815773010254
pythia-70m,draw_1,very_high,5,0.0,0.0,0.0
pythia-70m,draw_1,control,0,15.99535846710205,15.859325408935547,2.245181083679199
pythia-70m,draw_1,control,1,15.8733491897583,15.827224731445312,2.368551254272461
pythia-70m,draw_1,control,2,15.481925964355469,15.808730125427246,2.993701457977295
pythia-70m,draw_1,control,3,10.811434745788574,11.025527954101562,3.1757116317749023
pythia-70m,draw_1,control,4,7.721084117889404,7.719053745269775,2.631182909011841
pythia-70m,draw_1,control,5,0.0,0.0,0.0
pythia-70m,draw_2,low,0,15.155491828918457,14.736595153808594,2.3637535572052
pythia-70m,draw_2,low,1,15.312973976135254,14.981928825378418,2.262094736099243
pythia-70m,draw_2,low,2,14.144953727722168,14.993404388427734,3.7589361667633057
pythia-70m,draw_2,low,3,10.441571235656738,10.637763023376465,3.513080596923828
pythia-70m,draw_2,low,4,7.908350467681885,8.050210952758789,2.6955671310424805
pythia-70m,draw_2,low,5,0.0,0.0,0.0
pythia-70m,draw_2,medium,0,15.743694305419922,15.227762222290039,2.4073362350463867
pythia-70m,draw_2,medium,1,15.742013931274414,15.41366958618164,2.435333251953125
pythia-70m,draw_2,medium,2,14.596012115478516,15.10085391998291,3.772076368331909
pythia-70m,draw_2,medium,3,10.76014232635498,11.175106048583984,3.562002658843994
pythia-70m,draw_2,medium,4,7.460526466369629,7.585143566131592,2.633291006088257
pythia-70m,draw_2,medium,5,0.0,0.0,0.0
pythia-70m,draw_2,high,0,15.854303359985352,15.585177421569824,2.4139389991760254
pythia-70m,draw_2,high,1,15.621228218078613,15.364245414733887,2.530513286590576
pythia-70m,draw_2,high,2,14.892993927001953,15.180604934692383,3.456101417541504
pythia-70m,draw_2,high,3,10.223432540893555,10.638561248779297,3.4462368488311768
pythia-70m,draw_2,high,4,7.1406707763671875,7.353986740112305,2.5083606243133545
pythia-70m,draw_2,high,5,0.0,0.0,0.0
pythia-70m,draw_2,very_high,0,16.49403953552246,16.418201446533203,2.4819204807281494
pythia-70m,draw_2,very_high,1,16.361797332763672,16.297996520996094,2.5346174240112305
pythia-70m,draw_2,very_high,2,15.834511756896973,16.22842025756836,3.4625189304351807
pythia-70m,draw_2,very_high,3,10.047647476196289,10.473836898803711,3.686746835708618
pythia-70m,draw_2,very_high,4,6.93919563293457,7.177191257476807,2.851682186126709
pythia-70m,draw_2,very_high,5,0.0,0.0,0.0
pythia-70m,draw_2,control,0,16.214479446411133,16.00310516357422,2.5901217460632324
pythia-70m,draw_2,control,1,15.94655990600586,15.707380294799805,2.69999098777771
pythia-70m,draw_2,control,2,15.326066970825195,15.59553337097168,3.491539478302002
pythia-70m,draw_2,control,3,10.32961368560791,10.679677963256836,3.7154457569122314
pythia-70m,draw_2,control,4,7.0671234130859375,7.442643165588379,2.8654520511627197
pythia-70m,draw_2,control,5,0.0,0.0,0.0
pythia-70m,draw_3,low,0,14.802156448364258,14.803836822509766,2.439318895339966
pythia-70m,draw_3,low,1,15.146018981933594,14.913187980651855,2.2269697189331055
pythia-70m,draw_3,low,2,13.435131072998047,14.421046257019043,3.8556947708129883
pythia-70m,draw_3,low,3,10.041193962097168,10.35637092590332,3.39347505569458
pythia-70m,draw_3,low,4,7.834111213684082,7.966098785400391,2.321762800216675
pythia-70m,draw_3,low,5,0.0,0.0,0.0
pythia-70m,draw_3,medium,0,15.42143440246582,15.056556701660156,2.5528793334960938
pythia-70m,draw_3,medium,1,15.5481538772583,14.996809005737305,2.431183099746704
pythia-70m,draw_3,medium,2,13.736075401306152,14.531185150146484,4.190883636474609
pythia-70m,draw_3,medium,3,9.65235424041748,9.787384986877441,3.673757553100586
pythia-70m,draw_3,medium,4,7.638692378997803,7.725767612457275,2.7428555488586426
pythia-70m,draw_3,medium,5,0.0,0.0,0.0
pythia-70m,draw_3,high,0,15.690790176391602,15.524775505065918,2.4766170978546143
pythia-70m,draw_3,high,1,15.77845287322998,15.512402534484863,2.558886766433716
pythia-70m,draw_3,high,2,14.72828197479248,15.170586585998535,3.6684646606445312
pythia-70m,draw_3,high,3,10.04854965209961,10.372762680053711,3.4974160194396973
pythia-70m,draw_3,high,4,7.234273910522461,7.330104827880859,2.653272867202759
pythia-70m,draw_3,high,5,0.0,0.0,0.0
pythia-70m,draw_3,very_high,0,16.787588119506836,16.72401237487793,2.3438236713409424
pythia-70m,draw_3,very_high,1,16.605539321899414,16.366703033447266,2.3857686519622803
