model,draw,band,model_capacity,n_layers,convergence_layer,frac_convergence,frac_converged,final_prob_correct,final_mean_rank,final_frac_top1,mean_attn_frac,mean_mlp_frac,frequency_rank
pythia-70m,draw_1,low,70,6,4.6755555555555555,0.7792592592592592,1.0,0.10082527250051498,2140.617777777778,0.28444444444444444,0.457560903604668,0.5424390963864577,1.0
pythia-70m,draw_1,medium,70,6,4.551111111111111,0.7585185185185185,1.0,0.17088404297828674,1177.351111111111,0.4222222222222222,0.4761453620315263,0.5238546379595881,2.0
pythia-70m,draw_1,high,70,6,4.506666666666667,0.7511111111111112,1.0,0.2091444879770279,686.9866666666667,0.4577777777777778,0.4915767536324631,0.5084232463590782,3.0
pythia-70m,draw_1,very_high,70,6,4.306666666666667,0.7177777777777777,1.0,0.2620950937271118,71.4088888888889,0.6444444444444445,0.5378316346239252,0.4621683653680784,4.0
pythia-70m,draw_1,control,70,6,4.373333333333333,0.7288888888888888,1.0,0.2257736772298813,186.04,0.5955555555555555,0.5347881426270539,0.4652118573650969,
pythia-70m,draw_2,low,70,6,4.728888888888889,0.7881481481481482,1.0,0.13608522713184357,2571.866666666667,0.36,0.45939841851019664,0.5406015814800379,1.0
pythia-70m,draw_2,medium,70,6,4.671111111111111,0.7785185185185185,1.0,0.16687487065792084,1202.2,0.40444444444444444,0.4770162000387834,0.5229837999524315,2.0
pythia-70m,draw_2,high,70,6,4.471111111111111,0.7451851851851852,1.0,0.20385967195034027,208.70666666666668,0.5333333333333333,0.49497817803315264,0.5050218219579662,3.0
pythia-70m,draw_2,very_high,70,6,4.391111111111111,0.7318518518518519,1.0,0.28176766633987427,122.36888888888889,0.6488888888888888,0.5260617142350228,0.4739382857571381,4.0
pythia-70m,draw_2,control,70,6,4.3822222222222225,0.7303703703703704,1.0,0.24509689211845398,267.3377777777778,0.56,0.5229373156936926,0.47706268429771487,
pythia-70m,draw_3,low,70,6,4.768888888888889,0.7948148148148149,1.0,0.09910333901643753,2329.9155555555553,0.2577777777777778,0.4413027123809898,0.5586972876102111,1.0
pythia-70m,draw_3,medium,70,6,4.671111111111111,0.7785185185185185,1.0,0.15394116938114166,2092.791111111111,0.37333333333333335,0.4572012263091736,0.5427987736812733,2.0
pythia-70m,draw_3,high,70,6,4.5377777777777775,0.7562962962962962,1.0,0.19548314809799194,352.7111111111111,0.5155555555555555,0.5056337050377661,0.49436629495426887,3.0
pythia-70m,draw_3,very_high,70,6,4.3244444444444445,0.7207407407407408,1.0,0.30200958251953125,53.01777777777778,0.7066666666666667,0.5369268816806889,0.4630731183109819,4.0
pythia-70m,draw_3,control,70,6,4.3244444444444445,0.7207407407407408,1.0,0.26059988141059875,75.44444444444444,0.6311111111111111,0.5183564347261583,0.4816435652663161,
pythia-160m,draw_1,low,160,12,9.533333333333333,0.7944444444444444,1.0,0.4066371023654938,0.18222222222222223,0.9244444444444444,0.3999486954933244,0.6000513044947471,1.0
pythia-160m,draw_1,medium,160,12,9.351111111111111,0.7792592592592592,1.0,0.4568287134170532,0.057777777777777775,0.9555555555555556,0.39979542402353624,0.6002045759633753,2.0
pythia-160m,draw_1,high,160,12,8.96888888888889,0.7474074074074074,1.0,0.5052105188369751,0.1111111111111111,0.9688888888888889,0.40133281072563887,0.5986671892614266,3.0
pythia-160m,draw_1,very_high,160,12,8.72888888888889,0.7274074074074074,1.0,0.5615376830101013,0.044444444444444446,0.9733333333333334,0.4051308656844319,0.5948691343034398,4.0
pythia-160m,draw_1,control,160,12,8.866666666666667,0.7388888888888889,1.0,0.5169765949249268,0.013333333333333334,0.9866666666666667,0.4101635414627655,0.5898364585249303,
pythia-160m,draw_2,low,160,12,9.582222222222223,0.7985185185185185,1.0,0.41266924142837524,0.22666666666666666,0.9333333333333333,0.39547706876473016,0.6045229312227912,1.0
pythia-160m,draw_2,medium,160,12,9.057777777777778,0.7548148148148148,1.0,0.457634299993515,0.04,0.96,0.3936511935414348,0.6063488064469037,2.0
pythia-160m,draw_2,high,160,12,8.95111111111111,0.7459259259259259,1.0,0.5085474252700806,0.05333333333333334,0.96,0.3992094274396058,0.6007905725475438,3.0
pythia-160m,draw_2,very_high,160,12,8.795555555555556,0.7329629629629629,1.0,0.5468412041664124,0.04888888888888889,0.9688888888888889,0.41137099277587175,0.5886290072121764,4.0
pythia-160m,draw_2,control,160,12,8.72888888888889,0.7274074074074074,1.0,0.5171926021575928,0.03111111111111111,0.9733333333333334,0.4061278258057313,0.5938721741816043,
pythia-160m,draw_3,low,160,12,9.537777777777778,0.7948148148148149,1.0,0.4233699440956116,0.21777777777777776,0.9288888888888889,0.38740165546517463,0.6125983445229505,1.0
pythia-160m,draw_3,medium,160,12,9.248888888888889,0.7707407407407407,1.0,0.45835739374160767,0.19555555555555557,0.9555555555555556,0.39322694281713777,0.6067730571695068,2.0
pythia-160m,draw_3,high,160,12,8.924444444444445,0.7437037037037038,1.0,0.5074169039726257,0.1688888888888889,0.9511111111111111,0.3914658488158862,0.6085341511721689,3.0
pythia-160m,draw_3,very_high,160,12,8.493333333333334,0.7077777777777778,1.0,0.5325006246566772,0.05333333333333334,0.9644444444444444,0.40252939682290173,0.5974706031648155,4.0
pythia-160m,draw_3,control,160,12,8.475555555555555,0.7062962962962963,1.0,0.5098681449890137,0.05333333333333334,0.9733333333333334,0.4077364440748874,0.5922635559129982,
pythia-410m,draw_1,low,410,24,21.08888888888889,0.8787037037037037,1.0,0.5996444821357727,0.022222222222222223,0.9777777777777777,0.516589141622311,0.4834108582653518,1.0
pythia-410m,draw_1,medium,410,24,20.04888888888889,0.8353703703703704,1.0,0.5878000259399414,0.008888888888888889,0.9911111111111112,0.5263167985583385,0.4736832013219665,2.0
pythia-410m,draw_1,high,410,24,18.897777777777776,0.7874074074074073,1.0,0.5613569021224976,0.008888888888888889,0.9911111111111112,0.5391972044048735,0.4608027954768749,3.0
pythia-410m,draw_1,very_high,410,24,17.502222222222223,0.7292592592592593,1.0,0.5342928767204285,0.017777777777777778,0.9822222222222222,0.537574178322766,0.4624258215637236,4.0
pythia-410m,draw_1,control,410,24,17.835555555555555,0.7431481481481481,1.0,0.5092312693595886,0.013333333333333334,0.9911111111111112,0.5340426256984209,0.46595737418006217,
pythia-410m,draw_2,low,410,24,20.808888888888887,0.8670370370370369,1.0,0.6482852101325989,0.035555555555555556,0.9822222222222222,0.5190151593529949,0.48098484053206825,1.0
pythia-410m,draw_2,medium,410,24,19.968888888888888,0.832037037037037,1.0,0.5542446970939636,0.06666666666666667,0.9777777777777777,0.5277843906810417,0.47221560920839645,2.0
pythia-410m,draw_2,high,410,24,18.808888888888887,0.7837037037037037,1.0,0.5678635835647583,0.11555555555555555,0.9911111111111112,0.5407878330599137,0.45921216682419247,3.0
pythia-410m,draw_2,very_high,410,24,17.52888888888889,0.7303703703703704,1.0,0.5137859582901001,0.0044444444444444444,0.9955555555555555,0.5360808951363865,0.46391910474593084,4.0
pythia-410m,draw_2,control,410,24,17.72,0.7383333333333333,1.0,0.5203887224197388,0.013333333333333334,0.9911111111111112,0.5365227729895716,0.4634772268930929,
pythia-410m,draw_3,low,410,24,21.142222222222223,0.880925925925926,1.0,0.6203447580337524,0.022222222222222223,0.9866666666666667,0.5269521165160024,0.4730478833754353,1.0
pythia-410m,draw_3,medium,410,24,20.342222222222222,0.8475925925925926,1.0,0.5758283734321594,0.008888888888888889,0.9911111111111112,0.5241163997734687,0.4758836001052962,2.0
pythia-410m,draw_3,high,410,24,18.884444444444444,0.7868518518518518,1.0,0.5632392168045044,0.0044444444444444444,0.9955555555555555,0.5365401951876456,0.4634598046970519,3.0
pythia-410m,draw_3,very_high,410,24,17.657777777777778,0.7357407407407407,1.0,0.5304538011550903,0.0044444444444444444,0.9955555555555555,0.5291799215767706,0.4708200783119101,4.0
pythia-410m,draw_3,control,410,24,17.977777777777778,0.7490740740740741,1.0,0.548026442527771,0.013333333333333334,0.9866666666666667,0.5282132372025976,0.471786762678373,
pythia-1b,draw_1,low,1000,16,12.506666666666666,0.7816666666666666,1.0,0.6486461758613586,0.08,0.9733333333333334,0.5965315972483086,0.4034684026761429,1.0
pythia-1b,draw_1,medium,1000,16,11.88888888888889,0.7430555555555556,1.0,0.7119503021240234,10.697777777777778,0.9955555555555555,0.5962074283643244,0.4037925715594176,2.0
pythia-1b,draw_1,high,1000,16,11.386666666666667,0.7116666666666667,1.0,0.6321383118629456,0.02666666666666667,0.9822222222222222,0.6012971626314306,0.39870283728985667,3.0
pythia-1b,draw_1,very_high,1000,16,10.995555555555555,0.6872222222222222,1.0,0.5815550684928894,0.022222222222222223,0.9866666666666667,0.5961608128404043,0.40383918708218036,4.0
pythia-1b,draw_1,control,1000,16,11.164444444444445,0.6977777777777778,1.0,0.6104059219360352,0.013333333333333334,0.9866666666666667,0.5959869334046778,0.40401306651256674,
pythia-1b,draw_2,low,1000,16,12.417777777777777,0.7761111111111111,1.0,0.6964117288589478,0.16444444444444445,0.9777777777777777,0.5878212400331299,0.4121787598941108,1.0
pythia-1b,draw_2,medium,1000,16,11.937777777777777,0.7461111111111111,1.0,0.6889775395393372,0.03111111111111111,0.9777777777777777,0.5999308389582128,0.4000691609637179,2.0
pythia-1b,draw_2,high,1000,16,11.422222222222222,0.7138888888888889,1.0,0.6755989789962769,0.0,1.0,0.6007242644466482,0.3992757354762141,3.0
pythia-1b,draw_2,very_high,1000,16,11.08,0.6925,1.0,0.6167497634887695,0.017777777777777778,0.9911111111111112,0.5966414107921603,0.4033585891244619,4.0
pythia-1b,draw_2,control,1000,16,11.11111111111111,0.6944444444444444,1.0,0.6253824234008789,0.0044444444444444444,0.9955555555555555,0.598175334700843,0.4018246652214097,
pythia-1b,draw_3,low,1000,16,12.537777777777778,0.7836111111111111,1.0,0.6642535328865051,0.06666666666666667,0.9777777777777777,0.5874338973774549,0.4125661025474372,1.0
pythia-1b,draw_3,medium,1000,16,11.937777777777777,0.7461111111111111,1.0,0.6768593192100525,0.0044444444444444444,0.9955555555555555,0.6032464740003423,0.39675352592058233,2.0
