model,draw,band,layer,mean_rank,median_rank,frac_top1,frac_top5
pythia-70m,draw_1,low,0,29882.786666666667,33399.0,0.0,0.0
pythia-70m,draw_1,low,1,26871.733333333334,28542.0,0.0,0.0
pythia-70m,draw_1,low,2,23409.284444444445,20914.0,0.0,0.0
pythia-70m,draw_1,low,3,6648.635555555556,1370.0,0.044444444444444446,0.12444444444444444
pythia-70m,draw_1,low,4,3827.213333333333,231.0,0.16,0.2577777777777778
pythia-70m,draw_1,low,5,2140.617777777778,9.0,0.28444444444444444,0.4444444444444444
pythia-70m,draw_1,medium,0,28752.04,30579.0,0.0,0.0
pythia-70m,draw_1,medium,1,25189.146666666667,24847.0,0.0,0.0044444444444444444
pythia-70m,draw_1,medium,2,21106.493333333332,19211.0,0.0044444444444444444,0.0044444444444444444
pythia-70m,draw_1,medium,3,4548.96,407.0,0.057777777777777775,0.13333333333333333
pythia-70m,draw_1,medium,4,2826.5422222222223,44.0,0.2088888888888889,0.3466666666666667
pythia-70m,draw_1,medium,5,1177.351111111111,2.0,0.4222222222222222,0.5777777777777777
pythia-70m,draw_1,high,0,24402.057777777776,23919.0,0.0,0.0
pythia-70m,draw_1,high,1,23326.013333333332,22684.0,0.0,0.0
pythia-70m,draw_1,high,2,18670.133333333335,17207.0,0.0,0.0
pythia-70m,draw_1,high,3,2878.133333333333,151.0,0.09777777777777778,0.21777777777777776
pythia-70m,draw_1,high,4,1922.6888888888889,10.0,0.3111111111111111,0.4444444444444444
pythia-70m,draw_1,high,5,686.9866666666667,1.0,0.4577777777777778,0.5955555555555555
pythia-70m,draw_1,very_high,0,19041.02666666667,16528.0,0.0,0.0
pythia-70m,draw_1,very_high,1,18498.226666666666,15186.0,0.0,0.0
pythia-70m,draw_1,very_high,2,17421.391111111112,14550.0,0.0,0.0
pythia-70m,draw_1,very_high,3,1546.6577777777777,36.0,0.13777777777777778,0.29333333333333333
pythia-70m,draw_1,very_high,4,653.4266666666666,2.0,0.4266666666666667,0.5955555555555555
pythia-70m,draw_1,very_high,5,71.4088888888889,0.0,0.6444444444444445,0.7911111111111111
pythia-70m,draw_1,control,0,19876.644444444446,17436.0,0.0,0.0044444444444444444
pythia-70m,draw_1,control,1,19681.76,18599.0,0.0,0.0
pythia-70m,draw_1,control,2,17634.475555555557,14913.0,0.0,0.0
pythia-70m,draw_1,control,3,1340.4044444444444,64.0,0.10222222222222223,0.2222222222222222
pythia-70m,draw_1,control,4,750.5022222222223,2.0,0.3511111111111111,0.5688888888888889
pythia-70m,draw_1,control,5,186.04,0.0,0.5955555555555555,0.7955555555555556
pythia-70m,draw_2,low,0,29572.64,31811.0,0.0,0.0
pythia-70m,draw_2,low,1,26232.47111111111,25868.0,0.0,0.0
pythia-70m,draw_2,low,2,22670.213333333333,21247.0,0.0,0.0
pythia-70m,draw_2,low,3,5867.693333333334,985.0,0.04888888888888889,0.09777777777777778
pythia-70m,draw_2,low,4,4548.3822222222225,122.0,0.14222222222222222,0.21333333333333335
pythia-70m,draw_2,low,5,2571.866666666667,3.0,0.36,0.5244444444444445
pythia-70m,draw_2,medium,0,30176.573333333334,31400.0,0.0,0.0
pythia-70m,draw_2,medium,1,28251.83111111111,29544.0,0.0,0.0
pythia-70m,draw_2,medium,2,24485.02666666667,24711.0,0.0,0.0
pythia-70m,draw_2,medium,3,4791.577777777778,455.0,0.035555555555555556,0.10666666666666667
pythia-70m,draw_2,medium,4,2752.822222222222,33.0,0.19555555555555557,0.3244444444444444
pythia-70m,draw_2,medium,5,1202.2,2.0,0.40444444444444444,0.5688888888888889
pythia-70m,draw_2,high,0,24258.977777777778,25220.0,0.0,0.0
pythia-70m,draw_2,high,1,22078.164444444443,20011.0,0.0,0.0
pythia-70m,draw_2,high,2,18815.72,18114.0,0.0,0.0
pythia-70m,draw_2,high,3,2033.64,129.0,0.10666666666666667,0.21333333333333335
pythia-70m,draw_2,high,4,955.3688888888889,7.0,0.32,0.4711111111111111
pythia-70m,draw_2,high,5,208.70666666666668,0.0,0.5333333333333333,0.6977777777777778
pythia-70m,draw_2,very_high,0,20123.133333333335,17632.0,0.0,0.0
pythia-70m,draw_2,very_high,1,20021.66222222222,16723.0,0.0,0.0
pythia-70m,draw_2,very_high,2,16345.342222222222,12946.0,0.0,0.0
pythia-70m,draw_2,very_high,3,1203.871111111111,54.0,0.1288888888888889,0.28
pythia-70m,draw_2,very_high,4,656.6977777777778,1.0,0.4088888888888889,0.6133333333333333
pythia-70m,draw_2,very_high,5,122.36888888888889,0.0,0.6488888888888888,0.8133333333333334
pythia-70m,draw_2,control,0,19282.915555555555,17402.0,0.0,0.0
pythia-70m,draw_2,control,1,17518.893333333333,15489.0,0.0,0.0
pythia-70m,draw_2,control,2,14929.293333333333,11302.0,0.0,0.0
pythia-70m,draw_2,control,3,1376.0844444444444,46.0,0.12444444444444444,0.3022222222222222
pythia-70m,draw_2,control,4,995.5155555555556,2.0,0.3688888888888889,0.5555555555555556
pythia-70m,draw_2,control,5,267.3377777777778,0.0,0.56,0.7422222222222222
pythia-70m,draw_3,low,0,30039.96888888889,34060.0,0.0,0.0
pythia-70m,draw_3,low,1,27918.226666666666,29562.0,0.0,0.0
pythia-70m,draw_3,low,2,25257.071111111112,25109.0,0.0,0.0
pythia-70m,draw_3,low,3,8298.457777777778,1552.0,0.04888888888888889,0.08888888888888889
pythia-70m,draw_3,low,4,4781.2844444444445,317.0,0.10222222222222223,0.20444444444444446
pythia-70m,draw_3,low,5,2329.9155555555553,19.0,0.2577777777777778,0.39555555555555555
pythia-70m,draw_3,medium,0,28652.83111111111,30480.0,0.0,0.0
pythia-70m,draw_3,medium,1,26283.995555555557,26686.0,0.0,0.0
pythia-70m,draw_3,medium,2,22778.63111111111,21928.0,0.0,0.0044444444444444444
pythia-70m,draw_3,medium,3,6843.933333333333,730.0,0.07111111111111111,0.12
pythia-70m,draw_3,medium,4,4421.964444444445,64.0,0.19555555555555557,0.3288888888888889
pythia-70m,draw_3,medium,5,2092.791111111111,3.0,0.37333333333333335,0.5244444444444445
pythia-70m,draw_3,high,0,24392.68888888889,26729.0,0.0,0.0
pythia-70m,draw_3,high,1,22031.02666666667,21864.0,0.0,0.0
pythia-70m,draw_3,high,2,17733.022222222222,14824.0,0.0,0.0
