model,band,delta_final_prob
pythia-1.4b,control,0.013350963592529297
pythia-1.4b,high,0.0051767826080322266
pythia-1.4b,low,-0.04339095950126648
pythia-1.4b,medium,-0.05176669359207153
pythia-1.4b,very_high,-0.026529550552368164
pythia-160m,control,0.0016072988510131836
pythia-160m,high,0.00785452127456665
pythia-160m,low,-0.013244986534118652
pythia-160m,medium,0.00013515353202819824
pythia-160m,very_high,-0.004761338233947754
pythia-1b,control,-0.03729593753814697
pythia-1b,high,-0.003940284252166748
pythia-1b,low,0.009680509567260742
pythia-1b,medium,0.001922011375427246
pythia-1b,very_high,0.0029301047325134277
pythia-410m,control,-0.019978851079940796
pythia-410m,high,-0.02536928653717041
pythia-410m,low,-0.02059924602508545
pythia-410m,medium,-0.030603528022766113
pythia-410m,very_high,-0.023042798042297363
pythia-70m,control,0.010267198085784912
pythia-70m,high,0.005907595157623291
pythia-70m,low,-0.0003438070416449668
pythia-70m,medium,-0.0014702081680297296
pythia-70m,very_high,-0.00016745924949645996
