model,draw,band,model_capacity,d_mlp,n_layers,peak_probe_accuracy,peak_probe_layer,peak_separation_ratio,mean_mlp_frac,mean_gini,mean_frac_selective,max_mean_f_stat,peak_logit_contrib
pythia-70m,draw_1,low,70,2048,6,0.5564444444444444,3.0,14.817501932122601,0.5702608635028203,0.43353024056618406,0.6685384114583334,17.343009119593322,110.69947052001953
pythia-70m,draw_1,medium,70,2048,6,0.5564444444444444,3.0,14.817501932122601,0.5702608635028203,0.4349901367222389,0.6685384114583334,17.343009119593322,109.394287109375
pythia-70m,draw_1,high,70,2048,6,0.5564444444444444,3.0,14.817501932122601,0.5702608635028203,0.43564803352869186,0.6685384114583334,17.343009119593322,113.51057434082031
pythia-70m,draw_1,very_high,70,2048,6,0.5564444444444444,3.0,14.817501932122601,0.5702608635028203,0.43560883654166793,0.6685384114583334,17.343009119593322,117.6115951538086
pythia-70m,draw_1,control,70,2048,6,0.5564444444444444,3.0,14.817501932122601,0.5702608635028203,0.4350624063944963,0.6685384114583334,17.343009119593322,115.34305572509766
pythia-70m,draw_2,low,70,2048,6,,,12.075389217781135,0.5686658094326655,0.43421333361965225,,,112.13651275634766
pythia-70m,draw_2,medium,70,2048,6,,,12.075389217781135,0.5686658094326655,0.4345853037246083,,,108.65518951416016
pythia-70m,draw_2,high,70,2048,6,,,12.075389217781135,0.5686658094326655,0.43552259246097585,,,112.0304183959961
pythia-70m,draw_2,very_high,70,2048,6,,,12.075389217781135,0.5686658094326655,0.4351165943135991,,,117.88422393798828
pythia-70m,draw_2,control,70,2048,6,,,12.075389217781135,0.5686658094326655,0.4347582795355724,,,116.22112274169922
pythia-70m,draw_3,low,70,2048,6,,,18.86473058222406,0.5739122907320658,0.43384244307460323,,,113.28536224365234
pythia-70m,draw_3,medium,70,2048,6,,,18.86473058222406,0.5739122907320658,0.4351384544564965,,,112.73418426513672
pythia-70m,draw_3,high,70,2048,6,,,18.86473058222406,0.5739122907320658,0.43569402713100747,,,111.81761169433594
pythia-70m,draw_3,very_high,70,2048,6,,,18.86473058222406,0.5739122907320658,0.43565823347550614,,,117.2825698852539
pythia-70m,draw_3,control,70,2048,6,,,18.86473058222406,0.5739122907320658,0.4354225230917576,,,114.72406005859375
pythia-160m,draw_1,low,160,3072,12,0.6053333333333334,11.0,15.547335202323795,0.6317705397804578,0.41932463376982665,0.676052517361111,34.34121999388075,263.3819885253906
pythia-160m,draw_1,medium,160,3072,12,0.6053333333333334,11.0,15.547335202323795,0.6317705397804578,0.4194440947951888,0.676052517361111,34.34121999388075,272.94195556640625
pythia-160m,draw_1,high,160,3072,12,0.6053333333333334,11.0,15.547335202323795,0.6317705397804578,0.4198385715779054,0.676052517361111,34.34121999388075,278.5767822265625
pythia-160m,draw_1,very_high,160,3072,12,0.6053333333333334,11.0,15.547335202323795,0.6317705397804578,0.41836493711338224,0.676052517361111,34.34121999388075,284.3013000488281
pythia-160m,draw_1,control,160,3072,12,0.6053333333333334,11.0,15.547335202323795,0.6317705397804578,0.4190647312921499,0.676052517361111,34.34121999388075,280.4723815917969
