model,draw,band,layer,mean_norm,std_norm,median_norm
pythia-70m,draw_1,low,0,6.798146724700928,0.5679645538330078,6.762117385864258
pythia-70m,draw_1,low,1,5.3118414878845215,1.467718243598938,4.780628681182861
pythia-70m,draw_1,low,2,11.977399826049805,14.144869804382324,5.649688243865967
pythia-70m,draw_1,low,3,9.01196575164795,1.5035226345062256,8.527209281921387
pythia-70m,draw_1,low,4,15.79922866821289,9.857393264770508,11.897347450256348
pythia-70m,draw_1,low,5,46.81895065307617,9.142701148986816,45.73992156982422
pythia-70m,draw_1,medium,0,6.387270450592041,0.578497052192688,6.321662425994873
pythia-70m,draw_1,medium,1,5.4068989753723145,1.6585583686828613,4.860139846801758
pythia-70m,draw_1,medium,2,11.965644836425781,15.362418174743652,5.560223579406738
pythia-70m,draw_1,medium,3,8.886883735656738,1.5235594511032104,8.432242393493652
pythia-70m,draw_1,medium,4,16.01186180114746,10.191818237304688,12.41413402557373
pythia-70m,draw_1,medium,5,46.408748626708984,8.819740295410156,45.151798248291016
pythia-70m,draw_1,high,0,5.98792839050293,0.46970880031585693,5.944299697875977
pythia-70m,draw_1,high,1,5.177995204925537,1.1788381338119507,4.854535102844238
pythia-70m,draw_1,high,2,9.734830856323242,10.91244888305664,5.372602939605713
pythia-70m,draw_1,high,3,8.702106475830078,1.2432875633239746,8.371805191040039
pythia-70m,draw_1,high,4,14.66679859161377,7.709074020385742,12.122843742370605
pythia-70m,draw_1,high,5,47.40938186645508,8.160540580749512,46.921714782714844
pythia-70m,draw_1,very_high,0,5.606514930725098,0.39806780219078064,5.5762786865234375
pythia-70m,draw_1,very_high,1,4.778133869171143,0.8264815807342529,4.603222846984863
pythia-70m,draw_1,very_high,2,6.8863019943237305,7.629010200500488,5.124838352203369
pythia-70m,draw_1,very_high,3,8.35647964477539,0.9588156342506409,8.214025497436523
pythia-70m,draw_1,very_high,4,13.194587707519531,5.185603141784668,12.208867073059082
pythia-70m,draw_1,very_high,5,48.76348114013672,8.41769790649414,48.348487854003906
pythia-70m,draw_1,control,0,5.698230266571045,0.4502909183502197,5.623293876647949
pythia-70m,draw_1,control,1,4.730660915374756,0.8632044792175293,4.5725812911987305
pythia-70m,draw_1,control,2,6.709324359893799,7.632658004760742,5.132433891296387
pythia-70m,draw_1,control,3,8.293975830078125,0.8899444341659546,8.171332359313965
pythia-70m,draw_1,control,4,12.884366035461426,5.084049701690674,11.971927642822266
pythia-70m,draw_1,control,5,47.833343505859375,7.934861183166504,47.59111785888672
pythia-70m,draw_2,low,0,6.757291793823242,0.6065794825553894,6.692013263702393
pythia-70m,draw_2,low,1,5.294925212860107,1.5860003232955933,4.752864360809326
pythia-70m,draw_2,low,2,12.157645225524902,14.539355278015137,5.602100849151611
pythia-70m,draw_2,low,3,9.046710014343262,1.5090819597244263,8.61611557006836
pythia-70m,draw_2,low,4,16.159122467041016,9.998612403869629,12.12775993347168
pythia-70m,draw_2,low,5,47.45055389404297,9.819710731506348,46.9861946105957
pythia-70m,draw_2,medium,0,6.331874847412109,0.5376135110855103,6.285787582397461
pythia-70m,draw_2,medium,1,5.2262864112854,1.3555148839950562,4.776308059692383
pythia-70m,draw_2,medium,2,10.983728408813477,13.44112491607666,5.546442985534668
pythia-70m,draw_2,medium,3,8.892410278320312,1.4230337142944336,8.499639511108398
pythia-70m,draw_2,medium,4,15.268035888671875,9.202503204345703,11.99814224243164
pythia-70m,draw_2,medium,5,45.8571891784668,9.686197280883789,45.23859405517578
pythia-70m,draw_2,high,0,5.95065975189209,0.44608449935913086,5.923941612243652
pythia-70m,draw_2,high,1,4.9669189453125,1.0732948780059814,4.642606258392334
pythia-70m,draw_2,high,2,8.168339729309082,9.038263320922852,5.340826988220215
pythia-70m,draw_2,high,3,8.532487869262695,1.0372511148452759,8.338705062866211
pythia-70m,draw_2,high,4,13.386920928955078,6.136697769165039,11.92734146118164
pythia-70m,draw_2,high,5,46.7255973815918,7.824711799621582,46.3551025390625
pythia-70m,draw_2,very_high,0,5.5148186683654785,0.4015502333641052,5.44817590713501
pythia-70m,draw_2,very_high,1,4.857855319976807,0.971495509147644,4.624917984008789
pythia-70m,draw_2,very_high,2,7.5594801902771,8.790522575378418,5.16928768157959
pythia-70m,draw_2,very_high,3,8.414814949035645,1.0716476440429688,8.272374153137207
pythia-70m,draw_2,very_high,4,13.705080032348633,6.053725719451904,12.366915702819824
pythia-70m,draw_2,very_high,5,48.850120544433594,8.415759086608887,48.32701110839844
pythia-70m,draw_2,control,0,5.666326999664307,0.522668182849884,5.57167911529541
pythia-70m,draw_2,control,1,4.832776069641113,1.0915619134902954,4.631829261779785
pythia-70m,draw_2,control,2,7.50786018371582,10.37024211883545,5.176036834716797
pythia-70m,draw_2,control,3,8.405693054199219,1.0533933639526367,8.249896049499512
pythia-70m,draw_2,control,4,13.467576026916504,6.739185333251953,12.01915454864502
pythia-70m,draw_2,control,5,48.3135986328125,8.342984199523926,48.64588928222656
pythia-70m,draw_3,low,0,6.691485404968262,0.5585083365440369,6.679441452026367
pythia-70m,draw_3,low,1,5.502208232879639,1.5944756269454956,4.8834710121154785
pythia-70m,draw_3,low,2,14.169659614562988,16.344337463378906,5.723989009857178
pythia-70m,draw_3,low,3,9.228862762451172,1.6580957174301147,8.580528259277344
pythia-70m,draw_3,low,4,17.282255172729492,11.264506340026855,12.191869735717773
pythia-70m,draw_3,low,5,48.049278259277344,9.987024307250977,47.736270904541016
pythia-70m,draw_3,medium,0,6.347412109375,0.5467702746391296,6.292448997497559
pythia-70m,draw_3,medium,1,5.6106109619140625,1.7681695222854614,4.838024616241455
pythia-70m,draw_3,medium,2,14.13860034942627,17.413585662841797,5.62429666519165
pythia-70m,draw_3,medium,3,9.152288436889648,1.6567944288253784,8.601424217224121
pythia-70m,draw_3,medium,4,17.335430145263672,11.484566688537598,12.081297874450684
pythia-70m,draw_3,medium,5,47.83363723754883,10.088553428649902,46.742008209228516
pythia-70m,draw_3,high,0,5.999114513397217,0.4885055124759674,5.918503761291504
pythia-70m,draw_3,high,1,5.087064743041992,1.1816211938858032,4.732774257659912
pythia-70m,draw_3,high,2,9.066558837890625,11.136934280395508,5.37830924987793
pythia-70m,draw_3,high,3,8.66421127319336,1.2273520231246948,8.390464782714844
pythia-70m,draw_3,high,4,14.169568061828613,7.6417059898376465,12.072324752807617
pythia-70m,draw_3,high,5,46.76543426513672,8.603822708129883,46.774818420410156
pythia-70m,draw_3,very_high,0,5.577566146850586,0.38014769554138184,5.541674613952637
pythia-70m,draw_3,very_high,1,4.7322235107421875,0.8829551935195923,4.611882209777832
pythia-70m,draw_3,very_high,2,6.848848342895508,8.450261116027832,5.098616600036621
pythia-70m,draw_3,very_high,3,8.394698143005371,0.9715020656585693,8.292244911193848
pythia-70m,draw_3,very_high,4,13.406036376953125,5.706831455230713,12.371760368347168
pythia-70m,draw_3,very_high,5,48.58002471923828,7.870993614196777,48.757476806640625
pythia-70m,draw_3,control,0,5.7536211013793945,0.5437310934066772,5.691103458404541
pythia-70m,draw_3,control,1,4.858935356140137,1.1265122890472412,4.591714859008789
pythia-70m,draw_3,control,2,7.83607292175293,10.597052574157715,5.148241996765137
pythia-70m,draw_3,control,3,8.518301963806152,1.130568265914917,8.304290771484375
pythia-70m,draw_3,control,4,13.766131401062012,6.981692314147949,12.207574844360352
pythia-70m,draw_3,control,5,47.752681732177734,8.338449478149414,47.35546875
pythia-160m,draw_1,low,0,9.9371919631958,0.7586443424224854,9.933947563171387
pythia-160m,draw_1,low,1,5.5101752281188965,0.7399370670318604,5.506802558898926
pythia-160m,draw_1,low,2,6.387007236480713,0.5141429305076599,6.384103775024414
pythia-160m,draw_1,low,3,6.561375141143799,0.46876177191734314,6.531833648681641
pythia-160m,draw_1,low,4,6.915490627288818,0.39621424674987793,6.883845806121826
pythia-160m,draw_1,low,5,9.75189208984375,0.7890496850013733,9.710794448852539
pythia-160m,draw_1,low,6,10.822427749633789,1.4899146556854248,10.675176620483398
pythia-160m,draw_1,low,7,13.511460304260254,1.8619133234024048,13.263158798217773
pythia-160m,draw_1,low,8,24.882511138916016,5.819059371948242,24.9596004486084
