model,draw,layer,accuracy,std,source
pythia-70m,draw_1,0,0.5075555555555555,0.02687327370281063,mlp_out
pythia-70m,draw_1,1,0.48533333333333334,0.00949073622402784,mlp_out
pythia-70m,draw_1,2,0.5333333333333333,0.042257295374239,mlp_out
pythia-70m,draw_1,3,0.5564444444444444,0.035153279881395876,mlp_out
pythia-70m,draw_1,4,0.5359999999999999,0.03368408057154917,mlp_out
pythia-70m,draw_1,5,0.5146666666666666,0.018517925916444133,mlp_out
pythia-160m,draw_1,0,0.5111111111111111,0.04178723297259789,mlp_out
pythia-160m,draw_1,2,0.5004444444444445,0.037142368739157654,mlp_out
pythia-160m,draw_1,4,0.5235555555555556,0.024569377708596015,mlp_out
pythia-160m,draw_1,6,0.5813333333333333,0.038888253963070836,mlp_out
pythia-160m,draw_1,8,0.5822222222222222,0.021221931353445918,mlp_out
pythia-160m,draw_1,10,0.5448888888888889,0.018560544904729838,mlp_out
pythia-160m,draw_1,11,0.6053333333333334,0.026428566661899536,mlp_out
pythia-410m,draw_1,0,0.49688888888888894,0.046647615158762396,mlp_out
pythia-410m,draw_1,2,0.4542222222222222,0.01830334247286578,mlp_out
pythia-410m,draw_1,4,0.5066666666666666,0.041692584531763846,mlp_out
pythia-410m,draw_1,6,0.5182222222222224,0.025701035190757258,mlp_out
pythia-410m,draw_1,8,0.5253333333333333,0.03481449960456203,mlp_out
pythia-410m,draw_1,10,0.5439999999999999,0.02311111111111111,mlp_out
pythia-410m,draw_1,12,0.5306666666666667,0.04040290907507028,mlp_out
pythia-410m,draw_1,14,0.5422222222222222,0.024343224778007364,mlp_out
pythia-410m,draw_1,16,0.5457777777777778,0.028582995894779584,mlp_out
pythia-410m,draw_1,18,0.5466666666666666,0.020846292265881916,mlp_out
pythia-410m,draw_1,20,0.5848888888888889,0.03391783827260253,mlp_out
pythia-410m,draw_1,22,0.6302222222222221,0.024408053720437292,mlp_out
pythia-410m,draw_1,23,0.6559999999999999,0.029959643637960394,mlp_out
pythia-1b,draw_1,0,0.512,0.03593134743361376,mlp_out
pythia-1b,draw_1,2,0.5084444444444445,0.030222222222222206,mlp_out
pythia-1b,draw_1,4,0.5262222222222223,0.01604930674246025,mlp_out
pythia-1b,draw_1,6,0.5893333333333334,0.010740485309861872,mlp_out
pythia-1b,draw_1,8,0.5511111111111112,0.013184352865947848,mlp_out
pythia-1b,draw_1,10,0.5546666666666666,0.026278658665056853,mlp_out
pythia-1b,draw_1,12,0.5519999999999999,0.014442734941575067,mlp_out
pythia-1b,draw_1,14,0.591111111111111,0.030012343139794003,mlp_out
pythia-1b,draw_1,15,0.6373333333333333,0.02956140293033934,mlp_out
pythia-1.4b,draw_1,0,0.4782222222222222,0.038087618285561876,mlp_out
pythia-1.4b,draw_1,2,0.5146666666666666,0.018303342472865764,mlp_out
pythia-1.4b,draw_1,4,0.5635555555555556,0.0076465113484823375,mlp_out
pythia-1.4b,draw_1,6,0.5653333333333335,0.028582995894779584,mlp_out
pythia-1.4b,draw_1,8,0.5662222222222222,0.023785045618239374,mlp_out
pythia-1.4b,draw_1,10,0.5733333333333334,0.017998628205614733,mlp_out
pythia-1.4b,draw_1,12,0.5724444444444444,0.023917553861464366,mlp_out
pythia-1.4b,draw_1,14,0.5555555555555556,0.015650503877030212,mlp_out
pythia-1.4b,draw_1,16,0.5928888888888888,0.024114951051112055,mlp_out
pythia-1.4b,draw_1,18,0.5635555555555556,0.03615057672473379,mlp_out
pythia-1.4b,draw_1,20,0.6302222222222222,0.025047116095298434,mlp_out
pythia-1.4b,draw_1,22,0.6577777777777778,0.02466566564535397,mlp_out
pythia-1.4b,draw_1,23,0.6764444444444445,0.020152504975563777,mlp_out
