model,draw,layer,separation_ratio
pythia-70m,draw_1,0,5.187133366650397
pythia-70m,draw_1,1,7.37612050510822
pythia-70m,draw_1,2,14.817501932122601
pythia-70m,draw_1,3,6.278260094277513
pythia-70m,draw_1,4,11.320382704945663
pythia-70m,draw_1,5,5.885730773543752
pythia-70m,draw_2,0,5.311513765684318
pythia-70m,draw_2,1,6.448678557271783
pythia-70m,draw_2,2,12.075389217781135
pythia-70m,draw_2,3,5.817914784593018
pythia-70m,draw_2,4,9.824402378437865
pythia-70m,draw_2,5,5.442708998652918
pythia-70m,draw_3,0,4.938812755049221
pythia-70m,draw_3,1,7.889077899053475
pythia-70m,draw_3,2,18.86473058222406
pythia-70m,draw_3,3,7.085849925978781
pythia-70m,draw_3,4,13.929006306425066
pythia-70m,draw_3,5,6.002029832476124
pythia-160m,draw_1,0,5.95767048806765
pythia-160m,draw_1,1,7.279726679680527
pythia-160m,draw_1,2,5.951776677804467
pythia-160m,draw_1,3,6.257566563844725
pythia-160m,draw_1,4,6.214841441152042
pythia-160m,draw_1,5,7.408009338469879
pythia-160m,draw_1,6,6.790383717201566
pythia-160m,draw_1,7,11.788129373456226
pythia-160m,draw_1,8,15.547335202323795
pythia-160m,draw_1,9,14.645744259574492
pythia-160m,draw_1,10,11.833476653171797
pythia-160m,draw_1,11,10.693557461544296
pythia-160m,draw_2,0,5.966464733397981
pythia-160m,draw_2,1,7.000833049140901
pythia-160m,draw_2,2,5.834037284546436
pythia-160m,draw_2,3,6.1486060970611724
pythia-160m,draw_2,4,6.294475303653231
pythia-160m,draw_2,5,7.177211095234601
pythia-160m,draw_2,6,6.359882117104766
pythia-160m,draw_2,7,11.711839041497289
pythia-160m,draw_2,8,16.446130908465616
pythia-160m,draw_2,9,16.048776035502698
pythia-160m,draw_2,10,12.598240859762056
pythia-160m,draw_2,11,12.09839560333404
pythia-160m,draw_3,0,5.772703164154201
pythia-160m,draw_3,1,7.10414603748169
pythia-160m,draw_3,2,5.968103565774211
pythia-160m,draw_3,3,6.228874981144313
pythia-160m,draw_3,4,6.274101402896462
pythia-160m,draw_3,5,7.0241789842289055
pythia-160m,draw_3,6,6.482107008732282
pythia-160m,draw_3,7,11.428445258176058
pythia-160m,draw_3,8,15.456072988632442
pythia-160m,draw_3,9,15.919527556083166
pythia-160m,draw_3,10,12.298320967591586
pythia-160m,draw_3,11,11.177507313033761
pythia-410m,draw_1,0,6.946746494169071
pythia-410m,draw_1,1,8.436827901954182
pythia-410m,draw_1,2,5.691857692064297
pythia-410m,draw_1,3,5.947665757368547
pythia-410m,draw_1,4,5.723275335158309
pythia-410m,draw_1,5,6.692548900730436
pythia-410m,draw_1,6,6.965188051362604
pythia-410m,draw_1,7,8.045777370308768
pythia-410m,draw_1,8,7.562724125871376
pythia-410m,draw_1,9,7.6957684714778605
pythia-410m,draw_1,10,8.732652096879999
pythia-410m,draw_1,11,8.076162508344659
pythia-410m,draw_1,12,7.9641962083579205
pythia-410m,draw_1,13,8.115838230473488
pythia-410m,draw_1,14,8.99332693420505
pythia-410m,draw_1,15,9.14486811084089
pythia-410m,draw_1,16,9.825840864993674
pythia-410m,draw_1,17,12.458249666237354
pythia-410m,draw_1,18,15.22067227546199
pythia-410m,draw_1,19,9.027577949501925
pythia-410m,draw_1,20,6.145494198607205
pythia-410m,draw_1,21,25.61451426020804
pythia-410m,draw_1,22,15.456156238815625
pythia-410m,draw_1,23,17.538359349944976
pythia-410m,draw_2,0,6.95229626553221
pythia-410m,draw_2,1,9.161266120447168
pythia-410m,draw_2,2,5.843070154983991
pythia-410m,draw_2,3,5.890105875795272
pythia-410m,draw_2,4,5.766487825927116
pythia-410m,draw_2,5,6.765705320321154
pythia-410m,draw_2,6,6.927589780630585
pythia-410m,draw_2,7,7.657584923569505
pythia-410m,draw_2,8,7.606580619790173
pythia-410m,draw_2,9,7.733067496618345
pythia-410m,draw_2,10,8.834717517005013
pythia-410m,draw_2,11,8.163811936683748
pythia-410m,draw_2,12,8.168652886678098
pythia-410m,draw_2,13,8.51766986864656
pythia-410m,draw_2,14,9.425548051569207
pythia-410m,draw_2,15,9.451079697339567
pythia-410m,draw_2,16,10.15790546196075
pythia-410m,draw_2,17,14.520284259559103
pythia-410m,draw_2,18,18.079932761811126
pythia-410m,draw_2,19,11.380473873324199
pythia-410m,draw_2,20,9.324509596674591
pythia-410m,draw_2,21,28.43798000779489
pythia-410m,draw_2,22,15.592777504855524
pythia-410m,draw_2,23,19.464225940102846
pythia-410m,draw_3,0,6.800464008892775
pythia-410m,draw_3,1,8.65991696031207
pythia-410m,draw_3,2,5.859503974380996
pythia-410m,draw_3,3,5.870571014756406
pythia-410m,draw_3,4,5.649083894290533
pythia-410m,draw_3,5,6.486580246072676
pythia-410m,draw_3,6,6.793899313225831
pythia-410m,draw_3,7,7.86936277163404
pythia-410m,draw_3,8,7.646672974512153
pythia-410m,draw_3,9,7.643866274162915
pythia-410m,draw_3,10,8.283118790100358
pythia-410m,draw_3,11,7.889753400008197
pythia-410m,draw_3,12,7.7378765108632415
pythia-410m,draw_3,13,7.607611339432179
pythia-410m,draw_3,14,8.337435781390338
pythia-410m,draw_3,15,8.250560021843127
pythia-410m,draw_3,16,9.5332066364165
pythia-410m,draw_3,17,12.501462607733735
pythia-410m,draw_3,18,14.07412845270417
pythia-410m,draw_3,19,8.66703970419962
pythia-410m,draw_3,20,6.078164863105624
pythia-410m,draw_3,21,25.588986368035616
pythia-410m,draw_3,22,14.253283137974051
pythia-410m,draw_3,23,16.633749751542357
pythia-1b,draw_1,0,9.853207859662184
pythia-1b,draw_1,1,18.9829600831064
pythia-1b,draw_1,2,7.953652808781686
pythia-1b,draw_1,3,9.127423869404996
pythia-1b,draw_1,4,8.940067764734241
pythia-1b,draw_1,5,9.941519806324756
pythia-1b,draw_1,6,11.89281969246427
pythia-1b,draw_1,7,11.04238611725394
pythia-1b,draw_1,8,11.120965520526083
pythia-1b,draw_1,9,10.334255974636607
pythia-1b,draw_1,10,11.15649864896729
pythia-1b,draw_1,11,11.869508868394934
pythia-1b,draw_1,12,12.313563688761171
pythia-1b,draw_1,13,12.353763434036948
pythia-1b,draw_1,14,14.264169288193306
pythia-1b,draw_1,15,20.702621440435276
pythia-1b,draw_2,0,9.73390074765428
pythia-1b,draw_2,1,18.425368952808128
pythia-1b,draw_2,2,7.8541782391172745
pythia-1b,draw_2,3,9.049956653545282
pythia-1b,draw_2,4,9.016385837230732
pythia-1b,draw_2,5,9.881145314620186
pythia-1b,draw_2,6,11.932563940605862
pythia-1b,draw_2,7,10.975879981273883
pythia-1b,draw_2,8,11.09223607032471
pythia-1b,draw_2,9,10.193828787247558
pythia-1b,draw_2,10,10.692282091836873
pythia-1b,draw_2,11,12.129805020093503
pythia-1b,draw_2,12,12.636795081537224
pythia-1b,draw_2,13,12.606394612481123
pythia-1b,draw_2,14,14.58916052074315
