model,draw,layer,mean_f_stat,median_f_stat,max_f_stat,n_selective_p001,n_highly_selective_f10,frac_selective
pythia-70m,draw_1,0,17.343009119593322,14.309230552470922,106.58574653967037,1718,1296,0.8388671875
pythia-70m,draw_1,1,8.839522719856312,4.654685387402202,197.13947944110828,1235,556,0.60302734375
pythia-70m,draw_1,2,9.539103368201657,5.22836949956714,173.9743741947662,1321,604,0.64501953125
pythia-70m,draw_1,3,8.63232294981665,4.501421308286569,217.25059764317808,1223,531,0.59716796875
pythia-70m,draw_1,4,9.0901930452385,5.220197053111583,126.04977888233017,1319,612,0.64404296875
pythia-70m,draw_1,5,10.664681679306051,6.013097203910766,131.3363767796915,1399,686,0.68310546875
pythia-160m,draw_1,0,34.34121999388075,32.85984403191267,381.99665593078885,2924,2634,0.9518229166666666
pythia-160m,draw_1,1,8.45370187464958,4.91225430002644,219.4216028156676,1931,843,0.6285807291666666
pythia-160m,draw_1,2,6.3972400558036115,3.818666125819669,127.39626728253991,1666,556,0.5423177083333334
pythia-160m,draw_1,3,6.8535586538375695,3.886699277707383,194.04224995688836,1695,631,0.5517578125
pythia-160m,draw_1,4,8.438525252858666,4.406922471782231,117.81269686350295,1821,813,0.5927734375
pythia-160m,draw_1,5,8.924347298782541,4.929408935889192,124.27943539223645,1899,896,0.6181640625
pythia-160m,draw_1,6,9.88545686357166,5.456879168522137,213.59598506460898,2007,948,0.6533203125
pythia-160m,draw_1,7,11.829989006379606,6.615587940284591,219.6525380505672,2155,1117,0.7014973958333334
pythia-160m,draw_1,8,12.820456922312573,6.9721635300287526,145.3129456509263,2206,1183,0.7180989583333334
pythia-160m,draw_1,9,11.814342060720946,6.136491527807447,227.1281158355939,2122,1077,0.6907552083333334
pythia-160m,draw_1,10,12.581198983094565,7.072291184563497,167.09277452204782,2219,1168,0.7223307291666666
pythia-160m,draw_1,11,14.49700711375943,7.266119362263327,295.9984016230476,2277,1243,0.7412109375
pythia-410m,draw_1,0,55.50084706788419,53.50667245761596,427.4803504663769,4085,4041,0.997314453125
pythia-410m,draw_1,1,7.656388457472496,4.313464813607004,147.52878385158087,2396,960,0.5849609375
pythia-410m,draw_1,2,5.626611718968988,3.232961216375302,100.17039267797351,2003,669,0.489013671875
pythia-410m,draw_1,3,6.366045116825001,3.6811748607915415,102.61676315316078,2185,777,0.533447265625
pythia-410m,draw_1,4,6.733652678063715,3.714459324892502,104.17548979295654,2237,832,0.546142578125
pythia-410m,draw_1,5,6.82127884426459,3.888358616380458,89.79922131229446,2252,846,0.5498046875
pythia-410m,draw_1,6,7.375560777341953,4.069657517983105,109.7665025590973,2311,927,0.564208984375
pythia-410m,draw_1,7,8.680274121953499,4.780560175540151,125.76872836215495,2545,1108,0.621337890625
pythia-410m,draw_1,8,7.723218034479945,4.47001879350603,106.43863844015605,2448,1018,0.59765625
pythia-410m,draw_1,9,7.733018726694549,4.380985599920913,155.30804022583663,2430,1010,0.59326171875
pythia-410m,draw_1,10,7.816877583249935,4.266616336296815,117.70060272730758,2372,1016,0.5791015625
pythia-410m,draw_1,11,8.23525835809675,4.3982148138615615,376.00722324168424,2413,1044,0.589111328125
pythia-410m,draw_1,12,7.8648690381177975,4.382151317152209,108.65561355037372,2396,1000,0.5849609375
pythia-410m,draw_1,13,8.352530241343157,4.742899637004529,190.57524843396993,2558,1085,0.62451171875
pythia-410m,draw_1,14,8.683995205841576,4.74561603294433,128.31192707857562,2518,1117,0.61474609375
pythia-410m,draw_1,15,8.936390096448664,4.938528119032981,101.75060081172376,2568,1137,0.626953125
pythia-410m,draw_1,16,10.351142138136405,5.515174794477344,318.173396449054,2651,1356,0.647216796875
pythia-410m,draw_1,17,11.298619020527278,6.106185832252176,159.9151923909021,2777,1437,0.677978515625
pythia-410m,draw_1,18,12.237855956621772,6.580967363167224,174.3058462370186,2821,1504,0.688720703125
pythia-410m,draw_1,19,10.985861046967376,5.813613709794632,154.44601623825258,2727,1416,0.665771484375
pythia-410m,draw_1,20,12.810253005679941,6.882886789908969,321.8869795588437,2871,1600,0.700927734375
pythia-410m,draw_1,21,14.426784274938555,7.698460237097311,140.51601252704438,3005,1748,0.733642578125
pythia-410m,draw_1,22,14.68890496907423,7.605011091218594,250.12513796916846,2976,1733,0.7265625
pythia-410m,draw_1,23,18.801914165963858,9.214537914201493,558.409160580858,3150,1971,0.76904296875
pythia-1b,draw_1,0,64.25996289039566,61.806231942097796,378.84672060662683,8077,7818,0.9859619140625
pythia-1b,draw_1,1,10.115244742103435,5.061082540935094,552.4880355756054,5224,2456,0.6376953125
