model,draw,layer,accuracy,std
pythia-70m,draw_1,0,0.496,0.03333037023867143
pythia-70m,draw_1,1,0.4613333333333333,0.03458680259261107
pythia-70m,draw_1,2,0.4924444444444444,0.04376367511143527
pythia-70m,draw_1,3,0.49422222222222223,0.027741309394359544
pythia-70m,draw_1,4,0.5324444444444445,0.05254228162180143
pythia-70m,draw_1,5,0.504,0.014222222222222233
pythia-70m,draw_2,0,0.5297777777777778,0.03615057672473377
pythia-70m,draw_2,1,0.45866666666666667,0.01764394065891485
pythia-70m,draw_2,2,0.5306666666666666,0.03798375221194933
pythia-70m,draw_2,3,0.512888888888889,0.014222222222222216
pythia-70m,draw_2,4,0.4986666666666667,0.024082163882922773
pythia-70m,draw_2,5,0.5280000000000001,0.0033259176771323665
pythia-70m,draw_3,0,0.4782222222222222,0.040305009951127596
pythia-70m,draw_3,1,0.4444444444444445,0.017098119165930077
pythia-70m,draw_3,2,0.4924444444444444,0.010289632802480209
pythia-70m,draw_3,3,0.49422222222222223,0.017418593726458157
pythia-70m,draw_3,4,0.5048888888888889,0.023450499481374093
pythia-70m,draw_3,5,0.5253333333333334,0.02802468048077234
pythia-160m,draw_1,0,0.5724444444444444,0.03537733109712427
pythia-160m,draw_1,1,0.45955555555555555,0.02507864174162824
pythia-160m,draw_1,2,0.4746666666666667,0.018939800669033363
pythia-160m,draw_1,3,0.49866666666666665,0.02092195963722634
pythia-160m,draw_1,4,0.5057777777777777,0.029534662623708716
pythia-160m,draw_1,5,0.5359999999999999,0.0367144469832238
pythia-160m,draw_1,6,0.6026666666666667,0.030611867302617876
pythia-160m,draw_1,7,0.6213333333333334,0.011030821018658512
pythia-160m,draw_1,8,0.6293333333333333,0.01746389573723422
pythia-160m,draw_1,9,0.5742222222222223,0.01416655773378599
pythia-160m,draw_1,10,0.5706666666666667,0.01918847390659813
pythia-160m,draw_1,11,0.5955555555555556,0.015650503877030247
pythia-160m,draw_2,0,0.5582222222222222,0.018346459947155808
pythia-160m,draw_2,1,0.43644444444444447,0.027883354917969987
pythia-160m,draw_2,2,0.488,0.028858103254662995
pythia-160m,draw_2,3,0.49333333333333335,0.016390301257409604
pythia-160m,draw_2,4,0.5217777777777778,0.01959591794226543
pythia-160m,draw_2,5,0.5333333333333333,0.029880420113727303
pythia-160m,draw_2,6,0.6124444444444445,0.009490736224027846
pythia-160m,draw_2,7,0.6204444444444445,0.005333333333333368
pythia-160m,draw_2,8,0.5857777777777778,0.019352480939624224
pythia-160m,draw_2,9,0.568,0.029534662623708706
pythia-160m,draw_2,10,0.5697777777777777,0.02456937770859597
pythia-160m,draw_2,11,0.584,0.037035851832888274
pythia-160m,draw_3,0,0.5413333333333333,0.0468166900702709
pythia-160m,draw_3,1,0.4622222222222222,0.01885618083164127
pythia-160m,draw_3,2,0.46577777777777774,0.013003323411846924
pythia-160m,draw_3,3,0.45422222222222225,0.01786644554865936
pythia-160m,draw_3,4,0.5102222222222222,0.014713729206441643
pythia-160m,draw_3,5,0.5262222222222223,0.04296194123944738
pythia-160m,draw_3,6,0.5964444444444444,0.014442734941575028
pythia-160m,draw_3,7,0.6106666666666667,0.03573289109731869
pythia-160m,draw_3,8,0.5813333333333334,0.03458680259261106
pythia-160m,draw_3,9,0.568,0.041635692190685754
pythia-160m,draw_3,10,0.5324444444444445,0.015498307354811272
pythia-160m,draw_3,11,0.5866666666666667,0.016147468555186596
pythia-410m,draw_1,0,0.5377777777777778,0.02710746787907006
pythia-410m,draw_1,1,0.5128888888888888,0.02833311546757196
pythia-410m,draw_1,2,0.4453333333333333,0.023751803050466456
pythia-410m,draw_1,3,0.49866666666666665,0.023076897752439433
pythia-410m,draw_1,4,0.5164444444444445,0.024408053720437292
pythia-410m,draw_1,5,0.5537777777777778,0.015293022696964661
pythia-410m,draw_1,6,0.5128888888888888,0.02554685842346652
pythia-410m,draw_1,7,0.5502222222222223,0.03019606711371204
pythia-410m,draw_1,8,0.575111111111111,0.037035851832888274
pythia-410m,draw_1,9,0.5724444444444445,0.018303342472865775
pythia-410m,draw_1,10,0.5493333333333333,0.016049306742460245
pythia-410m,draw_1,11,0.5617777777777778,0.013655370218433084
pythia-410m,draw_1,12,0.5662222222222223,0.02733965599863057
pythia-410m,draw_1,13,0.5537777777777778,0.027911677276635682
pythia-410m,draw_1,14,0.5848888888888888,0.020386391006541698
pythia-410m,draw_1,15,0.5662222222222221,0.016534289100211787
pythia-410m,draw_1,16,0.5848888888888889,0.03595333051761186
pythia-410m,draw_1,17,0.5742222222222222,0.01648643288088127
pythia-410m,draw_1,18,0.5555555555555556,0.024665665645353985
pythia-410m,draw_1,19,0.5617777777777778,0.0267554078991865
pythia-410m,draw_1,20,0.6026666666666667,0.02690265946741612
pythia-410m,draw_1,21,0.5733333333333334,0.0056218269514104365
pythia-410m,draw_1,22,0.6071111111111112,0.006028737762778016
pythia-410m,draw_1,23,0.6471111111111112,0.027911677276635714
pythia-410m,draw_2,0,0.5591111111111111,0.02255747118302134
pythia-410m,draw_2,1,0.49511111111111106,0.013063945294843613
pythia-410m,draw_2,2,0.4533333333333333,0.03632500754080453
pythia-410m,draw_2,3,0.5235555555555556,0.026725860228218525
pythia-410m,draw_2,4,0.5128888888888888,0.01834645994715581
pythia-410m,draw_2,5,0.5226666666666666,0.030740651494738817
