model,band,base_norm,circuit_norm,delta_norm,norm_ratio
pythia-1.4b,control,23.781071186065674,24.017639385329353,0.23656819926367945,1.0099477520340756
pythia-1.4b,high,23.67622321181827,23.65448549058702,-0.021737721231250617,0.9990818754732639
pythia-1.4b,low,23.463326732317608,23.352434396743774,-0.11089233557383338,0.9952738016719047
pythia-1.4b,medium,23.534026119444107,23.470265361997818,-0.06376075744628906,0.9972906991297333
pythia-1.4b,very_high,23.791980743408203,24.07358643743727,0.2816056940290679,1.0118361601358932
pythia-160m,control,19.025894390212166,19.104926082823013,0.07903169261084741,1.0041539015717182
pythia-160m,high,18.961342242028977,18.989312052726746,0.02796981069776905,1.0014750965591335
pythia-160m,low,18.607560382948982,18.592943125300938,-0.014617257648044557,0.999214445239074
pythia-160m,medium,18.842848791016472,18.83450065718757,-0.008348133828903315,0.9995569601008059
pythia-160m,very_high,19.07710451549954,19.12787550025516,0.050770984755622806,1.002661356953534
pythia-1b,control,25.537046531836193,26.119429568449657,0.5823830366134644,1.022805418625346
pythia-1b,high,25.676617860794067,25.946680029233296,0.27006216843922815,1.0105178248125735
pythia-1b,low,25.9456249276797,25.954224208990734,0.008599281311035156,1.0003314347345653
pythia-1b,medium,25.971102992693584,26.171315530935924,0.2002125382423401,1.007709050258615
pythia-1b,very_high,25.415910522143047,25.877209583918255,0.4612990617752075,1.0181500112448583
pythia-410m,control,13.368969274891747,13.416815148459541,0.04784587356779468,1.0035788752733281
pythia-410m,high,13.462484737237295,13.484080970287323,0.02159623305002789,1.0016041788326262
pythia-410m,low,13.821141262849173,13.82266217470169,0.0015209118525181253,1.0001100424215044
pythia-410m,medium,13.696827855375078,13.71898759735955,0.022159741984472348,1.0016178740229824
pythia-410m,very_high,13.300508896509806,13.371709896458519,0.07120099994871332,1.0053532538117693
pythia-70m,control,14.601637575361464,14.627503686481052,0.025866111119588808,1.0017714527556303
pythia-70m,high,14.953439871470133,14.98342259724935,0.02998272577921668,1.0020050721464042
pythia-70m,low,16.305973953670925,16.3694363700019,0.06346241633097449,1.0038919733657914
pythia-70m,medium,16.00248959329393,16.02333558930291,0.02084599600897974,1.0013026720553355
pythia-70m,very_high,14.668170346154106,14.651119497087267,-0.01705084906683929,0.9988375612864825
