model,band,base_gini,circuit_gini,delta_gini
pythia-1.4b,control,0.3667337058676995,0.3667372136326402,3.5077649407355693e-06
pythia-1.4b,high,0.36802081317066354,0.36756562038434265,-0.00045519278632089044
pythia-1.4b,low,0.37163516581078065,0.3703192511232385,-0.0013159146875421635
pythia-1.4b,medium,0.3703456020431497,0.3690460596142551,-0.001299542428894629
pythia-1.4b,very_high,0.36626625597109513,0.3661716996049313,-9.455636616384488e-05
pythia-160m,control,0.4187680556182238,0.41866652998533016,-0.0001015256328936176
pythia-160m,high,0.41992696950975905,0.41993608142642797,9.111916668913533e-06
pythia-160m,low,0.4195404094872359,0.41935335122056955,-0.00018705826666637337
pythia-160m,medium,0.41961570702021195,0.419550479882131,-6.522713808093661e-05
pythia-160m,very_high,0.41852263225849445,0.4184290621967598,-9.35700617346602e-05
pythia-1b,control,0.3737060430203338,0.37395296127930905,0.00024691825897527053
pythia-1b,high,0.3750289014065442,0.37449831615849977,-0.0005305852480444462
pythia-1b,low,0.37748591653284597,0.37706042668319073,-0.0004254898496552362
pythia-1b,medium,0.37702419326025255,0.3768513379543166,-0.00017285530593597054
pythia-1b,very_high,0.3735283215916241,0.3735596198814533,3.129828982922911e-05
pythia-410m,control,0.39093764259498864,0.391036252221309,9.860962632035619e-05
pythia-410m,high,0.3921332521924742,0.3920215215922255,-0.00011173060024871617
pythia-410m,low,0.391745565313856,0.3914596649194811,-0.0002859003943749272
pythia-410m,medium,0.39248703162151316,0.3925475692044944,6.053758298124601e-05
pythia-410m,very_high,0.3908368822646665,0.3909732055669013,0.0001363233022347865
pythia-70m,control,0.435081069673942,0.43503859824681257,-4.2471427129431305e-05
pythia-70m,high,0.43562155104022504,0.4355421999047493,-7.935113547574701e-05
pythia-70m,low,0.43386200575347983,0.43394369870051386,8.169294703402885e-05
pythia-70m,medium,0.4349046316344479,0.43491727179072054,1.2640156272614167e-05
pythia-70m,very_high,0.43546122144359106,0.43543519674023023,-2.6024703360827406e-05
