model,draw,model_capacity,n_layers,peak_probe_accuracy,peak_probe_layer,peak_probe_layer_frac,peak_separation_ratio,peak_separation_layer
pythia-70m,draw_1,70,6,0.6106666666666667,3,0.5,11.665065754144187,2
pythia-70m,draw_2,70,6,0.5813333333333335,2,0.3333333333333333,10.124511584967497,3
pythia-70m,draw_3,70,6,0.5884444444444443,4,0.6666666666666666,14.38330750697524,2
pythia-160m,draw_1,160,12,0.663111111111111,7,0.5833333333333334,12.593442586559542,8
pythia-160m,draw_2,160,12,0.6266666666666667,6,0.5,13.262400019070721,8
pythia-160m,draw_3,160,12,0.6533333333333333,7,0.5833333333333334,12.591297954498204,8
pythia-410m,draw_1,410,24,0.6826666666666666,23,0.9583333333333334,13.27049975290314,19
pythia-410m,draw_2,410,24,0.6951111111111111,23,0.9583333333333334,15.194270810876482,19
pythia-410m,draw_3,410,24,0.6871111111111111,22,0.9166666666666666,12.672243163033846,19
pythia-1b,draw_1,1000,16,0.6977777777777778,15,0.9375,16.42091283795757,15
pythia-1b,draw_2,1000,16,0.6924444444444444,15,0.9375,16.26044473274649,15
pythia-1b,draw_3,1000,16,0.6817777777777777,15,0.9375,16.04002500234986,15
pythia-1.4b,draw_1,1400,24,0.7262222222222222,23,0.9583333333333334,19.903940137204774,23
pythia-1.4b,draw_2,1400,24,0.735111111111111,23,0.9583333333333334,19.740748776294343,23
pythia-1.4b,draw_3,1400,24,0.7457777777777778,23,0.9583333333333334,19.2901347574932,23
