model,draw,layer,rsa_rho,rsa_p
pythia-70m,draw_1,0,0.9258200997725515,0.008049893100837697
pythia-70m,draw_1,1,0.9258200997725515,0.008049893100837697
pythia-70m,draw_1,2,0.7715167498104596,0.0723429555850427
pythia-70m,draw_1,3,0.7715167498104596,0.0723429555850427
pythia-70m,draw_1,4,0.7715167498104596,0.0723429555850427
pythia-70m,draw_1,5,0.9258200997725515,0.008049893100837697
pythia-160m,draw_1,0,0.9258200997725515,0.008049893100837697
pythia-160m,draw_1,1,0.9258200997725515,0.008049893100837697
pythia-160m,draw_1,2,0.9258200997725515,0.008049893100837697
pythia-160m,draw_1,3,0.9258200997725515,0.008049893100837697
pythia-160m,draw_1,4,0.9258200997725515,0.008049893100837697
pythia-160m,draw_1,5,0.9258200997725515,0.008049893100837697
pythia-160m,draw_1,6,0.9258200997725515,0.008049893100837697
pythia-160m,draw_1,7,0.9258200997725515,0.008049893100837697
pythia-160m,draw_1,8,0.9258200997725515,0.008049893100837697
pythia-160m,draw_1,9,0.9258200997725515,0.008049893100837697
pythia-160m,draw_1,10,0.9258200997725515,0.008049893100837697
pythia-160m,draw_1,11,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,0,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,1,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,2,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,3,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,4,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,5,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,6,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,7,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,8,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,9,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,10,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,11,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,12,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,13,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,14,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,15,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,16,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,17,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,18,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,19,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,20,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,21,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,22,0.9258200997725515,0.008049893100837697
pythia-410m,draw_1,23,0.9258200997725515,0.008049893100837697
pythia-1b,draw_1,0,0.9258200997725515,0.008049893100837697
pythia-1b,draw_1,1,0.9258200997725515,0.008049893100837697
pythia-1b,draw_1,2,0.9258200997725515,0.008049893100837697
pythia-1b,draw_1,3,0.9258200997725515,0.008049893100837697
pythia-1b,draw_1,4,0.9258200997725515,0.008049893100837697
pythia-1b,draw_1,5,0.9258200997725515,0.008049893100837697
pythia-1b,draw_1,6,0.9258200997725515,0.008049893100837697
pythia-1b,draw_1,7,0.9258200997725515,0.008049893100837697
pythia-1b,draw_1,8,0.9258200997725515,0.008049893100837697
pythia-1b,draw_1,9,0.9258200997725515,0.008049893100837697
pythia-1b,draw_1,10,0.9258200997725515,0.008049893100837697
pythia-1b,draw_1,11,0.9258200997725515,0.008049893100837697
pythia-1b,draw_1,12,0.9258200997725515,0.008049893100837697
pythia-1b,draw_1,13,0.9258200997725515,0.008049893100837697
pythia-1b,draw_1,14,0.9258200997725515,0.008049893100837697
pythia-1b,draw_1,15,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,0,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,1,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,2,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,3,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,4,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,5,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,6,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,7,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,8,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,9,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,10,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,11,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,12,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,13,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,14,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,15,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,16,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,17,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,18,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,19,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,20,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,21,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,22,0.9258200997725515,0.008049893100837697
pythia-1.4b,draw_1,23,0.9258200997725515,0.008049893100837697
