model,draw,layer,separation_ratio
pythia-70m,draw_1,0,6.836470972061415
pythia-70m,draw_1,1,6.796227109029323
pythia-70m,draw_1,2,11.665065754144187
pythia-70m,draw_1,3,11.644944607070512
pythia-70m,draw_1,4,6.958084694628082
pythia-70m,draw_1,5,4.763925118029036
pythia-70m,draw_2,0,6.822834932656594
pythia-70m,draw_2,1,6.449667655936035
pythia-70m,draw_2,2,9.928889358634834
pythia-70m,draw_2,3,10.124511584967497
pythia-70m,draw_2,4,6.060000657996379
pythia-70m,draw_2,5,4.84530408055401
pythia-70m,draw_3,0,6.6176340313369595
pythia-70m,draw_3,1,6.94257107762083
pythia-70m,draw_3,2,14.38330750697524
pythia-70m,draw_3,3,14.185691079490915
pythia-70m,draw_3,4,7.906206663571796
pythia-70m,draw_3,5,4.507325973710881
pythia-160m,draw_1,0,6.6023897092379356
pythia-160m,draw_1,1,7.419259690382763
pythia-160m,draw_1,2,7.445037505394479
pythia-160m,draw_1,3,6.83796096444558
pythia-160m,draw_1,4,7.385185903305916
pythia-160m,draw_1,5,7.828500483143053
pythia-160m,draw_1,6,8.380222935815896
pythia-160m,draw_1,7,10.7258093779398
pythia-160m,draw_1,8,12.593442586559542
pythia-160m,draw_1,9,10.167157180451335
pythia-160m,draw_1,10,9.04863160532138
pythia-160m,draw_1,11,8.058135545812934
pythia-160m,draw_2,0,6.55279038156273
pythia-160m,draw_2,1,7.22478047668744
pythia-160m,draw_2,2,7.342917904329261
pythia-160m,draw_2,3,6.783606553131218
pythia-160m,draw_2,4,7.422016819417936
pythia-160m,draw_2,5,7.512901995461635
pythia-160m,draw_2,6,8.262152995205964
pythia-160m,draw_2,7,10.795568830548067
pythia-160m,draw_2,8,13.262400019070721
pythia-160m,draw_2,9,10.602654629940865
pythia-160m,draw_2,10,9.745843611074152
pythia-160m,draw_2,11,8.566056425258386
pythia-160m,draw_3,0,6.466757049416101
pythia-160m,draw_3,1,7.167898520790293
pythia-160m,draw_3,2,7.3316471873589295
pythia-160m,draw_3,3,6.750478527005648
pythia-160m,draw_3,4,7.432868033957075
pythia-160m,draw_3,5,7.419017690014009
pythia-160m,draw_3,6,8.019951552440586
pythia-160m,draw_3,7,10.709563945749299
pythia-160m,draw_3,8,12.591297954498204
pythia-160m,draw_3,9,10.55007295499893
pythia-160m,draw_3,10,9.445129709471251
pythia-160m,draw_3,11,7.952365533788676
pythia-410m,draw_1,0,7.229064780859129
pythia-410m,draw_1,1,7.475612579372538
pythia-410m,draw_1,2,7.63857078891653
pythia-410m,draw_1,3,8.35875118009301
pythia-410m,draw_1,4,8.159734538372609
pythia-410m,draw_1,5,7.877270258592097
pythia-410m,draw_1,6,7.74673130816454
pythia-410m,draw_1,7,7.533730175698548
pythia-410m,draw_1,8,7.695642961886602
pythia-410m,draw_1,9,8.09544497958842
pythia-410m,draw_1,10,8.199139674700316
pythia-410m,draw_1,11,8.21632256655897
pythia-410m,draw_1,12,8.361975971408999
pythia-410m,draw_1,13,8.862360432631379
pythia-410m,draw_1,14,9.166421205366253
pythia-410m,draw_1,15,9.634944304262405
pythia-410m,draw_1,16,9.605614991701128
pythia-410m,draw_1,17,11.019343418371436
pythia-410m,draw_1,18,12.318884560638203
pythia-410m,draw_1,19,13.27049975290314
pythia-410m,draw_1,20,11.355219536300488
pythia-410m,draw_1,21,10.088109628626006
pythia-410m,draw_1,22,11.090203832655112
pythia-410m,draw_1,23,12.535872995470108
pythia-410m,draw_2,0,7.249603031967895
pythia-410m,draw_2,1,7.7398393888047305
pythia-410m,draw_2,2,7.9159243215792285
pythia-410m,draw_2,3,8.640321497237249
pythia-410m,draw_2,4,8.344901317942771
pythia-410m,draw_2,5,7.926545915711246
pythia-410m,draw_2,6,7.6874834094404365
pythia-410m,draw_2,7,7.55798332019458
pythia-410m,draw_2,8,7.74639230673201
pythia-410m,draw_2,9,8.115932505355966
pythia-410m,draw_2,10,8.27748830813485
pythia-410m,draw_2,11,8.324294427209761
pythia-410m,draw_2,12,8.477950576967606
pythia-410m,draw_2,13,9.119211836196566
pythia-410m,draw_2,14,9.450507782336372
pythia-410m,draw_2,15,10.028085566195397
pythia-410m,draw_2,16,10.070023884917338
pythia-410m,draw_2,17,12.057765741429321
pythia-410m,draw_2,18,13.904933547917036
pythia-410m,draw_2,19,15.194270810876482
pythia-410m,draw_2,20,13.91640720940033
pythia-410m,draw_2,21,10.925168238465707
pythia-410m,draw_2,22,12.329237868474978
pythia-410m,draw_2,23,13.040330713786691
pythia-410m,draw_3,0,7.049331951854193
pythia-410m,draw_3,1,7.444921596315828
pythia-410m,draw_3,2,7.624730634954374
pythia-410m,draw_3,3,8.298529405909784
pythia-410m,draw_3,4,7.953050254585516
pythia-410m,draw_3,5,7.73592731838476
pythia-410m,draw_3,6,7.566460873595261
pythia-410m,draw_3,7,7.475871017406668
pythia-410m,draw_3,8,7.6647896505281095
pythia-410m,draw_3,9,7.904591334413828
pythia-410m,draw_3,10,7.992232849587486
pythia-410m,draw_3,11,8.014199343966155
pythia-410m,draw_3,12,8.029571269489978
pythia-410m,draw_3,13,8.468381640640494
pythia-410m,draw_3,14,8.789618950787155
pythia-410m,draw_3,15,9.308732527948802
pythia-410m,draw_3,16,9.352228835298972
pythia-410m,draw_3,17,10.87680053019137
pythia-410m,draw_3,18,11.629840695293623
pythia-410m,draw_3,19,12.672243163033846
pythia-410m,draw_3,20,11.355997464572116
pythia-410m,draw_3,21,10.07859294710738
pythia-410m,draw_3,22,10.803413352648922
pythia-410m,draw_3,23,12.248398619901943
pythia-1b,draw_1,0,11.2419220067541
pythia-1b,draw_1,1,11.834518904622335
pythia-1b,draw_1,2,11.606874088479923
pythia-1b,draw_1,3,11.442445350685126
pythia-1b,draw_1,4,11.597402595714959
pythia-1b,draw_1,5,11.722458916538551
pythia-1b,draw_1,6,11.076498031198955
pythia-1b,draw_1,7,11.058951929540683
pythia-1b,draw_1,8,10.801449408351324
pythia-1b,draw_1,9,11.463025954836679
pythia-1b,draw_1,10,11.27933791340211
pythia-1b,draw_1,11,12.286087777745403
pythia-1b,draw_1,12,12.7364799398047
pythia-1b,draw_1,13,13.54285469185464
pythia-1b,draw_1,14,14.630745216727632
pythia-1b,draw_1,15,16.42091283795757
pythia-1b,draw_2,0,11.105390241677293
pythia-1b,draw_2,1,11.761529027795033
pythia-1b,draw_2,2,11.540595328592476
pythia-1b,draw_2,3,11.156637015492127
pythia-1b,draw_2,4,11.335106431434856
pythia-1b,draw_2,5,11.576886632156503
pythia-1b,draw_2,6,10.954171159330224
pythia-1b,draw_2,7,11.069472022017312
pythia-1b,draw_2,8,10.696927488572204
pythia-1b,draw_2,9,11.30781592642007
pythia-1b,draw_2,10,11.256156391104774
pythia-1b,draw_2,11,12.359322740339518
pythia-1b,draw_2,12,12.839858120140725
pythia-1b,draw_2,13,13.680155435929406
pythia-1b,draw_2,14,14.787821963106513
pythia-1b,draw_2,15,16.26044473274649
pythia-1b,draw_3,0,10.943202790914428
pythia-1b,draw_3,1,11.454181361228748
pythia-1b,draw_3,2,11.285827286934511
pythia-1b,draw_3,3,11.116954704777553
pythia-1b,draw_3,4,11.343826517169386
pythia-1b,draw_3,5,11.541960970883947
pythia-1b,draw_3,6,10.994814212500865
pythia-1b,draw_3,7,11.100351522098352
