model,draw,layer,separation_ratio,mean_centroid_dist,mean_spread
pythia-70m,draw_1,0,6.836470972061415,1.881843642423678,0.27526535987854006
pythia-70m,draw_1,1,6.788807643379227,2.0790194537529163,0.30624220967292787
pythia-70m,draw_1,2,11.781420999150557,4.913990044272706,0.41709654927253725
pythia-70m,draw_1,3,11.783121231238221,5.48997500311394,0.46591857075691223
pythia-70m,draw_1,4,6.987411481692951,2.886345697297811,0.41307796239852906
pythia-70m,draw_1,5,4.686472463593006,3.093590786685829,0.6601107358932495
pythia-70m,draw_2,0,6.822834932656594,1.8639073637056174,0.2731866419315338
pythia-70m,draw_2,1,6.4414294461527986,1.9636355202121671,0.30484468340873716
pythia-70m,draw_2,2,10.004406451783922,4.169631998280115,0.4167795479297638
pythia-70m,draw_2,3,10.164295978043691,4.7380003965593245,0.4661415219306946
pythia-70m,draw_2,4,6.067148930459876,2.505637179651194,0.4129842877388
pythia-70m,draw_2,5,4.829155172070228,3.2373001174685117,0.6703657269477844
pythia-70m,draw_3,0,6.6176340313369595,1.8228278669767044,0.2754500865936279
pythia-70m,draw_3,1,6.959542022726551,2.1416959230303174,0.30773518085479734
pythia-70m,draw_3,2,14.531269797035263,6.202779263878198,0.42685734629631045
pythia-70m,draw_3,3,14.303151930977801,6.806630105577318,0.4758832275867462
pythia-70m,draw_3,4,7.993199759015947,3.3536786576125217,0.4195664763450623
pythia-70m,draw_3,5,4.4342102838449415,2.9837088325827907,0.672883927822113
pythia-160m,draw_1,0,6.608751320767343,2.155946994134962,0.32622607350349425
pythia-160m,draw_1,1,7.469999315387008,2.627127356262132,0.3516904413700104
pythia-160m,draw_1,2,7.469110531884213,2.755699774591423,0.36894617676734925
pythia-160m,draw_1,3,6.797871371323962,2.839994036897112,0.4177769601345062
pythia-160m,draw_1,4,7.477655131058645,3.0923095454002283,0.4135400056838989
pythia-160m,draw_1,5,7.694491162536534,3.6306892844520626,0.47185567021369934
pythia-160m,draw_1,6,8.266828921024665,3.8638159795029354,0.46738792061805723
pythia-160m,draw_1,7,10.979369331790094,5.512195060864828,0.502050244808197
pythia-160m,draw_1,8,12.08813332302521,7.053438376952512,0.5835010409355164
pythia-160m,draw_1,9,10.240243805595604,6.0717774949300685,0.5929329037666321
pythia-160m,draw_1,10,8.449695440420825,5.286252693595484,0.625614583492279
pythia-160m,draw_1,11,7.828505685655638,6.527833920111159,0.8338544011116028
pythia-160m,draw_2,0,6.5456599538338756,2.124211872616583,0.32452218532562255
pythia-160m,draw_2,1,7.184976937119442,2.51850417450473,0.3505236268043518
pythia-160m,draw_2,2,7.305757738615995,2.6836195688080013,0.3673293948173523
pythia-160m,draw_2,3,6.800496135476835,2.837531585929978,0.41725361347198486
pythia-160m,draw_2,4,7.663745152150101,3.164460097841651,0.4129130125045776
pythia-160m,draw_2,5,7.545273721486771,3.5406410075710597,0.4692528247833252
pythia-160m,draw_2,6,8.35849263431739,3.908489843556837,0.4676070213317871
pythia-160m,draw_2,7,11.18076431629375,5.645078230149681,0.5048919796943665
pythia-160m,draw_2,8,13.00002331242543,7.587266854635834,0.583634865283966
pythia-160m,draw_2,9,10.711104776025676,6.340515332182043,0.591957175731659
pythia-160m,draw_2,10,9.242641411713167,5.817503525540584,0.6294200181961059
pythia-160m,draw_2,11,8.560444062971806,7.1405337263801005,0.8341312289237977
pythia-160m,draw_3,0,6.468326242805446,2.099866326982851,0.32463828325271604
pythia-160m,draw_3,1,7.179073222351211,2.5174642395101485,0.35066702365875246
pythia-160m,draw_3,2,7.306595405588343,2.6807286000732815,0.3668916165828705
pythia-160m,draw_3,3,6.75832819469237,2.8155029754889815,0.4165975511074066
pythia-160m,draw_3,4,7.596216121782541,3.131335310251866,0.41222304105758667
pythia-160m,draw_3,5,7.389094511499953,3.462731086394297,0.46862725615501405
pythia-160m,draw_3,6,7.954703042713208,3.707473879308356,0.46607319712638856
pythia-160m,draw_3,7,10.95259814568358,5.537603063946709,0.5055972099304199
pythia-160m,draw_3,8,12.069077494703555,7.0319397349144666,0.5826410293579102
pythia-160m,draw_3,9,10.402258677778205,6.151785081655455,0.5913893580436707
pythia-160m,draw_3,10,8.659850303392789,5.438578496157967,0.6280222296714782
pythia-160m,draw_3,11,7.803607649862461,6.517297377864631,0.8351646661758423
pythia-410m,draw_1,0,7.258081647575474,2.6781210738572647,0.3689846992492676
pythia-410m,draw_1,1,7.440302088687756,2.9380105883368524,0.39487786293029786
pythia-410m,draw_1,2,7.558113950487537,3.1329178662307893,0.41451053619384765
pythia-410m,draw_1,3,8.299967313772683,3.5707747511111045,0.43021551966667176
pythia-410m,draw_1,4,8.194460440690255,3.5824503613349896,0.43717952966690066
pythia-410m,draw_1,5,7.839308761193883,3.5478082364993897,0.45256646275520324
pythia-410m,draw_1,6,7.909010289820732,3.688459354426686,0.46636168360710145
pythia-410m,draw_1,7,7.718835826421755,3.6293532371149104,0.4701943814754486
pythia-410m,draw_1,8,7.819684402064129,3.7282183047277706,0.4767735004425049
pythia-410m,draw_1,9,8.135634257440403,4.023924984420781,0.49460495114326475
pythia-410m,draw_1,10,8.222094260824289,4.27799324010911,0.5203045725822448
