model,band,mean_cka,mean_delta_norm
pythia-1.4b,control,0.8756007587201962,16.627778270534083
pythia-1.4b,high,0.8833615048573854,15.764470375246471
pythia-1.4b,low,0.9648386117152368,13.616937667131424
pythia-1.4b,medium,0.9637288924873781,13.083167139854696
pythia-1.4b,very_high,0.8258828277068363,16.543184496048426
pythia-160m,control,0.9850947989420243,1.6810940342644851
pythia-160m,high,0.990379689181808,1.3627212983297392
pythia-160m,low,0.9869731837654516,1.6416049154682293
pythia-160m,medium,0.9892669115735736,1.4969961635457973
pythia-160m,very_high,0.9812473078897228,1.8957774399055376
pythia-1b,control,0.9645318650642855,12.498316640655199
pythia-1b,high,0.9744335240093327,11.371253047138453
pythia-1b,low,0.9782415938456865,11.291179411113262
pythia-1b,medium,0.9136736156642528,12.094711512327194
pythia-1b,very_high,0.9661292073426296,12.505429374674955
pythia-410m,control,0.9721061225240442,4.497250087559223
pythia-410m,high,0.9617935978380961,4.848592667943901
pythia-410m,low,0.9801922463474835,3.7026565306716495
pythia-410m,medium,0.9776178784741769,3.901379976835516
pythia-410m,very_high,0.9727641676327262,4.403168459733327
pythia-70m,control,0.9961566311829709,0.6520666223433282
pythia-70m,high,0.9971090327934117,0.5911869754393896
pythia-70m,low,0.9968989236389932,0.816848185327318
pythia-70m,medium,0.9990876435300685,0.3294607446425491
pythia-70m,very_high,0.9994046462725665,0.14167765859100553
