model,asymmetry,convergence_diff_directed
pythia-70m,0.07111111111111112,-0.09333333333333371
pythia-70m,0.0888888888888889,-0.21925925925926038
pythia-70m,0.23703703703703713,-0.3837037037037039
pythia-70m,0.042962962962962925,-0.12592592592592666
pythia-70m,0.1837037037037037,-0.29037037037037017
pythia-70m,0.13629629629629636,-0.1644444444444435
pythia-160m,0.07555555555555538,-0.3318518518518516
pythia-160m,0.08444444444444443,-0.6029629629629643
pythia-160m,0.08148148148148149,-0.8785185185185185
pythia-160m,0.03555555555555556,-0.27111111111111263
pythia-160m,0.02518518518518509,-0.5466666666666669
pythia-160m,-0.005925925925925779,-0.2755555555555542
pythia-410m,0.04296296296296309,-0.8933333333333309
pythia-410m,0.06666666666666665,-2.1496296296296293
pythia-410m,0.08740740740740738,-3.4503703703703685
pythia-410m,0.014814814814814725,-1.2562962962962985
pythia-410m,0.020740740740740837,-2.5570370370370377
pythia-410m,-0.016296296296296364,-1.3007407407407392
pythia-1b,0.03259259259259262,-0.5659259259259297
pythia-1b,0.07259259259259276,-1.0740740740740744
pythia-1b,0.2029629629629629,-1.4903703703703712
pythia-1b,0.017777777777777892,-0.5081481481481447
pythia-1b,0.07111111111111112,-0.9244444444444415
pythia-1b,0.013333333333333308,-0.41629629629629683
pythia-1.4b,0.08444444444444432,-2.19407407407407
pythia-1.4b,0.21333333333333326,-4.77333333333333
pythia-1.4b,0.33333333333333337,-6.952592592592593
pythia-1.4b,0.08444444444444443,-2.57925925925926
pythia-1.4b,0.18518518518518512,-4.758518518518523
pythia-1.4b,0.05481481481481476,-2.179259259259263
