model,draw,band_1,band_2,layer_name,layer_idx,cka
pythia-70m,draw_1,low,medium,early,1,0.12941338824027696
pythia-70m,draw_1,low,medium,middle,3,0.010905289752058662
pythia-70m,draw_1,low,medium,final,5,0.025146458915129385
pythia-70m,draw_1,low,high,early,1,0.16147262923010083
pythia-70m,draw_1,low,high,middle,3,0.02912553144979375
pythia-70m,draw_1,low,high,final,5,0.03032336839993256
pythia-70m,draw_1,low,very_high,early,1,0.1749474699909595
pythia-70m,draw_1,low,very_high,middle,3,0.00799652159929746
pythia-70m,draw_1,low,very_high,final,5,0.030378460126648413
pythia-70m,draw_1,low,control,early,1,0.16607938891559107
pythia-70m,draw_1,low,control,middle,3,0.007936993530518527
pythia-70m,draw_1,low,control,final,5,0.0266971065167879
pythia-70m,draw_1,medium,high,early,1,0.12533135049260455
pythia-70m,draw_1,medium,high,middle,3,0.012583738321107549
pythia-70m,draw_1,medium,high,final,5,0.02282843370538031
pythia-70m,draw_1,medium,very_high,early,1,0.1435745339356037
pythia-70m,draw_1,medium,very_high,middle,3,0.016143193606070416
pythia-70m,draw_1,medium,very_high,final,5,0.026908760718864073
pythia-70m,draw_1,medium,control,early,1,0.14660073839875803
pythia-70m,draw_1,medium,control,middle,3,0.009223482545713351
pythia-70m,draw_1,medium,control,final,5,0.02936778990493663
pythia-70m,draw_1,high,very_high,early,1,0.17735621510088997
pythia-70m,draw_1,high,very_high,middle,3,0.011485593623826083
pythia-70m,draw_1,high,very_high,final,5,0.025945965594287818
pythia-70m,draw_1,high,control,early,1,0.17322229407657821
pythia-70m,draw_1,high,control,middle,3,0.006441362297659526
pythia-70m,draw_1,high,control,final,5,0.02899057789250905
pythia-70m,draw_1,very_high,control,early,1,0.19189080765998523
pythia-70m,draw_1,very_high,control,middle,3,0.014722821304007346
pythia-70m,draw_1,very_high,control,final,5,0.03120176025869169
pythia-70m,draw_2,low,medium,early,1,0.1272087753531547
pythia-70m,draw_2,low,medium,middle,3,0.007012119751888374
pythia-70m,draw_2,low,medium,final,5,0.018019317941055123
pythia-70m,draw_2,low,high,early,1,0.13026963401601976
pythia-70m,draw_2,low,high,middle,3,0.013986060469645172
pythia-70m,draw_2,low,high,final,5,0.021370292313218013
pythia-70m,draw_2,low,very_high,early,1,0.13969696531732387
pythia-70m,draw_2,low,very_high,middle,3,0.005340938681751957
pythia-70m,draw_2,low,very_high,final,5,0.019791902673690288
pythia-70m,draw_2,low,control,early,1,0.14559447663513178
pythia-70m,draw_2,low,control,middle,3,0.00432509650369293
pythia-70m,draw_2,low,control,final,5,0.0209944063913885
pythia-70m,draw_2,medium,high,early,1,0.1503814636332065
pythia-70m,draw_2,medium,high,middle,3,0.023849748788113623
pythia-70m,draw_2,medium,high,final,5,0.026054868096558326
pythia-70m,draw_2,medium,very_high,early,1,0.16355705657323755
pythia-70m,draw_2,medium,very_high,middle,3,0.040773203346375374
pythia-70m,draw_2,medium,very_high,final,5,0.037063576058348695
pythia-70m,draw_2,medium,control,early,1,0.15253604921159492
pythia-70m,draw_2,medium,control,middle,3,0.004856876808678238
pythia-70m,draw_2,medium,control,final,5,0.0224914714239566
pythia-70m,draw_2,high,very_high,early,1,0.17603583827846775
pythia-70m,draw_2,high,very_high,middle,3,0.007079660998455225
pythia-70m,draw_2,high,very_high,final,5,0.030328857494241145
pythia-70m,draw_2,high,control,early,1,0.17252760333781725
pythia-70m,draw_2,high,control,middle,3,0.00620243856071651
pythia-70m,draw_2,high,control,final,5,0.02790651004976597
pythia-70m,draw_2,very_high,control,early,1,0.17994172705708159
pythia-70m,draw_2,very_high,control,middle,3,0.007911344290566134
pythia-70m,draw_2,very_high,control,final,5,0.0377661858175698
pythia-70m,draw_3,low,medium,early,1,0.09634577183704873
pythia-70m,draw_3,low,medium,middle,3,0.0024398100587333946
pythia-70m,draw_3,low,medium,final,5,0.014606858005790818
pythia-70m,draw_3,low,high,early,1,0.12967416852244684
pythia-70m,draw_3,low,high,middle,3,0.004473864945307642
pythia-70m,draw_3,low,high,final,5,0.02814996021094332
pythia-70m,draw_3,low,very_high,early,1,0.14996957724291193
pythia-70m,draw_3,low,very_high,middle,3,0.006939313257754835
pythia-70m,draw_3,low,very_high,final,5,0.027919843851826127
pythia-70m,draw_3,low,control,early,1,0.13325989682932676
pythia-70m,draw_3,low,control,middle,3,0.00409000635117075
pythia-70m,draw_3,low,control,final,5,0.0203205644232171
pythia-70m,draw_3,medium,high,early,1,0.11961213004335447
pythia-70m,draw_3,medium,high,middle,3,0.007689734785794254
pythia-70m,draw_3,medium,high,final,5,0.0233262107179691
pythia-70m,draw_3,medium,very_high,early,1,0.13523302403488854
pythia-70m,draw_3,medium,very_high,middle,3,0.008268487366276937
pythia-70m,draw_3,medium,very_high,final,5,0.022735244056165806
pythia-70m,draw_3,medium,control,early,1,0.12088935043185552
pythia-70m,draw_3,medium,control,middle,3,0.008208513960949926
pythia-70m,draw_3,medium,control,final,5,0.01838700912455106
pythia-70m,draw_3,high,very_high,early,1,0.19046130512485746
pythia-70m,draw_3,high,very_high,middle,3,0.005837242504575456
pythia-70m,draw_3,high,very_high,final,5,0.034147597861115125
pythia-70m,draw_3,high,control,early,1,0.1576354160074715
pythia-70m,draw_3,high,control,middle,3,0.007608909200126132
pythia-70m,draw_3,high,control,final,5,0.024894886711928015
pythia-70m,draw_3,very_high,control,early,1,0.18437034442792866
pythia-70m,draw_3,very_high,control,middle,3,0.01231996252463031
pythia-70m,draw_3,very_high,control,final,5,0.02807218099977956
pythia-160m,draw_1,low,medium,early,1,0.42522627930822354
pythia-160m,draw_1,low,medium,middle,6,0.20093512813873046
pythia-160m,draw_1,low,medium,final,11,0.052251045001101844
pythia-160m,draw_1,low,high,early,1,0.41240695815610745
pythia-160m,draw_1,low,high,middle,6,0.2012044085802955
pythia-160m,draw_1,low,high,final,11,0.050933331984511054
pythia-160m,draw_1,low,very_high,early,1,0.4099758703876376
pythia-160m,draw_1,low,very_high,middle,6,0.20807686807921513
pythia-160m,draw_1,low,very_high,final,11,0.05637423879046586
pythia-160m,draw_1,low,control,early,1,0.4110214473416577
pythia-160m,draw_1,low,control,middle,6,0.21646390411000171
pythia-160m,draw_1,low,control,final,11,0.05643654099661456
pythia-160m,draw_1,medium,high,early,1,0.4340206217648166
pythia-160m,draw_1,medium,high,middle,6,0.17252550592452703
pythia-160m,draw_1,medium,high,final,11,0.06858403756591558
pythia-160m,draw_1,medium,very_high,early,1,0.4213478468843042
pythia-160m,draw_1,medium,very_high,middle,6,0.16848543081630513
pythia-160m,draw_1,medium,very_high,final,11,0.06643448992127429
pythia-160m,draw_1,medium,control,early,1,0.43950988920855316
pythia-160m,draw_1,medium,control,middle,6,0.17572110350913347
pythia-160m,draw_1,medium,control,final,11,0.062210721160789594
pythia-160m,draw_1,high,very_high,early,1,0.4031026871176865
pythia-160m,draw_1,high,very_high,middle,6,0.17495366029240791
pythia-160m,draw_1,high,very_high,final,11,0.0589916200072518
pythia-160m,draw_1,high,control,early,1,0.42165657436268417
pythia-160m,draw_1,high,control,middle,6,0.18391682313037194
pythia-160m,draw_1,high,control,final,11,0.07882876127515646
pythia-160m,draw_1,very_high,control,early,1,0.4091236768728919
pythia-160m,draw_1,very_high,control,middle,6,0.1787994019180327
