model,low_band,high_band,freq_distance,lf_to_hf,hf_to_lf,asymmetry
pythia-70m,low,medium,1,0.32296296296296295,0.2518518518518518,0.07111111111111112
pythia-70m,low,high,2,0.3585185185185185,0.2696296296296296,0.0888888888888889
pythia-70m,low,very_high,3,0.4681481481481482,0.23111111111111107,0.23703703703703713
pythia-70m,medium,high,1,0.38814814814814813,0.3451851851851852,0.042962962962962925
pythia-70m,medium,very_high,2,0.5111111111111111,0.32740740740740737,0.1837037037037037
pythia-70m,high,very_high,1,0.5303703703703704,0.394074074074074,0.13629629629629636
pythia-160m,low,medium,1,0.9199999999999999,0.8444444444444446,0.07555555555555538
pythia-160m,low,high,2,0.9185185185185185,0.8340740740740741,0.08444444444444443
pythia-160m,low,very_high,3,0.9140740740740741,0.8325925925925927,0.08148148148148149
pythia-160m,medium,high,1,0.9274074074074073,0.8918518518518518,0.03555555555555556
pythia-160m,medium,very_high,2,0.9125925925925925,0.8874074074074074,0.02518518518518509
pythia-160m,high,very_high,1,0.9229629629629631,0.9288888888888889,-0.005925925925925779
pythia-410m,low,medium,1,0.9762962962962963,0.9333333333333332,0.04296296296296309
pythia-410m,low,high,2,0.9777777777777777,0.9111111111111111,0.06666666666666665
pythia-410m,low,very_high,3,0.9511111111111111,0.8637037037037038,0.08740740740740738
pythia-410m,medium,high,1,0.9807407407407407,0.965925925925926,0.014814814814814725
pythia-410m,medium,very_high,2,0.9496296296296297,0.9288888888888889,0.020740740740740837
pythia-410m,high,very_high,1,0.9525925925925925,0.9688888888888889,-0.016296296296296364
pythia-1b,low,medium,1,0.9407407407407408,0.9081481481481481,0.03259259259259262
pythia-1b,low,high,2,0.9437037037037038,0.8711111111111111,0.07259259259259276
pythia-1b,low,very_high,3,0.9081481481481481,0.7051851851851852,0.2029629629629629
pythia-1b,medium,high,1,0.9377777777777778,0.9199999999999999,0.017777777777777892
pythia-1b,medium,very_high,2,0.9111111111111111,0.84,0.07111111111111112
pythia-1b,high,very_high,1,0.9333333333333332,0.9199999999999999,0.013333333333333308
pythia-1.4b,low,medium,1,0.8933333333333332,0.8088888888888889,0.08444444444444432
pythia-1.4b,low,high,2,0.9259259259259259,0.7125925925925927,0.21333333333333326
pythia-1.4b,low,very_high,3,0.9096296296296296,0.5762962962962962,0.33333333333333337
pythia-1.4b,medium,high,1,0.9274074074074075,0.842962962962963,0.08444444444444443
pythia-1.4b,medium,very_high,2,0.9199999999999999,0.7348148148148148,0.18518518518518512
pythia-1.4b,high,very_high,1,0.9288888888888889,0.8740740740740741,0.05481481481481476
