model,band,n_layers,logit_convergence_frac,tuned_convergence_frac,logit_final_prob,tuned_final_prob,convergence_shift
pythia-70m,low,6,0.7511111111111112,0.7088888888888888,0.00371966614990116,0.004792112523520523,-0.04222222222222238
pythia-70m,medium,6,0.7118518518518518,0.6718518518518519,0.006752724686883601,0.013534960235742043,-0.039999999999999925
pythia-70m,high,6,0.6844444444444444,0.6540740740740741,0.007906519480655511,0.01865870411143179,-0.03037037037037027
pythia-70m,very_high,6,0.662962962962963,0.6355555555555555,0.011499821726750573,0.029045125923783215,-0.027407407407407436
pythia-70m,control,6,0.66,0.6503703703703704,0.007252860455781855,0.020987988039781462,-0.009629629629629655
pythia-160m,low,12,0.7385185185185185,0.7248148148148149,0.04510021337825391,0.05686664545429974,-0.013703703703703551
pythia-160m,medium,12,0.7092592592592593,0.7111111111111111,0.054223646838217975,0.07661141388118267,0.0018518518518518823
pythia-160m,high,12,0.6781481481481482,0.6855555555555556,0.08153767733265542,0.12520748038271753,0.007407407407407418
pythia-160m,very_high,12,0.662962962962963,0.6699999999999999,0.10913087046394745,0.16576145182661195,0.007037037037036953
pythia-160m,control,12,0.6755555555555556,0.6822222222222223,0.08709458568029933,0.14912959943525494,0.00666666666666671
pythia-410m,low,24,0.9011111111111111,0.8862962962962962,0.6988380976517995,0.49194441792865595,-0.014814814814814836
pythia-410m,medium,24,0.8662962962962962,0.8498148148148149,0.6992851286795404,0.49798043705523015,-0.01648148148148132
pythia-410m,high,24,0.8107407407407408,0.7999999999999999,0.669924401541551,0.4769453455342187,-0.010740740740740828
pythia-410m,very_high,24,0.7505555555555555,0.7344444444444443,0.628333259291119,0.45179686923821766,-0.016111111111111187
pythia-410m,control,24,0.7651851851851852,0.7546296296296297,0.615992902053727,0.4271864299062226,-0.01055555555555554
pythia-1b,low,16,0.8394444444444444,0.8594444444444445,0.8643883537790842,0.5843011562598662,0.020000000000000018
pythia-1b,medium,16,0.7813888888888889,0.8186111111111111,0.9026858996982486,0.6553099387177563,0.03722222222222216
pythia-1b,high,16,0.75,0.765,0.8574096843765842,0.5854621583140559,0.015000000000000013
pythia-1b,very_high,16,0.7288888888888889,0.7213888888888889,0.8123938091927104,0.5342562763558494,-0.007500000000000062
pythia-1b,control,16,0.74,0.7419444444444444,0.8445037764807543,0.5652624796662066,0.0019444444444444153
pythia-1.4b,low,24,0.9151851851851852,0.7966666666666667,0.6469018934749895,0.17611137475404476,-0.11851851851851847
pythia-1.4b,medium,24,0.8407407407407407,0.7216666666666667,0.6436555278580636,0.22713009528867487,-0.119074074074074
pythia-1.4b,high,24,0.7412962962962962,0.6531481481481481,0.6624228341711892,0.2417666451053487,-0.08814814814814809
pythia-1.4b,very_high,24,0.6381481481481481,0.5874074074074074,0.656749419675519,0.2408080094199007,-0.05074074074074075
pythia-1.4b,control,24,0.6729629629629629,0.6059259259259259,0.6622039532893622,0.24542691490302485,-0.067037037037037
